,comerica_male,comerica_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.8376969,-1.8436112,"('uninfluential', 'influential')",-0.20132361,-0.19563062,-1.0195103,-1.0196209,0.0001106
6,-1.7368286,-2.0189018,"('distant', 'open')",0.5631059,0.32261792,-0.5868614,-0.848142,0.2612806
31,-1.3516377,-1.50757,"('evil', 'good')",-0.4847099,-0.70594764,-0.9181738,-1.1067588,0.188585
5,-1.2952081,-1.4521095,"('distant', 'outgoing')",0.021926988,-0.2267239,-0.6366405,-0.8394167,0.2027762
79,-1.1942048,-1.2922863,"('wavering', 'unwavering')",0.07477287,-0.0579321,-0.559716,-0.6751092,0.1153932
39,1.1761658,1.189519,"('exploitative', 'cooperative')",0.2182514,0.2583106,0.6972086,0.7239148,-0.0267062
57,-1.1343781,-1.1226578,"('unimaginative', 'imaginative')",-2.6161604,-2.6968687,-1.8752692,-1.9097632,0.034494
82,-1.1184524,-0.87917113,"('poor', 'rich')",5.9065285,6.2655096,2.394038,2.6931691,-0.2991311
72,-1.0581623,-1.2132796,"('unambitious', 'ambitious')",-0.7349199,-0.58127975,-0.8965411,-0.8972797,0.0007386
16,-1.0189657,-1.0752083,"('unpopular', 'popular')",0.37545025,0.17609708,-0.3217577,-0.4495556,0.1277979
53,-0.97332954,-0.9510408,"('uncreative', 'creative')",0.86905384,0.85352063,-0.0521379,-0.0487601,-0.0033778
36,-0.9271947,-1.1171824,"('hostile', 'amicable')",0.53632486,0.30934015,-0.1954349,-0.4039211,0.2084862
80,0.92205876,1.0825925,"('dominated', 'dominating')",-1.3741654,-1.3854971,-0.2260533,-0.1514523,-0.074601
30,0.85892993,1.1011912,"('intolerant', 'tolerant')",1.1130905,1.1647519,0.9860102,1.1329715,-0.1469613
75,-0.8537691,-0.8230483,"('meek', 'impulsive')",-0.6590372,-0.6204734,-0.7564031,-0.7217609,-0.0346422
1,-0.8348903,-1.026542,"('unfriendly', 'friendly')",2.136776,2.0005264,0.6509428,0.4869922,0.1639506
84,0.81731737,0.76884097,"('inferior', 'superior')",1.1275367,1.009265,0.972427,0.889053,0.083374
60,0.7883836,1.1694179,"('inefficient', 'efficient')",-0.12880228,0.16406769,0.3297907,0.6667428,-0.3369521
9,-0.76350987,-0.9847113,"('unaffectionate', 'caring')",1.3399059,1.2533765,0.288198,0.1343326,0.1538654
69,0.7603216,0.5003946,"('lazy', 'industrious')",-0.23785402,-0.754588,0.2612338,-0.1270967,0.3883305
14,0.7412068,0.90078974,"('antisocial', 'social')",-0.60613346,-0.54226804,0.0675367,0.1792608,-0.1117241
8,-0.7157045,-0.99495155,"('unaffectionate', 'affectionate')",1.238368,1.0624427,0.2613318,0.0337456,0.2275862
42,0.6946024,0.740525,"('unreliable', 'reliable')",-3.000752,-3.0232544,-1.1530747,-1.1413647,-0.01171
76,0.68520737,0.84263104,"('anxious', 'daring')",0.1359529,0.29124784,0.4105801,0.5669395,-0.1563594
10,-0.67591524,-0.5295614,"('unsympathetic', 'sympathetic')",-0.43759805,-0.30164638,-0.5567566,-0.4156039,-0.1411527
51,-0.6680718,-0.35290802,"('uneducated', 'educated')",0.09713962,0.30024844,-0.2854661,-0.0263298,-0.2591363
37,0.663127,0.6004621,"('fake', 'genuine')",0.62293416,0.58014274,0.6430306,0.5903024,0.0527282
19,-0.6341865,-0.51072425,"('inhospitable', 'hospitable')",0.045224696,-0.08625837,-0.2944809,-0.2984913,0.0040104
44,0.6257315,0.5760952,"('prejudiced', 'unprejudiced')",-1.1274421,-1.2421696,-0.2508553,-0.3330372,0.0821819
45,-0.5705149,-0.45343438,"('incompetent', 'competent')",-0.22033751,-0.17199415,-0.3954262,-0.3127143,-0.0827119
77,-0.5697882,-0.5901223,"('unmotivated', 'motivated')",-1.2366142,-1.2591372,-0.9032012,-0.9246297,0.0214285
