,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
69,1.6280587,1.7546974,"('lazy', 'industrious')",0.840495,0.8043437,-0.03835332,-0.25309268,0.8100668,0.7686494,0.0414174
86,-1.4333652,-1.5413473,"('uninfluential', 'influential')",0.7917223,0.7286397,-0.10773804,-0.24077076,-0.2497936,-0.3511594,0.1013658
35,1.309239,1.5080264,"('corrupt', 'incorrupt')",0.17464602,0.14765537,0.3053737,0.28771615,0.5964196,0.6477993,-0.0513797
83,-1.2896192,-1.2855079,"('powerless', 'powerful')",-0.471419,-0.4134417,-1.4074857,-1.4950376,-1.0561746,-1.0646624,0.0084878
57,-1.2606634,-1.2450893,"('unimaginative', 'imaginative')",0.17730442,0.18112405,-2.376517,-2.4981344,-1.153292,-1.1873665,0.0340745
0,-1.2294822,-1.3265467,"('unsociable', 'sociable')",-0.13661267,-0.09422033,-0.8535441,-0.9072856,-0.7398796,-0.7760175,0.0361379
53,-1.2208254,-1.2960297,"('uncreative', 'creative')",0.94967896,1.060197,1.0175643,1.0017473,0.2488059,0.2553049,-0.006499
10,-1.1951009,-1.3936627,"('unsympathetic', 'sympathetic')",-0.32763213,-0.28521842,-0.69468284,-0.69897246,-0.7391386,-0.7926179,0.0534793
77,-1.0981055,-1.2104975,"('unmotivated', 'motivated')",0.31876296,0.3287324,-1.4187951,-1.5407053,-0.7327126,-0.8074902,0.0747776
46,-1.0555145,-1.2251301,"('uncompetitive', 'competitive')",0.07479702,0.07140055,-0.97761,-1.1908895,-0.6527758,-0.7815397,0.1287639
33,1.047692,1.0807933,"('wrong', 'right')",1.5039169,1.4713864,0.036373675,0.019659467,0.8626608,0.8572798,0.005381
60,-0.99129075,-1.0592016,"('inefficient', 'efficient')",0.17403577,0.233318,-0.78942806,-0.80851734,-0.535561,-0.5448003,0.0092393
44,0.9749335,1.0490506,"('prejudiced', 'unprejudiced')",-1.1922252,-1.1440659,-1.4842772,-1.485152,-0.5671897,-0.5267224,-0.0404673
1,-0.97335565,-0.9757613,"('unfriendly', 'friendly')",1.3500208,1.4163623,2.2962124,2.3563457,0.8909592,0.9323155,-0.0413563
48,-0.96275026,-1.0652826,"('unintelligent', 'intelligent')",1.2593006,1.246512,0.2438356,0.14006038,0.1801287,0.1070966,0.0730321
81,-0.9293951,-0.92612934,"('submissive', 'aggressive')",-0.4463448,-0.43284556,-1.4716285,-1.4150739,-0.9491227,-0.9246829,-0.0244398
88,-0.87343776,-0.958802,"('low', 'eminent')",0.053549413,-0.023126895,0.07533859,0.07843312,-0.2481833,-0.3011653,0.052982
78,-0.85499436,-0.94218385,"('nonresilient', 'resilient')",0.36517277,0.32994947,0.5985739,0.4591587,0.0362508,-0.0510252,0.087276
11,-0.8007006,-0.8485293,"('unhelpful', 'helpful')",0.4811679,0.54796624,1.173172,1.2500327,0.2845464,0.3164899,-0.0319435
65,-0.7985564,-0.9039209,"('insecure', 'secure')",0.05170237,-0.00034609064,-0.8395885,-0.9056885,-0.5288142,-0.6033185,0.0745043
28,-0.7847527,-0.85179764,"('disloyal', 'loyal')",0.2168769,0.2714478,0.8647935,0.8436767,0.0989725,0.0877756,0.0111969
63,-0.7492397,-0.7807493,"('unperceptive', 'insightful')",0.21461219,0.2539949,0.67731047,0.5978817,0.047561,0.0237091,0.0238519
43,-0.7383596,-0.79188585,"('irresponsible', 'responsible')",0.17749216,0.31477186,0.12497045,0.1275366,-0.145299,-0.1165258,-0.0287732
