,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.3330044,-1.4238653,"('uncreative', 'creative')",0.67700005,0.6541176,-0.3280022,-0.3848739,0.0568717
10,-1.3232365,-1.4400955,"('unsympathetic', 'sympathetic')",0.066411726,-0.024817808,-0.6284124,-0.7324567,0.1040443
57,-1.2558784,-1.759206,"('unimaginative', 'imaginative')",-2.300712,-2.6514394,-1.7782953,-2.2053227,0.4270274
0,-1.2546242,-1.7617813,"('unsociable', 'sociable')",-0.34700927,-0.498342,-0.8008168,-1.1300616,0.3292448
17,-1.1077712,-1.102419,"('nasty', 'nice')",-0.4968984,-0.58490133,-0.8023348,-0.8436602,0.0413254
1,-1.0276924,-1.3696723,"('unfriendly', 'friendly')",1.3515685,1.1717701,0.161938,-0.0989511,0.2608891
45,-0.95727205,-1.1465968,"('incompetent', 'competent')",-0.062277406,-0.3191679,-0.5097747,-0.7328824,0.2231077
79,-0.9562218,-1.1366509,"('wavering', 'unwavering')",-0.07297708,-0.10008037,-0.5145994,-0.6183656,0.1037662
84,0.9305435,1.003098,"('inferior', 'superior')",1.0621512,1.1437503,0.9963473,1.0734241,-0.0770768
36,-0.9219847,-1.0240674,"('hostile', 'amicable')",-0.32092446,-0.52185,-0.6214546,-0.7729587,0.1515041
65,-0.9024871,-0.81803197,"('insecure', 'secure')",-0.34775627,-0.11632077,-0.6251217,-0.4671764,-0.1579453
31,-0.88605446,-0.987042,"('evil', 'good')",-1.3263311,-1.4653343,-1.1061928,-1.2261882,0.1199954
69,0.84482217,0.6148648,"('lazy', 'industrious')",-0.33808225,-0.5372522,0.25337,0.0388063,0.2145637
51,-0.8154886,-0.87165827,"('uneducated', 'educated')",1.1925446,1.0675917,0.188528,0.0979667,0.0905613
23,-0.8082638,-0.7958123,"('insincere', 'sincere')",5.6042376,5.860183,2.3979869,2.5321853,-0.1341984
19,-0.7896299,-0.8636091,"('inhospitable', 'hospitable')",0.031206377,-0.08327118,-0.3792118,-0.4734401,0.0942283
