,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,male-female
73,2.3816824,2.0983574,"('helpless', 'self-reliant')",0.30685598,0.15758644,0.67599857,0.5751156,-3.6829007,-3.9089653,-0.079591,-0.2694765,0.1898855
85,2.2246222,2.0785134,"('insignificant', 'prestigious')",-0.19212955,-0.123206735,-0.06490343,0.4881902,-0.16080695,-0.18488291,0.4516956,0.5646535,-0.1129579
45,-2.0789979,-1.6620226,"('incompetent', 'competent')",-0.6395333,-0.43914905,-0.6563297,-0.2650012,0.1979038,0.2495229,-0.7942392,-0.5291625,-0.2650767
3,-1.7836384,-1.5289954,"('repellent', 'pleasant')",-0.96965593,-0.8228497,0.094684035,0.13004255,0.50802803,0.47574884,-0.5376455,-0.4365134,-0.1011321
5,1.436478,0.8378578,"('distant', 'outgoing')",0.30416963,-0.008537322,-0.6572536,-0.7610338,-0.38902977,-0.5440405,0.1735911,-0.1189385,0.2925296
65,-1.42574,-1.3338503,"('insecure', 'secure')",0.33818573,0.44271573,0.39115983,0.18538855,1.0696626,1.2223889,0.093317,0.1291607,-0.0358437
69,1.3483899,0.99492496,"('lazy', 'industrious')",0.66076815,0.45276463,1.5552584,1.1068959,-1.3188639,-1.5254034,0.5613881,0.2572955,0.3040926
77,-1.2749662,-1.3055878,"('unmotivated', 'motivated')",-0.632412,-0.46390304,-0.34070104,-0.32371607,-0.09323513,0.043818474,-0.5853286,-0.5123471,-0.0729815
33,1.2165018,0.76297337,"('wrong', 'right')",0.018453639,-0.34469628,0.60732555,0.5281944,-0.2948742,-0.44819728,0.3868517,0.1245686,0.2622831
71,1.2008649,1.2613294,"('diffident', 'self-confident')",1.1669661,1.2298722,-1.0748401,-0.78414345,0.89596075,0.9711169,0.5472379,0.6695437,-0.1223058
14,-1.1911061,-0.7531476,"('antisocial', 'social')",-0.010120228,0.20176853,0.31659368,0.40055454,-0.072249785,-0.045043197,-0.2392206,-0.0489669,-0.1902537
74,1.1658348,1.3528829,"('undedicated', 'dedicated')",0.5314715,0.68384,-0.23434316,0.17689732,0.97942203,1.0867842,0.6105963,0.8251011,-0.2145048
56,1.1169096,1.5316136,"('impractical', 'practical')",1.4988825,1.8388577,0.14230509,0.52643853,0.47311264,0.6944346,0.8078025,1.1478361,-0.3400336
82,-1.1114354,-0.6369061,"('poor', 'rich')",-0.49368602,-0.18049361,-0.6277911,-0.27765003,5.788852,5.9927263,0.8889849,1.2244191,-0.3354342
81,-1.0301462,-0.7393239,"('submissive', 'aggressive')",-0.43943346,-0.257826,0.6354125,0.65172064,0.4516424,0.66517544,-0.0956312,0.0799365,-0.1755677
39,1.0153927,0.95651233,"('exploitative', 'cooperative')",1.2626882,1.0662081,1.2878897,0.99373466,1.4166535,1.4064338,1.245656,1.1057222,0.1399338
6,1.0088377,0.4412192,"('distant', 'open')",-0.021683559,-0.38701436,-0.85986185,-0.9160971,-0.13919318,-0.24527352,-0.0029752,-0.2767914,0.2738162
28,-0.9811418,-0.9350838,"('disloyal', 'loyal')",-0.097911894,-0.16920973,-0.6499778,-0.34718692,1.4750421,1.7864532,-0.0634973,0.0837432,-0.1472405
84,0.9759822,0.6093433,"('inferior', 'superior')",1.1844954,1.2027993,0.2391921,0.054692402,0.2793117,0.19570172,0.6697453,0.5156342,0.1541111
58,0.97446865,1.2978661,"('undiscriminating', 'discriminating')",0.28997922,0.5711728,-1.4617654,-1.0668819,-0.39862394,-0.53821,-0.1489854,0.0659867,-0.2149721
57,-0.9627114,-0.6028693,"('unimaginative', 'imaginative')",-0.95257723,-0.73574543,-1.4473252,-0.93877536,-2.525578,-2.3505406,-1.472048,-1.1569827,-0.3150653
83,0.9540094,1.2995628,"('powerless', 'powerful')",0.53605986,0.9127727,0.12600371,0.431019,-0.21941042,0.026507739,0.3491656,0.6674656,-0.3183
54,0.91574556,0.86676455,"('incapable', 'capable')",0.6205093,0.73031175,-0.16199629,-0.07414931,1.2143265,1.2964969,0.6471463,0.704856,-0.0577097
51,-0.88319516,-0.7424535,"('uneducated', 'educated')",-0.36605853,-0.27524027,-0.35891291,-0.37239394,0.6775124,0.8356649,-0.2326636,-0.1386057,-0.0940579
13,-0.87350947,-0.9020935,"('impolite', 'polite')",0.30473274,0.40321627,0.18654707,0.04955673,0.7869024,0.8214555,0.1011682,0.0930337,0.0081345
64,-0.8524946,-1.3830271,"('shy', 'confident')",-0.45077083,-0.6873383,0.81076247,0.28258994,-4.660341,-4.9350986,-1.288211,-1.6807185,0.3925075
67,0.8511791,0.6862734,"('doubtful', 'determined')",1.0394788,0.966624,1.3799435,1.3269545,0.01710692,0.12351738,0.8219271,0.7758422,0.0460849
9,0.8130829,0.65424144,"('unaffectionate', 'caring')",0.13895471,0.10990797,-2.0983846,-1.7556192,1.6120744,1.5457963,0.1164318,0.1385816,-0.0221498
70,-0.8075723,-0.5480571,"('lethargic', 'energetic')",-0.4258308,-0.34240723,-0.26628795,-0.13904235,1.5570608,1.6330272,0.0143425,0.1508801,-0.1365376
53,0.80348724,0.98604846,"('uncreative', 'creative')",-0.74177754,-0.5430685,-1.6523054,-1.1555984,0.947473,1.0217135,-0.1607807,0.0772738,-0.2380545
17,-0.79467463,-0.79389584,"('nasty', 'nice')",-0.47964266,-0.471878,-0.06869288,-0.12531112,-0.7722848,-0.5832898,-0.5288237,-0.4935937,-0.03523
0,-0.7733913,-0.74976575,"('unsociable', 'sociable')",0.9958044,0.89670527,-1.1424752,-1.1248153,0.8914805,0.9278755,-0.0071454,-0.0125001,0.0053547
59,0.768714,0.4201902,"('foolish', 'wise')",0.2835369,0.13602272,0.68126416,0.468544,0.289963,0.104731664,0.5058695,0.2823721,0.2234974
55,-0.7393183,-0.307441,"('incompetent', 'clever')",0.019409038,0.24310263,-0.7077743,-0.42850137,0.6470831,0.8997315,-0.1951501,0.1017229,-0.296873
22,-0.7344494,-0.7693423,"('untrustworthy', 'trustworthy')",-0.4361664,-0.48803478,0.16370225,0.3137885,-0.39818537,-0.53196704,-0.3512747,-0.3688889,0.0176142
18,-0.7269288,-1.0872796,"('disagreeable', 'welcoming')",-0.6887147,-0.948452,-0.55757284,-0.54432064,-0.59536636,-0.7140828,-0.6421456,-0.8235337,0.1813881
