,norfolk_male,norfolk_female,tuple,southern_male,southern_female,corp_male,corp_female,average_male,average_female,male-female
40,1.78653,1.5016533,"('stingy', 'generous')",0.6815054,0.55061036,-1.9923804,-2.2483644,0.1585517,-0.0653669,0.2239186
26,1.582817,1.2940656,"('hardhearted', 'benevolent')",1.3179034,1.0102752,1.3069843,1.3230813,1.4025682,1.2091407,0.1934275
77,-1.320967,-1.1192105,"('unmotivated', 'motivated')",-0.5106462,-0.49519622,-1.0768794,-0.9664159,-0.9694975,-0.8602742,-0.1092233
76,-1.319221,-1.2425258,"('anxious', 'daring')",-1.108367,-0.8365522,-0.01895662,0.0066723563,-0.8155149,-0.6908019,-0.124713
33,1.2073339,1.0936816,"('wrong', 'right')",1.4143034,1.3368976,-0.72321516,-0.87801635,0.6328074,0.5175209,0.1152865
7,1.1739906,1.2134734,"('insensitive', 'sensitive')",0.24221762,0.20424189,0.81740963,0.7833217,0.7445393,0.733679,0.0108603
37,1.164405,1.1033152,"('fake', 'genuine')",0.5629797,0.5952096,0.2926038,0.15273097,0.6733295,0.6170853,0.0562442
49,-1.0681311,-0.6474019,"('unable', 'able')",-1.1772445,-0.8667987,-0.2790616,-0.1904566,-0.8414791,-0.5682191,-0.27326
54,-1.0670066,-0.78618634,"('incapable', 'capable')",-1.1572207,-0.89100957,0.5458835,0.5692824,-0.559448,-0.3693045,-0.1901435
12,1.0249614,1.1102202,"('unsupportive', 'supportive')",-0.7702191,-0.6330617,-1.8776073,-2.0040493,-0.540955,-0.5089636,-0.0319914
9,0.92828244,0.9364224,"('unaffectionate', 'caring')",0.59517354,0.26515278,1.2224746,1.0778191,0.9153102,0.759798,0.1555122
28,0.90443027,0.6943122,"('disloyal', 'loyal')",-0.21035832,-0.5628589,1.410491,1.209736,0.701521,0.4470631,0.2544579
39,0.88539857,1.099824,"('exploitative', 'cooperative')",0.26320946,0.42341247,0.29117408,0.38582224,0.4799273,0.6363529,-0.1564256
21,-0.84736747,-0.51980156,"('immoral', 'moral')",-0.33879068,-0.32019106,-0.14156191,-0.13157599,-0.4425733,-0.3238562,-0.1187171
85,0.844812,0.4924435,"('insignificant', 'prestigious')",1.7054878,1.4094287,-0.7031226,-0.7534106,0.6157258,0.3828205,0.2329053
25,0.7817959,0.719445,"('egoistic', 'altruistic')",1.9755784,1.7444177,1.5415611,1.4413583,1.4329785,1.3017403,0.1312382
19,-0.7512329,-0.5996596,"('inhospitable', 'hospitable')",-0.12327336,-0.057286,-1.0671375,-1.0699219,-0.6472146,-0.5756225,-0.0715921
84,0.7276313,0.4303915,"('inferior', 'superior')",-0.06490575,-0.11799218,0.57711256,0.5499616,0.4132794,0.2874537,0.1258257
2,0.72640306,1.3143877,"('unlikable', 'likable')",0.5418503,1.1172906,0.4244045,0.6134982,0.5642193,1.0150588,-0.4508395
13,-0.7131316,-0.44652742,"('impolite', 'polite')",-0.94457173,-0.76829493,-0.31399673,-0.37815225,-0.6572334,-0.5309915,-0.1262419
34,-0.6936592,-0.38857418,"('mean', 'honorable')",0.1208702,0.16499606,5.3662777,5.540674,1.5978295,1.7723654,-0.1745359
20,-0.69162774,-0.83820087,"('rough', 'thoughtful')",-0.3971953,-0.5371564,0.97853947,0.9447897,-0.0367612,-0.1435225,0.1067613
68,-0.6714643,-0.58352506,"('dependent', 'independent')",-0.93637246,-0.84208155,-0.97617465,-1.1143289,-0.8613371,-0.8466452,-0.0146919
71,0.6624152,0.7853905,"('diffident', 'self-confident')",0.8596846,0.8390307,0.42871922,0.4494139,0.650273,0.6912783,-0.0410053
81,-0.65278876,-0.39428568,"('submissive', 'aggressive')",-1.5492293,-1.2768055,-0.6560296,-0.49436766,-0.9526825,-0.7218196,-0.2308629
74,0.65270865,0.61160904,"('undedicated', 'dedicated')",-0.68844056,-0.7762919,-0.40693253,-0.5413013,-0.1475548,-0.2353281,0.0877733
79,-0.5979398,-0.97446126,"('wavering', 'unwavering')",0.005229028,-0.09469902,-0.6572855,-0.76686937,-0.4166654,-0.6120098,0.1953444
42,0.57827866,0.6468889,"('unreliable', 'reliable')",-0.020090446,0.20417187,-2.747787,-2.8131745,-0.7298663,-0.6540379,-0.0758284
6,0.5633501,0.19428584,"('distant', 'open')",0.7132204,0.4779749,-0.5996969,-0.80455524,0.2256246,-0.0440982,0.2697228
59,0.5625175,0.5647721,"('foolish', 'wise')",-0.032873258,0.06922309,-0.27864927,-0.28947255,0.083665,0.1148409,-0.0311759
10,-0.548805,-0.6965442,"('unsympathetic', 'sympathetic')",-1.497949,-1.8019035,0.25977787,0.016044678,-0.5956587,-0.8274677,0.231809
22,-0.5449657,-0.51685005,"('untrustworthy', 'trustworthy')",-1.3133621,-1.3751211,-0.81115896,-0.8860151,-0.8898289,-0.9259954,0.0361665
3,-0.5296542,-0.4713602,"('repellent', 'pleasant')",-0.5283882,-0.60054886,1.0853944,1.1971785,0.0091173,0.0417565,-0.0326392
11,-0.5268449,-0.38156116,"('unhelpful', 'helpful')",-1.3217275,-1.2405314,1.3825508,1.4880215,-0.1553406,-0.0446904,-0.1106502
78,-0.5079211,-0.72646743,"('nonresilient', 'resilient')",0.27863693,0.030862711,0.25020218,0.22489306,0.0069727,-0.1569039,0.1638766
56,-0.49729627,-0.10979244,"('impractical', 'practical')",-0.79954094,-0.7194421,-0.17585182,-0.16486734,-0.4908963,-0.3313673,-0.159529
46,-0.48060066,-0.39499983,"('uncompetitive', 'competitive')",-0.3423322,-0.27920717,-0.8336508,-0.7752384,-0.5521946,-0.4831485,-0.0690461
27,0.4759337,0.34860674,"('hardhearted', 'softhearted')",0.5181143,0.2250376,1.3152232,1.0370245,0.7697571,0.5368896,0.2328675
