,hillshire_male,hillshire_female,tuple,brands_male,brands_female,co_male,co_female,average_male,average_female,male-female
36,-2.3412952,-1.5499367,"('hostile', 'amicable')",-2.448985,-1.8599766,-0.93109405,-0.7165921,-1.9071248,-1.3755018,-0.531623
6,-2.2460113,-1.5961185,"('distant', 'open')",-0.80968314,-0.24885744,-0.6655344,-0.61979425,-1.2404095,-0.8215901,-0.4188194
31,-2.2027867,-1.3723949,"('evil', 'good')",-2.099898,-1.5678488,-1.4897345,-1.3776674,-1.9308065,-1.4393037,-0.4915028
1,-1.8926408,-1.0995337,"('unfriendly', 'friendly')",0.1585516,0.86287624,0.6978253,1.0038638,-0.3454213,0.2557355,-0.6011568
8,-1.8254565,-1.0478896,"('unaffectionate', 'affectionate')",-0.79358876,-0.22760364,-0.21686271,0.13334173,-0.9453026,-0.3807172,-0.5645854
60,1.7929497,0.9022662,"('inefficient', 'efficient')",2.276673,1.7967716,0.96958876,0.6701107,1.6797373,1.1230495,0.5566878
46,1.7056824,1.1211625,"('uncompetitive', 'competitive')",2.0375857,1.9699279,-0.47333255,-0.32056677,1.0899785,0.9235078,0.1664707
56,1.6754615,1.4315957,"('impractical', 'practical')",2.5060246,2.269741,0.5168556,0.3998635,1.5661139,1.3670669,0.199047
52,-1.6628064,-1.179295,"('irrational', 'rational')",-1.599832,-1.4038135,-1.0546108,-1.0650917,-1.4390831,-1.2160667,-0.2230164
42,1.5621628,1.3185072,"('unreliable', 'reliable')",0.6174781,0.6445827,-2.269201,-2.2470968,-0.0298534,-0.0946689,0.0648155
5,-1.5170403,-1.0369711,"('distant', 'outgoing')",-0.39377102,0.019660808,-0.65846634,-0.6451071,-0.8564259,-0.5541391,-0.3022868
76,1.4236958,1.0921602,"('anxious', 'daring')",1.3632354,1.2177553,0.63690674,0.60319334,1.1412792,0.9710363,0.1702429
39,1.3918723,1.359841,"('exploitative', 'cooperative')",1.612165,1.4710066,0.84820724,0.7869542,1.2840815,1.205934,0.0781475
85,-1.3878598,-0.6010688,"('insignificant', 'prestigious')",-0.7337774,-0.3183686,-1.291759,-1.2049094,-1.1377988,-0.7081156,-0.4296832
26,-1.3730203,-0.44777754,"('hardhearted', 'benevolent')",0.38347733,0.92638427,0.5193792,1.0291694,-0.1567213,0.502592,-0.6593133
21,1.3084395,0.4664749,"('immoral', 'moral')",1.2286887,0.8420587,-0.27304727,-0.4754526,0.7546937,0.2776937,0.477
70,1.3030891,1.1580732,"('lethargic', 'energetic')",0.8686945,0.97318095,0.89407194,0.9856317,1.0219518,1.038962,-0.0170102
73,1.2905426,1.2970443,"('helpless', 'self-reliant')",0.8015555,0.7365949,-3.5408216,-3.5742884,-0.4829078,-0.5135497,0.0306419
25,-1.2882029,-0.992358,"('egoistic', 'altruistic')",-0.48913798,-0.5052463,0.6620208,0.526887,-0.3717734,-0.3235725,-0.0482009
35,-1.2821902,-0.6273583,"('corrupt', 'incorrupt')",-2.6404214,-2.2006235,-1.2205802,-1.1334527,-1.7143973,-1.3204782,-0.3939191
64,1.0947282,1.0045011,"('shy', 'confident')",0.2927723,0.29490596,-5.0716143,-4.82498,-1.2280379,-1.1751909,-0.052847
62,1.0941972,0.6648951,"('incompetent', 'brilliant')",2.0120552,1.7160465,0.7043658,0.5037046,1.270206,0.9615487,0.3086573
67,1.0467882,0.7144965,"('doubtful', 'determined')",0.33342224,0.26582617,0.10215666,-0.10827997,0.4941223,0.2906809,0.2034414
63,0.99601305,0.6672931,"('unperceptive', 'insightful')",1.3039093,1.273986,0.7374223,0.5970427,1.0124482,0.8461072,0.166341
80,0.9913655,0.6125985,"('dominated', 'dominating')",0.8901541,0.6188885,-0.2673653,-0.37738684,0.5380514,0.2847001,0.2533513
88,-0.94284666,-1.1019533,"('low', 'eminent')",0.2593917,0.28717873,-0.48785374,-0.4844788,-0.3904363,-0.4330844,0.0426481
19,-0.9385602,-0.6690647,"('inhospitable', 'hospitable')",-0.5134303,-0.306051,-0.5673525,-0.6370361,-0.6731143,-0.5373839,-0.1357304
7,0.9269084,0.74194956,"('insensitive', 'sensitive')",0.9618594,0.8655666,0.22967726,0.19555661,0.7061483,0.6010243,0.105124
37,0.88012445,0.8597377,"('fake', 'genuine')",0.086466245,0.089294106,0.04320327,-0.124145426,0.336598,0.2749621,0.0616359
30,0.8680412,0.84489876,"('intolerant', 'tolerant')",1.987356,1.6789368,1.0472779,0.8780606,1.3008917,1.1339654,0.1669263
10,0.8596438,0.5774109,"('unsympathetic', 'sympathetic')",0.9632256,0.932582,0.09965934,0.24630895,0.6408429,0.5854339,0.055409
12,0.8512407,0.612628,"('unsupportive', 'supportive')",1.287896,1.2741817,-1.9128853,-1.7486966,0.0754172,0.0460377,0.0293795
