,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
49,-1.6175721,-1.270361,"('unable', 'able')",-1.3084629,-1.0834609,-0.64906764,-0.34764898,-1.1917009,-0.9004903,-0.2912106
68,-1.5012549,-1.1317612,"('dependent', 'independent')",-1.1584309,-0.9131217,-1.005563,-0.8682829,-1.2217496,-0.9710552,-0.2506944
73,1.4991759,1.3744148,"('helpless', 'self-reliant')",0.4878182,0.5117197,-3.445705,-3.1887176,-0.4862369,-0.4341944,-0.0520425
53,-1.4917246,-1.2521517,"('uncreative', 'creative')",-1.2007222,-1.1333194,0.72347414,0.7630089,-0.6563242,-0.5408208,-0.1155034
67,1.2148658,0.9524951,"('doubtful', 'determined')",0.5854772,0.40460026,-0.78094494,-0.72586954,0.3397994,0.2104086,0.1293908
86,-1.0368159,-0.85051894,"('uninfluential', 'influential')",-0.6469861,-0.6879224,0.13402808,0.11275877,-0.5165913,-0.4752276,-0.0413637
34,-0.9882423,-0.48474526,"('mean', 'honorable')",0.1794588,0.48556703,5.697175,5.80767,1.6294638,1.9361639,-0.3067001
59,0.97297275,0.62044924,"('foolish', 'wise')",-0.05592079,-0.22204703,-0.102646105,0.110334456,0.2714686,0.1695789,0.1018897
33,0.97173,0.7599452,"('wrong', 'right')",0.37230045,0.096376374,-0.6982596,-0.57800883,0.2152569,0.0927709,0.122486
5,-0.90557224,-1.0815202,"('distant', 'outgoing')",-0.6811347,-0.94521147,-0.5138871,-0.31597665,-0.700198,-0.7809028,0.0807048
20,-0.8899081,-0.40439737,"('rough', 'thoughtful')",-0.261474,0.25615934,0.78697574,0.7748784,-0.1214688,0.2088801,-0.3303489
12,0.87368166,0.65135926,"('unsupportive', 'supportive')",0.30961925,0.047843877,-1.9591496,-1.7417226,-0.2586162,-0.3475065,0.0888903
26,0.83795094,0.67345953,"('hardhearted', 'benevolent')",1.1280048,0.9727706,1.4896531,1.3111572,1.1518696,0.9857958,0.1660738
52,0.8344397,0.2580363,"('irrational', 'rational')",-0.07949084,-0.584083,-0.21129826,-0.22949761,0.1812169,-0.1851815,0.3663984
36,-0.82081544,-1.3473434,"('hostile', 'amicable')",-1.2180741,-1.5802537,-0.1584169,-0.4455951,-0.7324355,-1.1243974,0.3919619
77,-0.8127434,-0.9571811,"('unmotivated', 'motivated')",0.51438487,0.5986276,-1.2183322,-1.2900372,-0.5055636,-0.5495302,0.0439666
10,-0.75279605,-0.79362875,"('unsympathetic', 'sympathetic')",-0.39423847,-0.41161385,-0.025297187,-0.12654766,-0.3907772,-0.4439301,0.0531529
60,-0.75217146,-0.19227599,"('inefficient', 'efficient')",1.4225324,1.8203175,0.12596145,0.29043105,0.2654408,0.6394908,-0.37405
