,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.7432628,-2.8197377,"('unsympathetic', 'sympathetic')",-1.1449606,-1.2668194,-0.29761106,-0.36075172,-1.3952781,-1.4824362,0.0871581
81,-2.5332394,-2.458169,"('submissive', 'aggressive')",-0.034603447,-0.10040879,-0.36288702,-0.29231665,-0.97691,-0.9502982,-0.0266118
57,-2.335909,-2.3390715,"('unimaginative', 'imaginative')",-0.8470067,-0.98250777,-2.6544402,-2.7754714,-1.9457852,-2.0323502,0.086565
85,2.108738,2.136781,"('insignificant', 'prestigious')",-0.47718975,-0.23259935,-0.34337136,-0.38638228,0.4293923,0.5059331,-0.0765408
69,2.0996788,2.0110123,"('lazy', 'industrious')",1.8181214,1.7866673,-0.6257416,-0.72527564,1.0973528,1.0241346,0.0732182
11,-2.002952,-1.933646,"('unhelpful', 'helpful')",-0.1471045,-0.14401986,1.9726026,2.1023107,-0.0591513,0.008215,-0.0673663
65,-1.92933,-2.0793629,"('insecure', 'secure')",-0.07120897,-0.28305978,-0.1732553,-0.121635586,-0.7245981,-0.8280195,0.1034214
70,-1.9216158,-1.8823442,"('lethargic', 'energetic')",-0.012799935,-0.019799754,0.85911536,0.93003416,-0.3584335,-0.3240366,-0.0343969
14,-1.8752055,-1.889754,"('antisocial', 'social')",0.5449083,0.46412998,-1.0105498,-0.74387676,-0.7802823,-0.7231669,-0.0571154
21,-1.8597958,-1.7682136,"('immoral', 'moral')",-0.6408138,-0.58930266,-1.0245595,-0.85764545,-1.1750564,-1.0717206,-0.1033358
86,-1.8346431,-1.8541181,"('uninfluential', 'influential')",-0.32187617,-0.4260258,-0.03971702,-0.21995579,-0.7320788,-0.8333666,0.1012878
35,1.8279302,1.8065125,"('corrupt', 'incorrupt')",-0.4404755,-0.24003589,-0.50800115,-0.5567222,0.2931512,0.3365848,-0.0434336
45,-1.806626,-1.7781488,"('incompetent', 'competent')",-0.062168367,-0.13855536,-0.45280272,-0.58804446,-0.7738657,-0.8349162,0.0610505
73,1.7263547,1.8966367,"('helpless', 'self-reliant')",0.2638412,0.4099553,-3.2323751,-3.4044526,-0.4140597,-0.3659535,-0.0481062
3,-1.6642499,-1.6297059,"('repellent', 'pleasant')",-0.2528969,-0.2158092,0.057413213,0.21218717,-0.6199112,-0.5444427,-0.0754685
60,-1.6330775,-1.6710291,"('inefficient', 'efficient')",0.7971293,0.52525884,0.22346097,0.34318942,-0.2041624,-0.267527,0.0633646
23,-1.5719007,-1.5650938,"('insincere', 'sincere')",-0.792594,-0.73447895,5.449208,5.5836077,1.0282377,1.0946783,-0.0664406
