,danaher_male,danaher_female,tuple,corp_male,corp_female,average_male,average_female,male-female
36,-3.5931478,-3.954317,"('hostile', 'amicable')",-0.63009405,-0.6305988,-2.1116209,-2.2924581,0.1808372
60,3.455666,3.9084978,"('inefficient', 'efficient')",0.5813053,0.6163217,2.0184858,2.2624097,-0.2439239
31,-3.1450725,-3.658156,"('evil', 'good')",-1.2404901,-1.2930176,-2.1927812,-2.4755869,0.2828057
85,-2.9161224,-3.3293614,"('insignificant', 'prestigious')",-0.676375,-0.6776214,-1.7962487,-2.0034914,0.2072427
81,2.908661,3.122758,"('submissive', 'aggressive')",-0.04523649,-0.043371886,1.4317122,1.539693,-0.1079808
6,-2.7843647,-3.119683,"('distant', 'open')",-0.786754,-0.65938145,-1.7855594,-1.8895322,0.1039728
62,2.5729818,2.9381113,"('incompetent', 'brilliant')",0.7926003,0.91544104,1.682791,1.9267762,-0.2439852
56,2.4672399,2.6815767,"('impractical', 'practical')",0.038731992,0.06694694,1.252986,1.3742619,-0.1212759
8,-2.4124265,-2.6410322,"('unaffectionate', 'affectionate')",0.42660084,0.49300456,-0.9929128,-1.0740138,0.081101
79,-2.4011564,-2.8240147,"('wavering', 'unwavering')",-0.47408602,-0.4209811,-1.4376212,-1.6224979,0.1848767
5,-2.3657844,-2.7416775,"('distant', 'outgoing')",-0.78008884,-0.56089556,-1.5729367,-1.6512866,0.0783499
46,2.344347,2.645897,"('uncompetitive', 'competitive')",-0.24244437,-0.4984097,1.0509514,1.0737436,-0.0227922
21,2.1952045,2.3838642,"('immoral', 'moral')",-0.21903886,-0.30714306,0.9880828,1.0383606,-0.0502778
35,-2.193803,-2.545214,"('corrupt', 'incorrupt')",-0.8002381,-0.6430232,-1.4970206,-1.5941186,0.097098
55,2.1406162,2.6519096,"('incompetent', 'clever')",0.51868427,0.3348015,1.3296502,1.4933555,-0.1637053
52,-2.0868146,-2.327462,"('irrational', 'rational')",-0.3464912,-0.23887497,-1.2166529,-1.2831684,0.0665155
76,2.0711083,2.611882,"('anxious', 'daring')",0.08849038,0.08097931,1.0797994,1.3464307,-0.2666313
16,-1.8848958,-1.7600458,"('unpopular', 'popular')",-0.18533444,-0.01709024,-1.0351151,-0.888568,-0.1465471
80,1.8817469,2.0067327,"('dominated', 'dominating')",-0.62772614,-0.82355803,0.6270103,0.5915873,0.035423
39,1.8365582,1.7915617,"('exploitative', 'cooperative')",0.10808966,0.1609655,0.972324,0.9762636,-0.0039396
1,-1.7869023,-2.3011277,"('unfriendly', 'friendly')",1.2595919,0.98839676,-0.2636552,-0.6563655,0.3927103
19,-1.7143946,-2.028751,"('inhospitable', 'hospitable')",-0.46428674,-0.5339019,-1.0893407,-1.2813264,0.1919857
9,-1.6945934,-1.6723683,"('unaffectionate', 'caring')",1.0362747,1.10999,-0.3291594,-0.2811891,-0.0479703
70,1.6652479,1.7991985,"('lethargic', 'energetic')",0.5044372,0.27669728,1.0848426,1.0379479,0.0468947
14,1.6321497,1.9100738,"('antisocial', 'social')",-0.1913567,-0.20987277,0.7203965,0.8501005,-0.129704
13,1.6047618,1.5345948,"('impolite', 'polite')",-0.38856077,-0.4082181,0.6081005,0.5631883,0.0449122
67,1.5432199,1.2653466,"('doubtful', 'determined')",-0.27421275,-0.31075576,0.6345036,0.4772955,0.1572081
4,-1.5289731,-1.7662588,"('disliked', 'liked')",-6.748972,-6.8829236,-4.1389723,-4.3245912,0.1856189
75,-1.5225748,-1.3678178,"('meek', 'impulsive')",-1.1125588,-0.8917566,-1.3175669,-1.1297872,-0.1877797
66,-1.4955019,-1.682449,"('inactive', 'active')",0.21598876,0.19319305,-0.6397566,-0.744628,0.1048714
65,1.4866413,1.838503,"('insecure', 'secure')",-0.15373534,-0.086108506,0.666453,0.8761972,-0.2097442
10,1.4385599,1.772703,"('unsympathetic', 'sympathetic')",0.25991315,-0.10658808,0.8492365,0.8330575,0.016179
22,1.3764502,1.215736,"('untrustworthy', 'trustworthy')",-0.9699936,-1.0765595,0.2032283,0.0695882,0.1336401
11,1.3546839,1.5648407,"('unhelpful', 'helpful')",2.2587738,2.335546,1.8067288,1.9501934,-0.1434646
37,1.3350594,0.95691234,"('fake', 'genuine')",0.4825229,0.15009809,0.9087912,0.5535052,0.355286
30,1.3156993,1.4074165,"('intolerant', 'tolerant')",0.9175404,0.91873425,1.1166198,1.1630753,-0.0464555
45,1.2815386,1.3518914,"('incompetent', 'competent')",0.38511983,0.08867561,0.8333292,0.7202835,0.1130457
43,1.2574599,1.2569301,"('irresponsible', 'responsible')",0.76403046,0.58394974,1.0107452,0.92044,0.0903052
25,-1.1479,-1.2780395,"('egoistic', 'altruistic')",0.5780806,0.7369447,-0.2849097,-0.2705474,-0.0143623
0,1.1342249,0.92836815,"('unsociable', 'sociable')",-0.070456296,-0.26540262,0.5318843,0.3314828,0.2004015
63,1.1109201,1.0517992,"('unperceptive', 'insightful')",1.2108111,1.1469792,1.1608655,1.0993892,0.0614763
53,-1.0848805,-0.9435455,"('uncreative', 'creative')",0.47194126,0.42293745,-0.3064696,-0.260304,-0.0461656
54,-1.0238478,-1.1633943,"('incapable', 'capable')",0.56484526,0.77528036,-0.2295013,-0.194057,-0.0354443
18,-1.0156572,-1.0102339,"('disagreeable', 'welcoming')",-0.620945,-0.6667513,-0.8183011,-0.8384926,0.0201915
24,1.0061809,0.8508155,"('dishonest', 'honest')",0.8681057,0.74063635,0.9371433,0.7957259,0.1414174
59,-0.9690501,-0.93545264,"('foolish', 'wise')",-0.1568873,0.17383884,-0.5629687,-0.3808069,-0.1821618
84,0.9621531,1.0459957,"('inferior', 'superior')",1.2566228,1.4393274,1.1093879,1.2426615,-0.1332736
42,0.94093573,0.9245986,"('unreliable', 'reliable')",-2.772596,-2.962389,-0.9158301,-1.0188951,0.103065
7,0.9116068,1.1212735,"('insensitive', 'sensitive')",0.3294598,0.26786897,0.6205333,0.6945713,-0.074038
51,0.91131383,1.050179,"('uneducated', 'educated')",0.6146376,0.27882057,0.7629757,0.6644998,0.0984759
64,0.8957817,0.66435724,"('shy', 'confident')",-5.910179,-5.955444,-2.5071988,-2.6455433,0.1383445
74,0.8669747,0.82725817,"('undedicated', 'dedicated')",-0.0707178,-0.4557906,0.3981284,0.1857338,0.2123946
48,0.8639076,0.8023876,"('unintelligent', 'intelligent')",1.1320181,0.9851635,0.9979628,0.8937756,0.1041872
23,0.86208713,0.8975476,"('insincere', 'sincere')",5.78124,5.795314,3.3216636,3.3464308,-0.0247672
17,-0.79798555,-0.76135695,"('nasty', 'nice')",-0.7993341,-0.7389181,-0.7986598,-0.7501376,-0.0485222
