,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-2.329343,-2.3123996,"('evil', 'good')",-1.4350748,-1.5205404,-1.8822089,-1.9164701,0.0342612
36,-2.0426195,-2.0234244,"('hostile', 'amicable')",-0.5476847,-0.6951005,-1.2951521,-1.3592625,0.0641104
62,1.9343324,1.9897866,"('incompetent', 'brilliant')",0.9360956,1.0252776,1.435214,1.5075321,-0.0723181
81,1.7884966,1.5102093,"('submissive', 'aggressive')",-0.00041457266,0.13655302,0.894041,0.8233812,0.0706598
1,-1.784001,-1.8895499,"('unfriendly', 'friendly')",0.9882528,0.80247706,-0.3978741,-0.5435364,0.1456623
6,-1.584989,-1.3350034,"('distant', 'open')",-0.76871073,-0.82249796,-1.1768498,-1.0787506,-0.0980992
73,1.4797815,1.5650108,"('helpless', 'self-reliant')",-3.135506,-3.1259396,-0.8278622,-0.7804644,-0.0473978
8,-1.4274081,-1.4373716,"('unaffectionate', 'affectionate')",0.505879,0.3557182,-0.4607646,-0.5408267,0.0800621
60,1.4238341,1.4184258,"('inefficient', 'efficient')",0.5116595,0.5948083,0.9677468,1.0066171,-0.0388703
80,1.2264496,1.2615818,"('dominated', 'dominating')",-0.48585624,-0.43569475,0.3702967,0.4129435,-0.0426468
56,1.1798776,1.4504797,"('impractical', 'practical')",-0.18756394,-0.0654911,0.4961568,0.6924943,-0.1963375
27,-1.1545807,-1.0070415,"('hardhearted', 'softhearted')",1.1127226,0.99415123,-0.020929,-0.0064451,-0.0144839
52,-1.1451089,-1.2865494,"('irrational', 'rational')",-0.11212799,-0.37581596,-0.6286185,-0.8311827,0.2025642
84,1.1155089,1.0589726,"('inferior', 'superior')",1.1956836,1.2249142,1.1555963,1.1419435,0.0136528
79,-1.1105103,-0.9924978,"('wavering', 'unwavering')",-0.3346283,-0.2226164,-0.7225693,-0.6075571,-0.1150122
26,-1.0954205,-1.0599518,"('hardhearted', 'benevolent')",1.0759346,1.0625075,-0.0097429,0.0012779,-0.0110208
64,1.0758287,0.785725,"('shy', 'confident')",-6.4138374,-6.3055835,-2.6690044,-2.7599292,0.0909248
53,-1.0091916,-1.2630417,"('uncreative', 'creative')",0.4675185,0.37010458,-0.2708366,-0.4464686,0.175632
67,0.95011336,1.1968254,"('doubtful', 'determined')",-0.44049567,-0.315477,0.2548088,0.4406742,-0.1858654
87,0.92639446,1.2086703,"('unsuccessful', 'successful')",1.0857043,1.0017356,1.0060494,1.1052029,-0.0991535
42,0.9014295,0.996869,"('unreliable', 'reliable')",-3.1030884,-2.9197,-1.1008295,-0.9614154,-0.1394141
51,0.89755505,0.88699216,"('uneducated', 'educated')",0.52231634,0.5740169,0.7099357,0.7305045,-0.0205688
30,0.8946877,0.9683975,"('intolerant', 'tolerant')",0.6599584,0.79347795,0.7773231,0.8809377,-0.1036146
16,-0.88546145,-1.018399,"('unpopular', 'popular')",0.12513201,-0.04050318,-0.3801647,-0.5294511,0.1492864
5,-0.85370773,-0.630258,"('distant', 'outgoing')",-0.6511875,-0.7091093,-0.7524476,-0.6696837,-0.0827639
40,0.81085044,0.4466891,"('stingy', 'generous')",-2.1361141,-2.242583,-0.6626319,-0.897947,0.2353151
70,0.8019544,0.97418004,"('lethargic', 'energetic')",0.60306925,0.72093165,0.7025118,0.8475559,-0.1450441
85,-0.7898928,-0.7088556,"('insignificant', 'prestigious')",-0.965066,-1.0657699,-0.8774794,-0.8873128,0.0098334
18,-0.74353904,-0.56520206,"('disagreeable', 'welcoming')",-0.69267243,-0.63923633,-0.7181057,-0.6022192,-0.1158865
37,0.72086304,0.82676756,"('fake', 'genuine')",0.5295578,0.6573852,0.6252104,0.7420764,-0.116866
86,-0.71616554,-0.69599086,"('uninfluential', 'influential')",-0.19193387,-0.19408596,-0.4540497,-0.4450384,-0.0090113
76,0.6972142,0.788225,"('anxious', 'daring')",0.14935379,0.44924822,0.423284,0.6187366,-0.1954526
19,-0.68348384,-0.2675319,"('inhospitable', 'hospitable')",-0.42326203,-0.24422342,-0.5533729,-0.2558777,-0.2974952
61,-0.67861724,-0.798306,"('illogical', 'logical')",0.4535542,0.3721346,-0.1125315,-0.2130857,0.1005542
58,-0.67092884,-0.62395334,"('undiscriminating', 'discriminating')",0.22082204,0.23350318,-0.2250534,-0.1952251,-0.0298283
88,-0.6639423,-0.5701483,"('low', 'eminent')",-0.25589117,-0.18945546,-0.4599167,-0.3798019,-0.0801148
15,-0.64995813,-0.53150785,"('boring', 'funny')",-0.14337179,-0.09787885,-0.396665,-0.3146934,-0.0819716
55,0.6325099,0.5778583,"('incompetent', 'clever')",0.46796384,0.46210757,0.5502369,0.5199829,0.030254
82,-0.61951995,-0.5150249,"('poor', 'rich')",6.8780575,6.9303374,3.1292686,3.2076564,-0.0783878
13,0.59538937,0.797153,"('impolite', 'polite')",-0.41697487,-0.4044702,0.0892072,0.1963414,-0.1071342
66,-0.5806534,-0.3230902,"('inactive', 'active')",0.4385678,0.4452239,-0.0710428,0.0610669,-0.1321097
21,0.5561703,0.54760873,"('immoral', 'moral')",-0.20665771,-0.11858742,0.1747563,0.2145106,-0.0397543
2,0.51782507,0.7430244,"('unlikable', 'likable')",0.39110798,0.59755415,0.4544665,0.6702893,-0.2158228
35,-0.4870813,-0.4603708,"('corrupt', 'incorrupt')",-0.91024333,-0.87307453,-0.6986623,-0.6667227,-0.0319396
54,-0.47965142,-0.42744112,"('incapable', 'capable')",0.9537353,1.0406146,0.2370419,0.3065867,-0.0695448
