,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,4.2951965,3.8260837,"('inefficient', 'efficient')",0.6988476,0.7940692,2.4970222,2.3100765,0.1869457
85,-4.240797,-3.3503942,"('insignificant', 'prestigious')",-1.1689142,-1.0847709,-2.7048557,-2.2175827,-0.487273
55,4.1625237,3.6275566,"('incompetent', 'clever')",0.68996507,0.58623195,2.4262445,2.1068943,0.3193502
14,4.1612115,3.6712277,"('antisocial', 'social')",0.3266017,-0.007689136,2.2439065,1.8317692,0.4121373
36,-3.9556413,-3.4937901,"('hostile', 'amicable')",-1.221277,-1.1246762,-2.588459,-2.3092332,-0.2792258
35,-3.703229,-3.1788886,"('corrupt', 'incorrupt')",-0.99124104,-0.92680556,-2.347235,-2.0528471,-0.2943879
31,-3.5624154,-3.1623356,"('evil', 'good')",-1.7333329,-1.7146093,-2.6478741,-2.4384725,-0.2094016
81,3.4691665,2.7074504,"('submissive', 'aggressive')",-0.28194392,-0.4818775,1.5936112,1.1127864,0.4808248
52,-3.3030963,-2.7670357,"('irrational', 'rational')",-0.56127363,-0.5168811,-1.9321849,-1.6419585,-0.2902264
10,3.2975035,2.6742725,"('unsympathetic', 'sympathetic')",0.52432615,0.23947036,1.9109148,1.4568715,0.4540433
56,3.237969,2.647091,"('impractical', 'practical')",-0.2026258,-0.38993233,1.5176716,1.1285793,0.3890923
62,3.2245746,3.0453138,"('incompetent', 'brilliant')",0.62579185,0.753044,1.9251832,1.899179,0.0260042
6,-3.2003584,-2.3704674,"('distant', 'open')",-0.7498854,-0.53947455,-1.9751219,-1.454971,-0.5201509
4,-3.1128416,-2.7587352,"('disliked', 'liked')",-8.127068,-8.300441,-5.6199546,-5.5295877,-0.0903669
70,3.0931826,2.5370274,"('lethargic', 'energetic')",1.105398,0.8656187,2.0992904,1.701323,0.3979674
7,3.0758107,2.4260507,"('insensitive', 'sensitive')",1.1706654,1.0068922,2.1232381,1.7164714,0.4067667
5,-3.0266333,-2.3568654,"('distant', 'outgoing')",-0.8384658,-0.6312202,-1.9325495,-1.4940429,-0.4385066
0,2.9794028,2.3856392,"('unsociable', 'sociable')",0.59239435,0.27816424,1.7858986,1.3319017,0.4539969
59,-2.8750954,-2.7092724,"('foolish', 'wise')",-0.31390724,-0.07962561,-1.5945013,-1.394449,-0.2000523
46,2.6042209,2.036186,"('uncompetitive', 'competitive')",-0.6278302,-0.7139784,0.9881953,0.6611038,0.3270915
13,2.6014936,2.1930485,"('impolite', 'polite')",-0.5347595,-0.59291244,1.033367,0.800068,0.233299
65,2.5449553,1.9704814,"('insecure', 'secure')",0.18299326,0.09643178,1.3639742,1.0334566,0.3305176
80,2.532474,1.8979068,"('dominated', 'dominating')",-0.37744072,-0.5541859,1.0775167,0.6718605,0.4056562
79,-2.522222,-2.5081034,"('wavering', 'unwavering')",-0.58053124,-0.7111071,-1.5513766,-1.6096052,0.0582286
21,2.4855835,2.4232275,"('immoral', 'moral')",-0.16220562,-0.04713647,1.1616889,1.1880455,-0.0263566
16,-2.3699548,-2.091476,"('unpopular', 'popular')",-0.44272578,-0.2664383,-1.4063404,-1.1789571,-0.2273833
75,-2.3687358,-2.1717439,"('meek', 'impulsive')",-1.3270131,-1.2826786,-1.8478744,-1.7272112,-0.1206632
76,2.3460186,2.2564268,"('anxious', 'daring')",0.27966154,0.2074035,1.31284,1.2319151,0.0809249
69,-2.2832098,-1.8147852,"('lazy', 'industrious')",-1.5534513,-1.4437207,-1.9183306,-1.6292529,-0.2890777
23,2.2811024,1.7443458,"('insincere', 'sincere')",6.653376,6.8001575,4.4672394,4.2722516,0.1949878
30,2.2626693,1.9962547,"('intolerant', 'tolerant')",0.82130194,0.840216,1.5419856,1.4182353,0.1237503
44,-2.1072967,-1.7626832,"('prejudiced', 'unprejudiced')",-1.509978,-1.4575049,-1.8086374,-1.6100941,-0.1985433
86,2.0103018,1.2906767,"('uninfluential', 'influential')",0.17868528,-0.12884223,1.0944935,0.5809172,0.5135763
43,1.9555044,1.7339497,"('irresponsible', 'responsible')",1.0840906,0.99247396,1.5197976,1.3632119,0.1565857
19,-1.9441439,-1.6538872,"('inhospitable', 'hospitable')",-0.6594101,-0.50539273,-1.301777,-1.0796399,-0.2221371
48,1.754092,1.5703862,"('unintelligent', 'intelligent')",0.48842463,0.53731567,1.1212583,1.0538509,0.0674074
3,1.6266297,1.6648213,"('repellent', 'pleasant')",0.7510596,0.9428518,1.1888447,1.3038366,-0.1149919
66,-1.574243,-1.4283005,"('inactive', 'active')",-0.20193377,-0.25379574,-0.8880883,-0.8410481,-0.0470402
45,1.5265269,0.8065654,"('incompetent', 'competent')",0.2835552,0.00818264,0.9050411,0.407374,0.4976671
17,-1.4380088,-1.4809989,"('nasty', 'nice')",-0.45851254,-0.64568543,-0.9482607,-1.0633421,0.1150814
64,-1.3959001,-1.4509866,"('shy', 'confident')",-6.623111,-6.841793,-4.0095053,-4.14639,0.1368847
74,1.3422673,1.0114768,"('undedicated', 'dedicated')",0.055551894,-0.19734696,0.6989096,0.4070649,0.2918447
51,1.3097031,0.9531744,"('uneducated', 'educated')",0.6203682,0.42013854,0.9650357,0.6866565,0.2783792
87,1.3004982,1.0016661,"('unsuccessful', 'successful')",0.7896415,0.6548345,1.0450699,0.8282503,0.2168196
32,1.2829398,0.9494748,"('unkind', 'kind')",1.1262454,0.94217044,1.2045926,0.9458226,0.25877
33,-1.2710607,-1.0934145,"('wrong', 'right')",-0.587749,-0.7006278,-0.9294049,-0.8970212,-0.0323837
82,1.2399464,1.1496848,"('poor', 'rich')",6.486754,6.778794,3.8633502,3.9642394,-0.1008892
28,1.2138145,0.91096205,"('disloyal', 'loyal')",1.7113317,1.5134206,1.4625731,1.2121913,0.2503818
39,1.2035072,0.95216644,"('exploitative', 'cooperative')",0.2754738,0.1506002,0.7394905,0.5513833,0.1881072
24,1.1334575,0.9033551,"('dishonest', 'honest')",0.6447341,0.6351541,0.8890958,0.7692546,0.1198412
72,1.0979538,0.9869391,"('unambitious', 'ambitious')",-0.1489861,-0.18648073,0.4744838,0.4002292,0.0742546
11,1.0915366,0.74060535,"('unhelpful', 'helpful')",2.0602005,2.0373259,1.5758686,1.3889656,0.186903
26,1.0732542,0.36087388,"('hardhearted', 'benevolent')",1.462708,1.0539079,1.2679811,0.7073909,0.5605902
12,1.0665206,1.0865104,"('unsupportive', 'supportive')",-1.7142572,-1.7783221,-0.3238683,-0.3459058,0.0220375
57,0.9901082,0.33437872,"('unimaginative', 'imaginative')",-2.817558,-3.2412639,-0.9137249,-1.4534426,0.5397177
29,-0.94830537,-0.66661143,"('unfair', 'fair')",-0.32010794,-0.39585003,-0.6342067,-0.5312307,-0.102976
38,-0.89881176,-0.83592373,"('untruthful', 'truthful')",-0.6260836,-0.45856616,-0.7624477,-0.6472449,-0.1152028
47,0.8982476,0.61473525,"('stupid', 'smart')",5.4686766,5.6651525,3.1834621,3.1399438,0.0435183
63,0.8578727,0.5372776,"('unperceptive', 'insightful')",0.5953675,0.66913223,0.7266201,0.6032049,0.1234152
61,0.8181604,0.76504195,"('illogical', 'logical')",0.5363098,0.4341367,0.6772351,0.5995893,0.0776458
1,-0.716443,-0.6532992,"('unfriendly', 'friendly')",0.95778203,0.9162429,0.1206695,0.1314718,-0.0108023
73,-0.71310735,-0.23444015,"('helpless', 'self-reliant')",-3.3513083,-3.2036655,-2.032208,-1.7190528,-0.3131552
50,-0.7129512,-0.8835274,"('clumsy', 'skillful')",0.28275236,0.25695458,-0.2150994,-0.3132864,0.098187
37,0.688058,0.75242186,"('fake', 'genuine')",0.73514646,0.7050635,0.7116022,0.7287427,-0.0171405
8,-0.6859962,-0.4806326,"('unaffectionate', 'affectionate')",0.9362718,0.99843466,0.1251378,0.258901,-0.1337632
53,-0.6819662,-0.5598624,"('uncreative', 'creative')",-0.008333476,0.0422868,-0.3451498,-0.2587878,-0.086362
41,0.65040904,0.4969214,"('unforgiving', 'forgiving')",-0.04383652,-0.29999077,0.3032863,0.0984653,0.204821
34,0.64206016,0.84408176,"('mean', 'honorable')",5.1859283,5.649071,2.9139943,3.2465765,-0.3325822
22,0.60313576,0.31625408,"('untrustworthy', 'trustworthy')",-0.62735,-0.66755676,-0.0121071,-0.1756513,0.1635442
25,-0.60176194,-0.1312484,"('egoistic', 'altruistic')",0.86812633,1.0474771,0.1331822,0.4581144,-0.3249322
18,-0.5992145,-0.18865931,"('disagreeable', 'welcoming')",-0.4062003,-0.30505106,-0.5027074,-0.2468552,-0.2558522
88,-0.5050365,-0.657678,"('low', 'eminent')",-0.18371774,-0.2615662,-0.3443771,-0.4596221,0.115245
77,0.47874615,0.53286296,"('unmotivated', 'motivated')",-1.0566858,-0.9244932,-0.2889698,-0.1958151,-0.0931547
68,0.38896686,0.73003453,"('dependent', 'independent')",-0.91736573,-0.75278044,-0.2641994,-0.011373,-0.2528264
42,0.3814236,0.24019156,"('unreliable', 'reliable')",-3.059612,-3.245568,-1.3390942,-1.5026883,0.1635941
54,-0.34804296,-0.3525759,"('incapable', 'capable')",1.0261045,0.9937621,0.3390307,0.3205931,0.0184376
78,0.31271255,0.5665183,"('nonresilient', 'resilient')",0.0804849,0.36555,0.1965987,0.4660342,-0.2694355
58,0.2899459,0.14016952,"('undiscriminating', 'discriminating')",0.2425802,0.058586784,0.2662631,0.0993782,0.1668849
49,0.26499897,0.32651448,"('unable', 'able')",-0.29796475,-0.05923499,-0.0164829,0.1336398,-0.1501227
84,-0.21291631,-0.18934625,"('inferior', 'superior')",0.45578477,0.5726401,0.1214342,0.1916469,-0.0702127
71,-0.19734862,-0.10962759,"('diffident', 'self-confident')",0.4695323,0.45732477,0.1360918,0.1738486,-0.0377568
67,0.1867582,-0.124738544,"('doubtful', 'determined')",-0.47550583,-0.75624686,-0.1443738,-0.4404927,0.2961189
20,-0.18562186,-0.102145754,"('rough', 'thoughtful')",0.44413936,0.504339,0.1292588,0.2010966,-0.0718378
2,0.14434266,0.5187599,"('unlikable', 'likable')",-0.12432169,-0.05868352,0.0100105,0.2300382,-0.2200277
9,0.12425989,0.37036532,"('unaffectionate', 'caring')",1.3457317,1.4214506,0.7349958,0.895908,-0.1609122
15,0.092117,-0.5213996,"('boring', 'funny')",-0.31656897,-0.46803692,-0.112226,-0.4947183,0.3824923
