,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,male-female
85,2.2883294,1.683191,"('insignificant', 'prestigious')",1.5977883,1.0443714,1.9430588,1.3637812,0.5792776
82,-2.0491905,-2.056204,"('poor', 'rich')",-0.94247293,-0.76650983,-1.4958317,-1.4113569,-0.0844748
69,2.02602,2.2224798,"('lazy', 'industrious')",1.2650965,1.2380564,1.6455584,1.7302681,-0.0847097
81,-2.0171306,-1.8850503,"('submissive', 'aggressive')",-0.096873954,0.19178651,-1.0570023,-0.8466319,-0.2103704
71,1.8820064,2.0656989,"('diffident', 'self-confident')",0.85595775,1.0492399,1.3689821,1.5574694,-0.1884873
6,1.8722473,1.7909436,"('distant', 'open')",0.6137667,0.5347144,1.2430069,1.162829,0.0801779
59,1.7007034,1.4844358,"('foolish', 'wise')",0.93426216,0.47148395,1.3174827,0.9779599,0.3395228
84,1.6222708,1.4209883,"('inferior', 'superior')",0.6405027,0.6189247,1.1313868,1.0199565,0.1114303
35,1.6162945,1.5252379,"('corrupt', 'incorrupt')",0.4821973,0.3218303,1.049246,0.9235341,0.1257119
33,1.5755793,0.99352777,"('wrong', 'right')",1.0300887,0.56069833,1.302834,0.7771131,0.5257209
21,-1.5246537,-1.9746654,"('immoral', 'moral')",0.31453416,0.17797923,-0.6050597,-0.8983431,0.2932834
14,-1.5027301,-1.3495404,"('antisocial', 'social')",0.5932319,0.784603,-0.4547491,-0.2824687,-0.1722804
36,1.4252611,0.9650952,"('hostile', 'amicable')",0.7585156,0.67650247,1.0918884,0.8207989,0.2710895
70,-1.3771911,-1.1350758,"('lethargic', 'energetic')",-0.4785819,-0.23680665,-0.9278865,-0.6859412,-0.2419453
13,-1.3330054,-1.212615,"('impolite', 'polite')",-0.48054218,-0.405879,-0.9067738,-0.809247,-0.0975268
10,-1.3311063,-1.3844645,"('unsympathetic', 'sympathetic')",-0.52966595,-0.5657921,-0.9303861,-0.9751283,0.0447422
45,-1.3030459,-1.1101135,"('incompetent', 'competent')",-0.033009924,0.37120605,-0.6680279,-0.3694537,-0.2985742
22,-1.2903947,-1.2521422,"('untrustworthy', 'trustworthy')",-0.6330132,-0.21467215,-0.9617039,-0.7334071,-0.2282968
