,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.6597204,-2.3449728,"('unimaginative', 'imaginative')",-1.4332639,-1.5152197,-0.60592926,-0.3497965,-2.4207995,-2.0586555,-1.7799282,-1.5671611,-0.2127671
1,-2.1258135,-2.0900261,"('unfriendly', 'friendly')",-0.6899929,-0.73765606,-0.41736722,-0.76507854,1.7494212,0.9472586,-0.3709381,-0.6613755,0.2904374
48,-2.088006,-2.1350822,"('unintelligent', 'intelligent')",0.034682676,-0.26748493,-0.7704835,-0.88693523,0.2555388,0.16210076,-0.642067,-0.7818504,0.1397834
28,-2.0762582,-1.506113,"('disloyal', 'loyal')",-0.22656435,-0.061534487,-0.81511277,-0.43140143,1.0517256,1.0281847,-0.5165524,-0.2427161,-0.2738363
86,-2.0678902,-1.7687608,"('uninfluential', 'influential')",-0.6806039,-0.8657157,-0.41997916,-0.14993761,-0.3172961,-0.34340772,-0.8714423,-0.7819554,-0.0894869
0,-2.0535316,-1.4081854,"('unsociable', 'sociable')",-0.39396727,-0.276492,-0.33026516,0.6845486,-0.56713563,-0.20324796,-0.8362249,-0.3008442,-0.5353807
10,-2.0512657,-1.8048638,"('unsympathetic', 'sympathetic')",-1.3790828,-1.7514223,-0.39147606,-0.29577354,-0.05718954,0.12797867,-0.9697535,-0.9310203,-0.0387332
45,-1.9188042,-1.7861929,"('incompetent', 'competent')",-0.5328031,-1.0237395,-0.18029761,0.3091529,-0.3664946,-0.30475035,-0.7495999,-0.7013825,-0.0482174
73,1.9046192,1.6646491,"('helpless', 'self-reliant')",0.7062484,0.88183796,-0.22571087,-0.70304316,-3.4243379,-3.8351789,-0.2597953,-0.4979337,0.2381384
35,1.8418057,1.9134525,"('corrupt', 'incorrupt')",0.21753705,0.5976167,-1.0552678,-1.1891422,0.28219247,0.14157507,0.3215669,0.3658755,-0.0443086
63,-1.8295636,-1.7668629,"('unperceptive', 'insightful')",-0.5700765,-0.89207,1.2828537,1.3349948,1.0317507,0.96647763,-0.0212589,-0.0893651,0.0681062
11,-1.8228661,-1.759257,"('unhelpful', 'helpful')",-0.7208183,-0.78422713,-0.88011897,-0.7294381,1.7991711,2.0875323,-0.4061581,-0.2963475,-0.1098106
41,-1.7505064,-1.6593287,"('unforgiving', 'forgiving')",0.10703392,-0.10958569,-0.016974235,-0.0020101294,0.22480758,-0.069937326,-0.3589098,-0.4602154,0.1013056
69,1.7122967,1.8730841,"('lazy', 'industrious')",1.8080497,2.1032016,0.5807768,0.7542548,-0.16083324,-0.3854369,0.9850725,1.0862758,-0.1012033
55,-1.5864439,-1.4714485,"('incompetent', 'clever')",-0.30189797,-0.6925473,0.11395447,0.45910397,-0.118663885,-0.15854946,-0.4732628,-0.4658603,-0.0074025
24,-1.5821629,-1.323941,"('dishonest', 'honest')",-0.16538681,-0.15956685,-1.0398688,-1.297979,0.4662375,0.35526755,-0.5802952,-0.6065549,0.0262597
46,-1.5700986,-1.1335255,"('uncompetitive', 'competitive')",-0.7452631,-1.0552241,1.0459186,1.6465873,-0.27999568,0.03565388,-0.3873597,-0.1266271,-0.2607326
12,-1.5538089,-1.6561744,"('unsupportive', 'supportive')",0.116346106,-0.08284463,0.12037551,-0.16447793,-1.7594205,-2.009699,-0.769127,-0.978299,0.209172
72,-1.4597163,-1.7014087,"('unambitious', 'ambitious')",-0.3824624,-0.44412285,-0.45321822,-0.5685411,-1.5054125,-1.5708292,-0.9502023,-1.0712254,0.1210231
53,-1.4429084,-1.2946084,"('uncreative', 'creative')",-1.793527,-1.8196169,0.52998626,0.22681138,1.0733144,0.891333,-0.4082837,-0.4990202,0.0907365
23,-1.4416057,-1.3787082,"('insincere', 'sincere')",-0.05003346,-0.3923845,-0.87705255,-0.91085035,5.327668,5.1733546,0.7397441,0.6228529,0.1168912
50,1.4321538,1.295805,"('clumsy', 'skillful')",0.6557363,0.510164,0.43628067,0.01941675,0.4792936,0.15732041,0.7508661,0.4956765,0.2551896
8,-1.3779787,-1.4342431,"('unaffectionate', 'affectionate')",-0.587952,-0.48093897,-0.72725415,-1.2673765,0.57161856,-0.16361535,-0.5303916,-0.8365434,0.3061518
14,-1.3688774,-0.6986419,"('antisocial', 'social')",0.0853738,0.094508335,1.5531464,2.5479708,-0.84881765,-0.53325146,-0.1447937,0.3526464,-0.4974401
59,1.295482,1.063455,"('foolish', 'wise')",0.28842926,0.55736095,-0.28188848,-0.6773323,0.4627027,-0.11368023,0.4411814,0.2074509,0.2337305
