,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.8424895,1.909772,"('diffident', 'self-confident')",2.0544937,2.1364768,0.3285591,0.24836615,1.408514,1.4315384,-0.0230244
3,-1.7384984,-1.7693055,"('repellent', 'pleasant')",-2.010492,-2.0771465,0.49119,0.53504705,-1.0859335,-1.1038016,0.0178681
17,-1.5362724,-1.4277643,"('nasty', 'nice')",0.036306813,-0.062776454,-0.71237445,-0.66044956,-0.7374466,-0.7169967,-0.0204499
25,1.4841353,1.5595539,"('egoistic', 'altruistic')",1.9786675,2.0861766,1.2933328,1.354193,1.5853786,1.6666412,-0.0812626
53,1.4817524,1.289823,"('uncreative', 'creative')",0.96272033,0.8932335,0.26907003,0.22910194,0.9045143,0.8040528,0.1004615
33,1.4539262,1.6001263,"('wrong', 'right')",1.6150975,1.6674564,-0.78608066,-0.75775987,0.760981,0.8366076,-0.0756266
45,-1.3587195,-1.5980443,"('incompetent', 'competent')",-0.8169347,-0.9783055,-0.46610034,-0.6787139,-0.8805849,-1.0850212,0.2044363
1,1.3398993,1.3453947,"('unfriendly', 'friendly')",2.0677385,2.1651778,1.157694,1.1156348,1.5217773,1.5420691,-0.0202918
10,-1.329415,-1.496581,"('unsympathetic', 'sympathetic')",-0.97741354,-1.1465175,-0.0069427043,-0.1979774,-0.7712571,-0.9470252,0.1757681
68,-1.2845595,-1.5543828,"('dependent', 'independent')",-1.7975429,-2.0750651,-1.4696968,-1.8004872,-1.5172663,-1.8099783,0.292712
69,1.2383323,1.4404659,"('lazy', 'industrious')",1.4978311,1.6052471,-1.223788,-1.0707365,0.5041251,0.6583255,-0.1542004
81,-1.2072496,-1.2973455,"('submissive', 'aggressive')",-1.1641623,-1.2527882,-0.39127606,-0.44223568,-0.920896,-0.9974565,0.0765605
55,-1.1958251,-1.5455587,"('incompetent', 'clever')",-1.0070375,-1.2614843,0.5679321,0.3319617,-0.5449769,-0.8250271,0.2800502
39,1.1848314,1.2477185,"('exploitative', 'cooperative')",1.3238908,1.4059178,0.57230264,0.6100968,1.0270083,1.087911,-0.0609027
76,-1.1374481,-1.262927,"('anxious', 'daring')",-0.53434044,-0.65136003,0.12741418,-0.011716116,-0.5147914,-0.6420011,0.1272097
57,-1.129551,-1.210245,"('unimaginative', 'imaginative')",-0.9494355,-0.99664503,-3.500831,-3.4575512,-1.8599393,-1.888147,0.0282077
9,1.1121459,1.1048263,"('unaffectionate', 'caring')",1.8898153,2.0044146,0.73841304,0.7257971,1.2467914,1.2783461,-0.0315547
67,1.1074057,0.9741841,"('doubtful', 'determined')",0.53694534,0.49110165,0.18561435,0.051907413,0.6099885,0.5057311,0.1042574
85,1.0551577,1.3565378,"('insignificant', 'prestigious')",2.3856602,2.6334548,-0.89885557,-0.8521501,0.8473207,1.0459476,-0.1986269
65,-1.0501965,-1.1643113,"('insecure', 'secure')",-1.3747996,-1.468976,0.44391108,0.32302564,-0.6603617,-0.7700872,0.1097255
30,-1.0499392,-1.158542,"('intolerant', 'tolerant')",-0.5082745,-0.55019975,0.40214977,0.360801,-0.3853546,-0.4493136,0.063959
11,-1.0137227,-1.1243919,"('unhelpful', 'helpful')",-0.49967375,-0.5868469,2.4120975,2.3207717,0.299567,0.2031776,0.0963894
84,0.96587944,0.90929735,"('inferior', 'superior')",1.2227083,1.1743449,0.5968512,0.49096555,0.9284797,0.8582026,0.0702771
34,-0.9469763,-1.0855769,"('mean', 'honorable')",-0.124911234,-0.19385254,5.2108116,4.985872,1.3796414,1.2354808,0.1441606
28,-0.9169469,-0.9516956,"('disloyal', 'loyal')",0.5823688,0.6415129,1.0942969,1.0223045,0.2532396,0.2373739,0.0158657
75,-0.91518164,-0.90244025,"('meek', 'impulsive')",0.5899592,0.6530199,-0.49098745,-0.4679074,-0.27207,-0.2391092,-0.0329608
62,-0.84588027,-1.0220646,"('incompetent', 'brilliant')",-0.21466988,-0.2983536,0.27549624,0.13990766,-0.2616847,-0.3935035,0.1318188
59,0.8333847,1.0047545,"('foolish', 'wise')",1.2507194,1.3799539,-0.36145264,-0.38379884,0.5742172,0.6669699,-0.0927527
5,0.82443017,1.0425372,"('distant', 'outgoing')",1.8716263,2.0672362,-1.3581824,-1.3743163,0.445958,0.5784857,-0.1325277
49,-0.7785731,-0.848464,"('unable', 'able')",-0.11406065,-0.14090572,-0.749413,-0.86655307,-0.5473489,-0.6186409,0.071292
58,-0.7772441,-0.9509875,"('undiscriminating', 'discriminating')",-0.70052576,-0.80633056,-0.24496584,-0.39252856,-0.5742452,-0.7166155,0.1423703
26,0.7617465,0.91585046,"('hardhearted', 'benevolent')",1.6599648,1.636498,1.1675043,1.2311995,1.1964053,1.2611826,-0.0647773
29,-0.76003975,-0.8169185,"('unfair', 'fair')",-0.9309548,-0.96197075,-0.98210675,-1.0761878,-0.8910337,-0.9516923,0.0606586
36,0.7565292,0.92519796,"('hostile', 'amicable')",1.0696436,1.1706645,-0.82282627,-0.77862877,0.3344489,0.4390779,-0.104629
0,-0.72626925,-1.0026059,"('unsociable', 'sociable')",-0.40904614,-0.620657,0.07742258,-0.20421727,-0.3526309,-0.6091601,0.2565292
14,-0.72280174,-0.90357405,"('antisocial', 'social')",-1.0326412,-1.161816,-0.07191068,-0.23274525,-0.6091178,-0.7660451,0.1569273
74,0.7054386,0.5280074,"('undedicated', 'dedicated')",1.0587771,0.968631,0.14731094,0.06600351,0.6371756,0.5208807,0.1162949
48,-0.68647414,-0.92844653,"('unintelligent', 'intelligent')",0.5300758,0.2678982,-0.017225241,-0.15102571,-0.0578745,-0.2705247,0.2126502
44,-0.65819883,-0.57352966,"('prejudiced', 'unprejudiced')",-1.343025,-1.3509307,-1.4200462,-1.4042395,-1.1404233,-1.1095667,-0.0308566
8,0.64362174,0.75751466,"('unaffectionate', 'affectionate')",1.7492051,1.9866433,0.24104902,0.2461879,0.8779586,0.996782,-0.1188234
70,-0.6392625,-0.7595861,"('lethargic', 'energetic')",-0.941045,-0.9460527,0.28066835,0.17157055,-0.433213,-0.5113561,0.0781431
43,-0.6346133,-0.89018667,"('irresponsible', 'responsible')",-0.61989915,-0.7016265,0.68234676,0.43097788,-0.1907219,-0.3869451,0.1962232
82,-0.6166125,-0.8415618,"('poor', 'rich')",-1.3981546,-1.5235127,5.7564907,5.5547614,1.2472412,1.0632289,0.1840123
73,0.57763916,0.7493749,"('helpless', 'self-reliant')",0.8576435,0.94578844,-3.6208851,-3.5380776,-0.7285341,-0.6143047,-0.1142294
15,0.52943,0.627071,"('boring', 'funny')",1.5761062,1.7301718,0.21082418,0.23347671,0.7721202,0.8635732,-0.091453
56,0.5108997,0.24851212,"('impractical', 'practical')",0.515133,0.503392,-0.105317324,-0.1479922,0.3069051,0.201304,0.1056011
6,0.5104211,0.75868183,"('distant', 'open')",1.5293514,1.7659429,-1.0655342,-1.052577,0.3247461,0.4906826,-0.1659365
27,-0.5029419,-0.43021578,"('hardhearted', 'softhearted')",0.08004923,0.05409024,0.3558932,0.24867687,-0.0223332,-0.0424829,0.0201497
72,0.4945157,0.43514016,"('unambitious', 'ambitious')",-0.5695926,-0.5623538,-0.6012269,-0.5741526,-0.2254346,-0.2337887,0.0083541
66,-0.45814887,-0.50578845,"('inactive', 'active')",0.20662858,0.16388059,0.23614419,0.1490353,-0.0051254,-0.0642909,0.0591655
7,-0.44021845,-0.5351314,"('insensitive', 'sensitive')",-0.33858046,-0.4064833,0.22754048,0.045610085,-0.1837528,-0.2986682,0.1149154
22,-0.42697644,-0.6077808,"('untrustworthy', 'trustworthy')",-0.7614789,-0.94505006,-0.81635946,-0.91741043,-0.6682716,-0.8234138,0.1551422
51,-0.41638672,-0.60829705,"('uneducated', 'educated')",-0.84836113,-0.9310757,0.82345474,0.71060586,-0.1470977,-0.2762556,0.1291579
83,-0.3963889,-0.41217953,"('powerless', 'powerful')",-0.45260826,-0.5505049,-1.0683311,-1.0926896,-0.6391094,-0.6851247,0.0460153
64,-0.3732778,-0.46921164,"('shy', 'confident')",-0.75002414,-0.8493934,-5.889268,-5.775053,-2.3375233,-2.3645527,0.0270294
21,-0.36620983,-0.57934725,"('immoral', 'moral')",-0.23081747,-0.3819913,-0.3329539,-0.5200249,-0.3099937,-0.4937878,0.1837941
41,-0.3523542,-0.3022056,"('unforgiving', 'forgiving')",0.12214264,0.14834097,0.1810638,0.22657236,-0.0163826,0.0242359,-0.0406185
20,-0.33392784,-0.4746152,"('rough', 'thoughtful')",-0.2966185,-0.56911975,0.49890384,0.35455292,-0.0438808,-0.2297273,0.1858465
32,0.32200396,0.26890585,"('unkind', 'kind')",0.45946267,0.43293825,1.4434401,1.4576863,0.7416356,0.7198435,0.0217921
18,-0.30207628,-0.19780964,"('disagreeable', 'welcoming')",0.25881562,0.29303497,-0.99290395,-1.1605089,-0.3453882,-0.3550945,0.0097063
23,-0.28851184,-0.48259574,"('insincere', 'sincere')",-0.10752371,-0.2451713,6.3075657,6.168768,1.97051,1.813667,0.156843
86,0.28775615,-0.03593277,"('uninfluential', 'influential')",0.29563835,0.10031838,-0.40981293,-0.5497297,0.0578605,-0.1617814,0.2196419
16,-0.28693253,-0.1425038,"('unpopular', 'popular')",-0.33562768,-0.28635374,-0.054606095,-0.0022213385,-0.2257221,-0.143693,-0.0820291
46,-0.28555846,-0.66426873,"('uncompetitive', 'competitive')",-1.0185115,-1.279048,-0.42862555,-0.5951547,-0.5775652,-0.8461572,0.268592
24,0.25459427,0.07412675,"('dishonest', 'honest')",0.75682974,0.73728806,0.8515131,0.67067826,0.6209791,0.494031,0.1269481
87,0.24222864,0.2764886,"('unsuccessful', 'successful')",-0.17876789,-0.10803853,0.2141647,0.19727121,0.0925418,0.1219071,-0.0293653
35,0.2248122,0.47673863,"('corrupt', 'incorrupt')",0.94478947,1.0577606,-1.1347606,-1.025179,0.0116137,0.1697734,-0.1581597
77,-0.21305218,-0.37632596,"('unmotivated', 'motivated')",0.15096623,-0.020097945,-0.84590954,-0.98114014,-0.3026652,-0.459188,0.1565228
12,0.19924366,0.08826637,"('unsupportive', 'supportive')",1.2084068,1.0763988,-1.8430301,-1.8998892,-0.1451265,-0.2450747,0.0999482
13,-0.17876557,-0.23042443,"('impolite', 'polite')",-0.13481322,-0.22658548,0.13782981,0.016853057,-0.058583,-0.1467189,0.0881359
42,-0.17229743,-0.14069323,"('unreliable', 'reliable')",-0.25062293,-0.27926195,-3.0949233,-3.065963,-1.1726146,-1.1619728,-0.0106418
52,0.1574492,0.3854564,"('irrational', 'rational')",0.78087527,1.0830814,-0.8141205,-0.76473206,0.0414013,0.2346019,-0.1932006
37,0.12960806,-0.052681826,"('fake', 'genuine')",-0.1589274,-0.16771847,0.2879058,0.13733402,0.0861955,-0.0276888,0.1138843
60,0.12593092,-0.30861726,"('inefficient', 'efficient')",-0.6798476,-0.9176715,0.7234313,0.429443,0.0565049,-0.2656153,0.3221202
79,0.109405525,0.21008313,"('wavering', 'unwavering')",1.1363117,1.2564232,-0.5046295,-0.4964148,0.2470292,0.3233639,-0.0763347
