,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,male-female
81,-2.6712523,-2.5958202,"('submissive', 'aggressive')",-0.7325802,-0.9495227,-0.5065303,-0.6528697,-1.3034542,-1.3994042,0.09595
60,-2.6497185,-2.4964206,"('inefficient', 'efficient')",-1.537017,-1.6045948,0.017349899,0.07943753,-1.3897953,-1.3405259,-0.0492694
0,-2.3811693,-2.3630688,"('unsociable', 'sociable')",-0.506436,-0.6850491,-0.19833955,-0.41306266,-1.0286482,-1.1537268,0.1250786
10,-2.3445308,-2.3197243,"('unsympathetic', 'sympathetic')",-0.6508662,-0.88025516,0.730048,0.25878835,-0.7551164,-0.9803971,0.2252807
28,-2.2968078,-2.3229625,"('disloyal', 'loyal')",-1.337004,-1.3936348,0.8965022,0.5459768,-0.9124365,-1.0568735,0.144437
69,2.240669,2.1566634,"('lazy', 'industrious')",1.8928243,2.1151702,-1.7158545,-1.5846363,0.8058796,0.8957324,-0.0898528
85,2.2053163,2.1747406,"('insignificant', 'prestigious')",2.1106162,2.5379763,-1.0692198,-0.99400866,1.0822375,1.2395695,-0.157332
46,-2.1346014,-2.2998502,"('uncompetitive', 'competitive')",-0.9949586,-1.2320606,-0.8586493,-1.1973724,-1.3294031,-1.5764278,0.2470247
33,2.1165853,1.939942,"('wrong', 'right')",1.6834922,1.7067009,-0.5506304,-0.38061786,1.083149,1.088675,-0.005526
55,-2.067461,-1.9434946,"('incompetent', 'clever')",-0.74822694,-0.9518791,0.22362165,0.15749791,-0.8640221,-0.9126252,0.0486031
14,-2.0390558,-2.129921,"('antisocial', 'social')",-0.42022863,-0.5652327,-0.9690766,-0.683166,-1.1427871,-1.1261066,-0.0166805
65,-2.0261247,-1.9496136,"('insecure', 'secure')",-1.5343417,-1.7208856,-0.006498471,0.25792757,-1.1889883,-1.1375239,-0.0514644
48,-2.0118084,-2.0684485,"('unintelligent', 'intelligent')",-0.87041914,-1.0661918,-0.051939473,-0.3249919,-0.9780556,-1.1532107,0.1751551
77,-1.9502785,-1.988351,"('unmotivated', 'motivated')",-0.84821415,-0.8396134,-1.3858852,-1.4051703,-1.3947926,-1.4110449,0.0162523
31,1.7782875,1.7255338,"('evil', 'good')",1.1141388,1.2773819,-1.1376612,-1.2403272,0.5849218,0.5875295,-0.0026077
43,-1.7734762,-1.7213944,"('irresponsible', 'responsible')",-1.2880634,-1.358561,0.7404698,0.52664036,-0.7736899,-0.8511051,0.0774152
21,-1.7614092,-1.7432282,"('immoral', 'moral')",0.04255499,0.020257287,-0.7532877,-0.6933702,-0.8240472,-0.8054471,-0.0186001
35,1.7571229,1.7765237,"('corrupt', 'incorrupt')",0.56024843,1.0218217,-1.1763066,-1.0309366,0.3803549,0.5891363,-0.2087814
5,1.5466825,1.4091699,"('distant', 'outgoing')",1.3950379,1.773454,-0.8169686,-0.70806104,0.7082506,0.8248543,-0.1166037
47,-1.4350597,-1.1684235,"('stupid', 'smart')",-0.021932777,0.13879728,4.873482,5.0205846,1.1388299,1.3303194,-0.1914895
30,-1.4266698,-1.3160418,"('intolerant', 'tolerant')",-0.32313555,-0.58536166,0.45654386,0.57539034,-0.4310872,-0.4420044,0.0109172
79,1.4120098,1.2549719,"('wavering', 'unwavering')",1.0402769,1.0592183,-0.2649152,-0.44591665,0.7291238,0.6227578,0.106366
70,-1.3688775,-1.2723749,"('lethargic', 'energetic')",-0.010346944,-0.13468337,0.686666,0.69342077,-0.2308528,-0.2378792,0.0070264
62,-1.3476017,-1.1938221,"('incompetent', 'brilliant')",-0.43100193,-0.43837854,0.2928921,0.24935302,-0.4952372,-0.4609492,-0.034288
82,-1.2981641,-1.4517775,"('poor', 'rich')",-2.3912024,-2.7935011,5.6352577,5.302917,0.6486304,0.3525462,0.2960842
13,-1.2928804,-1.3743185,"('impolite', 'polite')",-0.8830581,-1.1268653,0.30819952,0.1732113,-0.6225797,-0.7759908,0.1534111
76,-1.2857751,-1.1829041,"('anxious', 'daring')",-1.2751862,-1.1964492,0.13692614,0.07639007,-0.8080117,-0.7676544,-0.0403573
36,1.2775364,1.3015417,"('hostile', 'amicable')",1.3494186,1.5426645,-0.7406367,-0.61388963,0.6287728,0.7434389,-0.1146661
57,-1.2489072,-0.9248786,"('unimaginative', 'imaginative')",0.35890502,0.51947844,-2.877459,-3.0132875,-1.2558204,-1.1395626,-0.1162578
19,1.2256664,1.155227,"('inhospitable', 'hospitable')",1.6291759,1.4732319,0.21712258,0.076737896,1.0239882,0.9017323,0.1222559
71,1.2206253,1.0327425,"('diffident', 'self-confident')",1.7154752,1.7613611,0.4304507,0.31257656,1.1221837,1.0355601,0.0866236
6,1.1971118,1.0134039,"('distant', 'open')",1.3675241,1.7228307,-0.47243226,-0.43302834,0.6974012,0.7677355,-0.0703343
11,-1.1808895,-1.1363991,"('unhelpful', 'helpful')",-0.6611642,-0.8841213,2.7336946,2.444157,0.2972136,0.1412121,0.1560015
3,-1.1749144,-1.1537383,"('repellent', 'pleasant')",-0.10578207,-0.36319524,0.6157211,0.5570327,-0.2216584,-0.3199669,0.0983085
45,-1.1719258,-1.1084384,"('incompetent', 'competent')",-0.03329891,-0.46194342,-0.20331497,-0.69869745,-0.4695133,-0.7563597,0.2868464
80,-1.1447992,-1.0752896,"('dominated', 'dominating')",-1.2036086,-1.3000444,-0.40085262,-0.41128093,-0.9164201,-0.9288716,0.0124515
72,-1.1384524,-0.9001934,"('unambitious', 'ambitious')",-0.2673379,-0.30178,-0.19857146,-0.13335103,-0.5347873,-0.4451082,-0.0896791
56,-1.1160313,-1.2414445,"('impractical', 'practical')",0.14639454,0.031381108,-0.07325766,-0.081464544,-0.3476315,-0.4305093,0.0828778
23,-1.1111761,-1.1094861,"('insincere', 'sincere')",-0.89134985,-1.0847342,6.4020886,6.243105,1.4665209,1.3496281,0.1168928
75,1.0850847,1.1636137,"('meek', 'impulsive')",0.17958003,0.20666012,-0.65089697,-0.6519363,0.2045892,0.2394458,-0.0348566
59,1.0642926,1.0765188,"('foolish', 'wise')",1.2161951,1.2508442,-0.044960704,-0.13566339,0.7451756,0.7305665,0.0146091
86,-1.0500952,-1.2802203,"('uninfluential', 'influential')",0.48737878,0.48958662,-0.01352337,-0.21583764,-0.1920799,-0.3354904,0.1434105
39,-1.0130937,-0.74017304,"('exploitative', 'cooperative')",-0.53762305,0.012774622,0.4162314,0.7791419,-0.3781618,0.0172478,-0.3954096
66,1.0116086,0.9731854,"('inactive', 'active')",0.08676234,0.2481755,0.100169554,-0.030808486,0.3995135,0.3968508,0.0026627
26,1.0024843,0.9416259,"('hardhearted', 'benevolent')",0.83464473,0.78885293,1.4754065,1.3948171,1.1041786,1.0417653,0.0624133
7,-0.9905215,-0.93134075,"('insensitive', 'sensitive')",-0.047301084,-0.09678192,0.63126194,0.50973696,-0.1355202,-0.1727952,0.037275
41,-0.89369464,-0.7272728,"('unforgiving', 'forgiving')",0.8107875,0.5659454,0.29519916,0.2423122,0.070764,0.0269949,0.0437691
32,-0.87997556,-1.0163765,"('unkind', 'kind')",0.1405751,-0.17370042,1.5983236,1.4074757,0.2863077,0.0724663,0.2138414
15,0.8495872,1.0094812,"('boring', 'funny')",0.6874753,0.95020473,0.7137524,0.88083076,0.7502716,0.9468389,-0.1965673
24,-0.82111245,-0.67148024,"('dishonest', 'honest')",-0.20513903,-0.20881516,1.2047703,1.1355833,0.0595063,0.085096,-0.0255897
22,-0.7949512,-0.6968088,"('untrustworthy', 'trustworthy')",-0.5224381,-0.5112543,-0.7432289,-0.44693267,-0.6868727,-0.5516653,-0.1352074
42,0.7658433,0.6948758,"('unreliable', 'reliable')",1.1179165,0.9365944,-2.6388257,-2.570871,-0.2516886,-0.3131336,0.061445
54,0.7596885,0.589526,"('incapable', 'capable')",0.86733854,1.0063543,1.1706616,1.2074,0.9325628,0.9344268,-0.001864
16,0.7484105,0.72188526,"('unpopular', 'popular')",0.32331598,0.20152968,-0.4030924,-0.5260193,0.2228781,0.1324652,0.0904129
61,-0.73601836,-0.62887585,"('illogical', 'logical')",0.78025186,1.0047486,0.058848456,0.11972859,0.0343607,0.1652004,-0.1308397
50,0.72547364,0.66319644,"('clumsy', 'skillful')",0.49225724,0.07633251,-0.16991173,-0.35708877,0.349273,0.1274801,0.2217929
25,0.7032491,0.7170461,"('egoistic', 'altruistic')",0.9209179,1.0750715,0.9679642,1.1708729,0.8640437,0.9876635,-0.1236198
63,-0.6994354,-0.8564325,"('unperceptive', 'insightful')",0.6278275,0.24762222,0.7396989,0.4392291,0.222697,-0.0565271,0.2792241
49,-0.69134074,-0.5481012,"('unable', 'able')",-0.85740924,-0.5995486,-0.39904767,-0.32209066,-0.6492658,-0.4899135,-0.1593523
4,0.67526823,0.6989113,"('disliked', 'liked')",1.9947684,1.7458693,-7.0351934,-7.066099,-1.4550524,-1.5404396,0.0853872
52,0.66133964,0.8153643,"('irrational', 'rational')",0.8553181,1.0243227,-0.19584395,-0.11245531,0.4402713,0.5757439,-0.1354726
73,0.65942293,1.0336155,"('helpless', 'self-reliant')",0.8203252,0.94890785,-3.320832,-3.131672,-0.6136946,-0.3830495,-0.2306451
18,0.62741184,0.6217618,"('disagreeable', 'welcoming')",-0.4551098,-0.41135857,-1.3799601,-1.0495834,-0.4025527,-0.2797267,-0.122826
29,0.5742987,0.4881936,"('unfair', 'fair')",0.15122627,-0.046557363,-0.5991751,-0.69368494,0.0421166,-0.0840162,0.1261328
17,0.5526548,0.504535,"('nasty', 'nice')",0.74830776,0.8619847,-0.19769904,-0.18563958,0.3677545,0.3936267,-0.0258722
84,0.529705,0.58937645,"('inferior', 'superior')",0.14458244,0.34007207,0.58260864,0.562211,0.4189653,0.4972198,-0.0782545
67,0.48472944,0.58087593,"('doubtful', 'determined')",0.29295507,0.12483813,-0.14897831,-0.2345466,0.2095687,0.1570558,0.0525129
27,0.47918415,0.6375875,"('hardhearted', 'softhearted')",0.43099403,0.403291,1.1511918,1.0262102,0.6871233,0.6890295,-0.0019062
78,0.41560438,0.09452561,"('nonresilient', 'resilient')",-0.029548204,-0.19410428,0.055510644,-0.3509331,0.1471889,-0.1501706,0.2973595
20,-0.38015223,-0.29735628,"('rough', 'thoughtful')",-0.202147,-0.018739805,0.14725776,0.13331294,-0.1450138,-0.0609277,-0.0840861
83,-0.3537635,-0.3087588,"('powerless', 'powerful')",0.034880634,0.18860078,-0.9824387,-1.009401,-0.4337738,-0.3765197,-0.0572541
58,0.3056777,0.43891248,"('undiscriminating', 'discriminating')",0.25208145,0.27623162,0.3208828,0.12578094,0.2928807,0.2803083,0.0125724
88,-0.29837686,-0.47335884,"('low', 'eminent')",-0.070283346,-0.16447778,-0.2259189,-0.41578984,-0.198193,-0.3512088,0.1530158
68,0.29471314,0.14109644,"('dependent', 'independent')",0.27035952,-0.019511051,-1.3450027,-1.4900494,-0.2599767,-0.4561547,0.196178
51,-0.28832126,-0.4303086,"('uneducated', 'educated')",0.5251296,0.027259015,1.042185,0.8951716,0.4263311,0.1640407,0.2622904
53,0.19579768,0.4364035,"('uncreative', 'creative')",0.6532249,1.3686674,0.952374,0.8914669,0.6004655,0.8988459,-0.2983804
37,0.17552729,0.22834165,"('fake', 'genuine')",0.5312327,0.33512527,0.6077991,0.5546622,0.4381864,0.3727097,0.0654767
44,-0.16953225,-0.05121541,"('prejudiced', 'unprejudiced')",-0.9404393,-0.9194226,-1.8070195,-1.5514641,-0.9723303,-0.8407007,-0.1316296
38,0.15196633,-0.013180621,"('untruthful', 'truthful')",0.40822276,0.12509437,0.46956435,0.21753407,0.3432511,0.1098159,0.2334352
64,-0.14913973,-0.19289835,"('shy', 'confident')",0.081609614,-0.24912953,-6.18463,-5.8812194,-2.0840534,-2.1077491,0.0236957
9,0.1375049,0.1418105,"('unaffectionate', 'caring')",1.5594461,1.7492622,1.6511216,1.5233654,1.1160242,1.1381461,-0.0221219
87,0.12541497,0.27037925,"('unsuccessful', 'successful')",0.40579635,0.6283418,0.052934952,-0.020549335,0.1947154,0.2927239,-0.0980085
40,-0.0996415,0.0054537226,"('stingy', 'generous')",0.42810032,0.24423835,-2.3516593,-2.2961555,-0.6744002,-0.6821545,0.0077543
8,-0.06894588,-0.023220226,"('unaffectionate', 'affectionate')",0.8824811,0.97002345,0.9286926,0.86743176,0.5807426,0.604745,-0.0240024
74,-0.06641434,-0.15159138,"('undedicated', 'dedicated')",1.2253528,1.2647421,0.3493908,0.19035499,0.5027764,0.4345019,0.0682745
1,0.04635838,-0.079509206,"('unfriendly', 'friendly')",0.97278583,0.9837462,1.6248688,1.3717134,0.8813376,0.7586501,0.1226875
34,-0.029463647,0.13695747,"('mean', 'honorable')",-0.05793707,0.11439631,5.260537,5.343444,1.7243787,1.8649325,-0.1405538
2,0.028040368,0.27807677,"('unlikable', 'likable')",0.7722227,0.69841874,0.22125027,0.37384576,0.3405044,0.4501138,-0.1096094
12,0.013920166,-0.08630641,"('unsupportive', 'supportive')",1.6496278,1.6105467,-1.2730198,-1.4270645,0.1301761,0.0323919,0.0977842
