,southwest_male,southwest_female,tuple,airlines_male,airlines_female,co_male,co_female,average_male,average_female,male-female
0,-1.5982876,-1.3940804,"('unsociable', 'sociable')",-0.45635277,-0.2925602,-0.39034274,-0.3780287,-0.8149943,-0.6882231,-0.1267712
81,-1.437505,-0.9404571,"('submissive', 'aggressive')",-1.1807259,-0.7209976,-0.67506194,-0.6223696,-1.0977643,-0.7612747,-0.3364896
33,1.3527908,1.1872027,"('wrong', 'right')",1.2172549,0.843039,-0.56445915,-0.6541785,0.6685289,0.4586877,0.2098412
85,1.3283685,0.96459675,"('insignificant', 'prestigious')",0.46017686,0.204846,-0.68682957,-0.6003053,0.3672386,0.1897125,0.1775261
73,1.2036884,1.0863138,"('helpless', 'self-reliant')",0.7111562,0.63901544,-3.099999,-3.2697384,-0.3950515,-0.5148031,0.1197516
26,1.2013249,0.9190182,"('hardhearted', 'benevolent')",1.9664626,1.6913768,1.3968586,1.276338,1.5215487,1.2955777,0.225971
39,1.1275153,1.2332163,"('exploitative', 'cooperative')",1.6788985,1.6145558,0.94857275,0.88930863,1.2516621,1.2456936,0.0059685
69,1.0994289,0.873188,"('lazy', 'industrious')",0.44695574,0.22394857,-1.1660517,-1.3054478,0.1267776,-0.0694371,0.1962147
65,-1.0226061,-0.7225925,"('insecure', 'secure')",-0.20234984,-0.0321593,0.42021787,0.35035118,-0.2682461,-0.1348002,-0.1334459
43,-1.0139796,-0.8777598,"('irresponsible', 'responsible')",-0.05657227,0.0499196,0.49298722,0.48624507,-0.1925216,-0.113865,-0.0786566
63,0.9857154,1.1533221,"('unperceptive', 'insightful')",0.536212,0.6107486,-0.15263069,-0.13996771,0.4564322,0.5413677,-0.0849355
49,-0.97598624,-0.84498775,"('unable', 'able')",-0.9770433,-0.69251937,-0.84187055,-0.5834709,-0.9316333,-0.7069926,-0.2246407
27,0.9449652,0.781788,"('hardhearted', 'softhearted')",0.096870914,-0.057289712,0.99739605,0.87061733,0.6797441,0.5317052,0.1480389
47,-0.9412634,-0.9480013,"('stupid', 'smart')",0.5044109,0.6174952,4.9749136,5.308186,1.512687,1.6592266,-0.1465396
