,manitowoc_male,manitowoc_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
55,-2.0473533,-2.106235,"('incompetent', 'clever')",0.92966187,0.6554639,0.14067164,-0.12766926,-0.3256733,-0.5261468,0.2004735
77,-2.0404594,-2.0524352,"('unmotivated', 'motivated')",-0.16999513,-0.2428866,-0.8547142,-0.8455455,-1.0217229,-1.0469557,0.0252328
28,-1.9057986,-1.9287735,"('disloyal', 'loyal')",-0.4681394,-0.68735504,1.3916854,1.237281,-0.3274176,-0.4596158,0.1321982
86,-1.8998847,-1.9111184,"('uninfluential', 'influential')",0.043903716,-0.24731773,0.51290447,0.3821146,-0.4476922,-0.5921071,0.1444149
46,-1.7541242,-1.8141949,"('uncompetitive', 'competitive')",-0.073388375,-0.18495531,-0.8678873,-1.1133313,-0.8984666,-1.0374939,0.1390273
81,-1.7061883,-1.7858022,"('submissive', 'aggressive')",0.19041711,-0.010686427,-0.9730655,-1.2048911,-0.8296123,-1.0004599,0.1708476
10,-1.6698219,-1.6329583,"('unsympathetic', 'sympathetic')",-0.19749644,-0.3860602,0.13868852,-0.1261993,-0.5762099,-0.7150726,0.1388627
23,-1.648691,-1.584524,"('insincere', 'sincere')",-0.5939344,-0.48362163,5.901975,5.889225,1.2197832,1.2736931,-0.0539099
69,1.5787442,1.5584974,"('lazy', 'industrious')",1.1202723,1.3085121,-0.6716087,-0.5085509,0.6758026,0.7861529,-0.1103503
52,1.5323309,1.5243556,"('irrational', 'rational')",-0.58044213,-0.43045333,0.43107855,0.5266609,0.4609891,0.5401878,-0.0791987
65,-1.531783,-1.6896749,"('insecure', 'secure')",0.5699407,0.30024877,-0.44618103,-0.7492875,-0.4693411,-0.7129045,0.2435634
0,-1.4735111,-1.6566912,"('unsociable', 'sociable')",0.38892192,0.050397642,-0.54429066,-0.73492414,-0.54296,-0.7804059,0.2374459
60,-1.4683255,-1.5986341,"('inefficient', 'efficient')",0.32303908,0.15044874,-0.17420438,-0.28345802,-0.4398303,-0.5772145,0.1373842
14,-1.4427134,-1.5654043,"('antisocial', 'social')",1.2159655,1.0534028,-0.56677586,-0.69824755,-0.2645079,-0.4034164,0.1389085
20,-1.4352856,-1.3587604,"('rough', 'thoughtful')",0.35889944,0.37074378,0.5928894,0.57560456,-0.1611656,-0.1374707,-0.0236949
62,-1.4084258,-1.3827288,"('incompetent', 'brilliant')",0.033962127,0.08584449,-0.061440907,0.037829477,-0.4786349,-0.4196849,-0.05895
7,-1.3677046,-1.1467463,"('insensitive', 'sensitive')",0.07347448,0.05531411,1.2909546,1.2103139,-0.0010918,0.0396272,-0.040719
44,1.3029501,1.2944736,"('prejudiced', 'unprejudiced')",-0.9427237,-0.75179917,-1.7990024,-1.6692376,-0.479592,-0.375521,-0.104071
58,-1.2964394,-1.4149106,"('undiscriminating', 'discriminating')",1.2730566,1.0725346,0.2700903,0.17472044,0.0822358,-0.0558852,0.138121
59,1.2894198,1.3762006,"('foolish', 'wise')",-0.21649131,-0.14322007,0.50237525,0.62883246,0.5251012,0.6206043,-0.0955031
35,1.2865444,1.2990572,"('corrupt', 'incorrupt')",-0.8068745,-0.8151761,0.22596276,0.1838327,0.2352109,0.2225713,0.0126396
15,1.2069421,1.0356735,"('boring', 'funny')",0.54798055,0.45127764,0.7027248,0.6820575,0.8192158,0.7230029,0.0962129
21,-1.198064,-1.1648406,"('immoral', 'moral')",0.091738254,-0.04274759,-0.8081805,-0.9781334,-0.6381687,-0.7285739,0.0904052
27,1.1030678,1.16118,"('hardhearted', 'softhearted')",-0.06450009,0.16540761,1.8011184,1.798819,0.946562,1.0418022,-0.0952402
13,-1.0928366,-1.1366833,"('impolite', 'polite')",-0.12538773,-0.1635915,-0.4200277,-0.5882964,-0.546084,-0.6295238,0.0834398
70,-1.0370133,-0.9840361,"('lethargic', 'energetic')",-0.07518302,-0.048530895,1.0263066,1.0385975,-0.0286299,0.0020101,-0.03064
49,-1.0210009,-0.889551,"('unable', 'able')",-0.9894246,-0.88102686,-0.60477453,-0.533341,-0.8717333,-0.7679729,-0.1037604
51,-1.011244,-1.0522984,"('uneducated', 'educated')",0.7152768,0.45734358,0.65905684,0.5258222,0.1210299,-0.0230442,0.1440741
