,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.5658953,-2.496862,"('unsympathetic', 'sympathetic')",-2.5658953,-2.4968619,-0.0690334
69,2.1469283,2.0678704,"('lazy', 'industrious')",2.1469283,2.0678704,0.0790579
57,-1.834941,-2.076555,"('unimaginative', 'imaginative')",-1.834941,-2.076555,0.241614
46,-1.8184735,-1.9229865,"('uncompetitive', 'competitive')",-1.8184735,-1.9229865,0.104513
86,-1.7833666,-1.6191355,"('uninfluential', 'influential')",-1.7833666,-1.6191355,-0.1642311
55,-1.7093798,-1.7643485,"('incompetent', 'clever')",-1.7093798,-1.7643485,0.0549687
45,-1.7022684,-1.8675585,"('incompetent', 'competent')",-1.7022684,-1.8675585,0.1652901
64,-1.481835,-1.4782677,"('shy', 'confident')",-1.481835,-1.4782677,-0.0035673
12,-1.3870332,-1.4869542,"('unsupportive', 'supportive')",-1.3870332,-1.4869542,0.099921
48,-1.3835447,-1.2124987,"('unintelligent', 'intelligent')",-1.3835447,-1.2124987,-0.171046
43,-1.277864,-1.2384968,"('irresponsible', 'responsible')",-1.277864,-1.2384968,-0.0393672
13,-1.1585968,-1.1277708,"('impolite', 'polite')",-1.1585968,-1.1277708,-0.030826
35,1.1577901,1.1777124,"('corrupt', 'incorrupt')",1.1577901,1.1777124,-0.0199223
5,1.1383557,1.131543,"('distant', 'outgoing')",1.1383557,1.131543,0.0068127
21,-1.0669292,-0.98238564,"('immoral', 'moral')",-1.0669292,-0.9823856,-0.0845436
0,-1.0635169,-1.0209808,"('unsociable', 'sociable')",-1.0635169,-1.0209808,-0.0425361
28,-1.0271317,-0.71741855,"('disloyal', 'loyal')",-1.0271317,-0.7174186,-0.3097131
70,-1.0132551,-1.5207156,"('lethargic', 'energetic')",-1.0132551,-1.5207156,0.5074605
63,-1.0045035,-1.168225,"('unperceptive', 'insightful')",-1.0045035,-1.168225,0.1637215
85,0.997064,1.1069896,"('insignificant', 'prestigious')",0.997064,1.1069896,-0.1099256
51,-0.9938221,-1.0301749,"('uneducated', 'educated')",-0.9938221,-1.0301749,0.0363528
7,-0.9792582,-1.0982609,"('insensitive', 'sensitive')",-0.9792582,-1.0982609,0.1190027
6,0.95007604,0.99280363,"('distant', 'open')",0.950076,0.9928036,-0.0427276
4,-0.92081046,-1.0129117,"('disliked', 'liked')",-0.9208105,-1.0129117,0.0921012
30,-0.9207477,-0.86772084,"('intolerant', 'tolerant')",-0.9207477,-0.8677208,-0.0530269
65,-0.909087,-0.9848723,"('insecure', 'secure')",-0.909087,-0.9848723,0.0757853
47,0.8974605,0.96531725,"('stupid', 'smart')",0.8974605,0.9653172,-0.0678567
14,-0.89725226,-0.8501988,"('antisocial', 'social')",-0.8972523,-0.8501988,-0.0470535
20,-0.87297374,-0.6677989,"('rough', 'thoughtful')",-0.8729737,-0.6677989,-0.2051748
81,-0.8581803,-0.80812156,"('submissive', 'aggressive')",-0.8581803,-0.8081216,-0.0500587
33,0.8565946,0.9133127,"('wrong', 'right')",0.8565946,0.9133127,-0.0567181
58,-0.85201854,-1.1152067,"('undiscriminating', 'discriminating')",-0.8520185,-1.1152067,0.2631882
44,0.8497177,0.47205094,"('prejudiced', 'unprejudiced')",0.8497177,0.4720509,0.3776668
8,-0.8256909,-0.78591204,"('unaffectionate', 'affectionate')",-0.8256909,-0.785912,-0.0397789
78,-0.80652887,-0.788325,"('nonresilient', 'resilient')",-0.8065289,-0.788325,-0.0182039
41,-0.7882351,-0.5016247,"('unforgiving', 'forgiving')",-0.7882351,-0.5016247,-0.2866104
11,-0.78679216,-1.0782459,"('unhelpful', 'helpful')",-0.7867922,-1.0782459,0.2914537
34,0.7854034,0.76490915,"('mean', 'honorable')",0.7854034,0.7649091,0.0204943
83,-0.7810616,-0.69386196,"('powerless', 'powerful')",-0.7810616,-0.693862,-0.0871996
82,0.7694264,0.7123083,"('poor', 'rich')",0.7694264,0.7123083,0.0571181
2,0.7307152,0.6207385,"('unlikable', 'likable')",0.7307152,0.6207385,0.1099767
3,-0.7002861,-0.6562238,"('repellent', 'pleasant')",-0.7002861,-0.6562238,-0.0440623
62,-0.68988967,-1.0330874,"('incompetent', 'brilliant')",-0.6898897,-1.0330874,0.3431977
77,-0.66055727,-0.5089601,"('unmotivated', 'motivated')",-0.6605573,-0.5089601,-0.1515972
40,-0.65604204,-0.34644434,"('stingy', 'generous')",-0.656042,-0.3464443,-0.3095977
79,0.6475947,0.4794774,"('wavering', 'unwavering')",0.6475947,0.4794774,0.1681173
75,0.616283,0.49144506,"('meek', 'impulsive')",0.616283,0.4914451,0.1248379
60,-0.6133869,-0.60028577,"('inefficient', 'efficient')",-0.6133869,-0.6002858,-0.0131011
84,-0.6127099,-0.5801388,"('inferior', 'superior')",-0.6127099,-0.5801388,-0.0325711
9,-0.5672322,-0.47312343,"('unaffectionate', 'caring')",-0.5672322,-0.4731234,-0.0941088
80,-0.539389,-0.79965484,"('dominated', 'dominating')",-0.539389,-0.7996548,0.2602658
22,-0.5381212,-0.6036552,"('untrustworthy', 'trustworthy')",-0.5381212,-0.6036552,0.065534
53,-0.5268629,-0.5050304,"('uncreative', 'creative')",-0.5268629,-0.5050304,-0.0218325
87,0.52437365,0.1575326,"('unsuccessful', 'successful')",0.5243737,0.1575326,0.3668411
