,principal_male,principal_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.6309028,-2.7482846,"('evil', 'good')",-0.104724586,-0.17334196,-1.6407648,-1.7041696,-1.150589,-1.1723416,-1.3817453,-1.4495344,0.0677891
39,2.567333,2.684273,"('exploitative', 'cooperative')",0.71371645,0.79339993,1.3829699,1.4094592,0.17531683,0.10767696,1.2098341,1.2487023,-0.0388682
12,2.3438601,2.3563566,"('unsupportive', 'supportive')",1.3525325,1.3771352,1.6660542,1.7340786,-1.4156847,-1.3732383,0.9866905,1.0235829,-0.0368924
70,2.3359084,2.4147027,"('lethargic', 'energetic')",0.17699844,0.24387854,1.5930828,1.5860194,1.2531503,1.2164096,1.339785,1.3652526,-0.0254676
6,-2.1924968,-2.457545,"('distant', 'open')",0.25034338,0.20756419,-1.436423,-1.4603658,0.18850963,0.19604233,-0.7975166,-0.8785761,0.0810595
30,2.165308,2.1661568,"('intolerant', 'tolerant')",-0.012959367,0.023449276,0.27516207,0.27867964,1.0954124,1.0565928,0.8807307,0.8812196,-0.0004889
60,2.1589046,2.3505337,"('inefficient', 'efficient')",-0.6965656,-0.6530389,1.2981743,1.3096927,0.17015532,0.116683856,0.7326671,0.7809678,-0.0483007
21,2.1506019,2.2486012,"('immoral', 'moral')",0.3042286,0.35918736,0.95592886,0.9568995,-0.5302304,-0.6259105,0.7201322,0.7346944,-0.0145622
43,2.1379418,2.1669333,"('irresponsible', 'responsible')",0.6428212,0.7146922,1.4533101,1.4438717,1.0458571,0.96499366,1.3199825,1.3226227,-0.0026402
62,2.1134086,2.1143844,"('incompetent', 'brilliant')",0.087972745,0.0002811961,0.8553864,0.70821273,0.26064628,0.14687996,0.8293535,0.7424396,0.0869139
36,-2.0516584,-2.195239,"('hostile', 'amicable')",0.7009887,0.6672791,-1.1952238,-1.2468206,0.18063542,0.17772382,-0.5913145,-0.6492642,0.0579497
13,1.8684312,1.8974737,"('impolite', 'polite')",-0.31699437,-0.3080845,0.4345787,0.4425335,-0.29978797,-0.29653084,0.4215569,0.433848,-0.0122911
65,1.8250617,1.8727779,"('insecure', 'secure')",-0.64190364,-0.67333657,1.1407194,1.0418172,0.1351794,0.05339872,0.6147642,0.5736643,0.0410999
56,1.8105156,1.8154134,"('impractical', 'practical')",0.07707999,0.050799206,0.9354164,0.80896336,0.18816546,0.10501991,0.7527944,0.6950489,0.0577455
46,1.7529988,1.7573932,"('uncompetitive', 'competitive')",0.53703654,0.5478532,2.3875318,2.329356,-0.34239715,-0.4096051,1.0837924,1.0562494,0.027543
10,1.7287598,1.7205147,"('unsympathetic', 'sympathetic')",-1.1570044,-1.1639137,0.5209766,0.5759861,0.3034083,0.21774195,0.3490351,0.3375822,0.0114529
80,1.6697644,1.6761833,"('dominated', 'dominating')",-0.15075643,-0.21771704,2.019198,1.9183118,-0.9304937,-1.0438542,0.6519281,0.583231,0.0686971
73,1.6579655,1.6542681,"('helpless', 'self-reliant')",1.6224974,1.6351998,0.2218059,0.22559047,-3.4225876,-3.2924013,0.0199203,0.0556642,-0.0357439
52,-1.6490517,-1.8583232,"('irrational', 'rational')",0.3858045,0.34244385,-1.4006164,-1.4169871,-0.17498156,-0.23855776,-0.7097113,-0.7928561,0.0831448
5,-1.5739717,-1.8663591,"('distant', 'outgoing')",1.0820472,1.0291904,-0.8166101,-0.8293292,-0.5345535,-0.55012476,-0.460772,-0.5541557,0.0933837
35,-1.5617597,-1.7761416,"('corrupt', 'incorrupt')",-0.2643457,-0.36534905,-1.6760495,-1.8255788,-0.42046368,-0.54077905,-0.9806546,-1.1269622,0.1463076
23,1.5457981,1.7186289,"('insincere', 'sincere')",0.02876821,0.12807603,0.91119134,1.046255,6.4325433,6.2949004,2.2295752,2.2969651,-0.0673899
1,-1.5082299,-1.5375227,"('unfriendly', 'friendly')",1.4654652,1.5762196,0.18025506,0.3451262,1.9467307,2.0192325,0.5210553,0.6007639,-0.0797086
42,1.5013418,1.4557706,"('unreliable', 'reliable')",1.1525881,1.1521103,1.8268275,1.8100016,-2.6929886,-2.6441512,0.4469423,0.4434329,0.0035094
4,-1.4834127,-1.677189,"('disliked', 'liked')",0.3540272,0.22540641,-0.28012982,-0.44549242,-6.6068335,-6.510448,-2.0040872,-2.1019306,0.0978434
8,-1.4818636,-1.6261092,"('unaffectionate', 'affectionate')",0.68151677,0.69404656,-0.0683746,0.12815967,0.7835554,0.73024225,-0.0212915,-0.0184152,-0.0028763
7,1.4553516,1.4960016,"('insensitive', 'sensitive')",0.3990837,0.3622354,1.022097,0.99937904,1.4583076,1.3106129,1.08371,1.0420573,0.0416527
55,1.4480237,1.5189217,"('incompetent', 'clever')",-1.1272248,-1.2023149,0.6023924,0.50487006,0.33831584,0.28338945,0.3153768,0.2762166,0.0391602
11,1.4451183,1.4537902,"('unhelpful', 'helpful')",-0.27808222,-0.21872905,0.225071,0.26268458,1.9671533,2.0041428,0.8398151,0.8754721,-0.035657
16,-1.4343302,-1.538415,"('unpopular', 'popular')",-0.19176483,-0.2813011,-0.4495641,-0.4891303,0.34770507,0.3457405,-0.4319885,-0.4907765,0.058788
83,1.3435817,1.2470415,"('powerless', 'powerful')",0.9801058,0.9227364,0.08396898,0.018364917,-1.0094444,-1.0553612,0.349553,0.2831954,0.0663576
2,1.3249187,1.2718182,"('unlikable', 'likable')",2.5901134,2.604831,1.881554,1.8538936,0.7810899,0.85131973,1.644419,1.6454656,-0.0010466
74,1.2812399,1.2304342,"('undedicated', 'dedicated')",0.95846397,0.8779707,1.3320647,1.2522798,0.6752793,0.70698994,1.061762,1.0169187,0.0448433
51,1.2769154,1.3622987,"('uneducated', 'educated')",-0.40806487,-0.46312952,0.50434285,0.44738114,0.9247334,0.94470847,0.5744817,0.5728147,0.001667
32,1.2324103,1.339958,"('unkind', 'kind')",-0.15944266,-0.124783486,0.9334563,0.98510617,1.2726821,1.2697037,0.8197765,0.8674961,-0.0477196
