,exxon_male,exxon_female,tuple,mobil_male,mobil_female,corp_male,corp_female,average_male,average_female,male-female
0,-1.8880881,-1.6361862,"('unsociable', 'sociable')",-2.0257473,-1.9979115,-0.13011977,-0.3222553,-1.3479851,-1.3187843,-0.0292008
57,-1.8093586,-1.4587165,"('unimaginative', 'imaginative')",-2.3464882,-2.3285215,-3.197729,-3.3071191,-2.4511919,-2.3647858,-0.0864061
8,-1.6776055,-1.619097,"('unaffectionate', 'affectionate')",-2.3516786,-2.3321133,-0.7548462,-0.36266777,-1.59471,-1.4379594,-0.1567506
14,-1.6025667,-1.1782867,"('antisocial', 'social')",-1.5371388,-1.4646722,-0.06410394,0.053660914,-1.0679365,-0.8630993,-0.2048372
55,-1.5984885,-1.3428131,"('incompetent', 'clever')",-2.861447,-2.8688881,0.9911638,0.44196728,-1.1562573,-1.256578,0.1003207
63,-1.55398,-1.3926475,"('unperceptive', 'insightful')",-1.9176468,-1.9800273,1.0492963,0.64531964,-0.8074435,-0.9091184,0.1016749
65,-1.5152075,-1.2293484,"('insecure', 'secure')",-1.739462,-1.5889014,0.40037608,0.17206448,-0.9514312,-0.8820617,-0.0693695
30,-1.5138451,-1.1711282,"('intolerant', 'tolerant')",-1.5143917,-1.5533706,0.41262358,0.57332647,-0.8718711,-0.7170574,-0.1548137
10,-1.4985275,-1.2424763,"('unsympathetic', 'sympathetic')",-2.9151468,-2.8323667,0.38133565,-0.2725318,-1.3441129,-1.449125,0.1050121
43,-1.46588,-1.1480963,"('irresponsible', 'responsible')",-2.6051793,-2.5738764,0.33613747,0.21104786,-1.2449739,-1.1703083,-0.0746656
11,-1.4442451,-1.1786299,"('unhelpful', 'helpful')",-2.0446188,-2.0269792,2.3769512,2.115986,-0.3706376,-0.3632077,-0.0074299
70,-1.3855928,-1.3711277,"('lethargic', 'energetic')",-1.9113525,-1.908738,1.010645,0.52050745,-0.7621001,-0.9197861,0.157686
60,-1.3678979,-0.93578273,"('inefficient', 'efficient')",-2.0892434,-2.0360231,0.5340375,0.40320122,-0.9743679,-0.8562015,-0.1181664
45,-1.357156,-1.2228699,"('incompetent', 'competent')",-1.8836553,-1.9282444,0.14054732,-0.23436032,-1.0334214,-1.1284915,0.0950701
86,-1.2991161,-1.1216346,"('uninfluential', 'influential')",-2.6089277,-2.5732055,0.042296536,-0.4497062,-1.2885824,-1.3815153,0.0929329
48,-1.2602706,-1.0133862,"('unintelligent', 'intelligent')",-1.9096956,-1.8287871,0.98789406,0.7914529,-0.7273574,-0.6835735,-0.0437839
73,1.2216429,1.3030099,"('helpless', 'self-reliant')",0.7974887,0.77841264,-3.6610532,-3.4865239,-0.5473072,-0.4683671,-0.0789401
23,-1.1820672,-0.8365216,"('insincere', 'sincere')",-1.9917108,-1.7389046,5.353738,5.3710723,0.7266533,0.9318821,-0.2052288
21,-1.1676993,-0.83454627,"('immoral', 'moral')",-1.7410365,-1.5920866,-0.15514703,-0.44286,-1.0212943,-0.9564977,-0.0647966
53,-1.1552196,-0.7751342,"('uncreative', 'creative')",-1.5347973,-1.4731433,0.018399924,0.1990337,-0.8905389,-0.6830813,-0.2074576
46,-1.1307316,-1.0706763,"('uncompetitive', 'competitive')",-1.3517523,-1.4658004,0.14362131,-0.48702604,-0.7796209,-1.0078342,0.2282133
41,-1.10716,-0.8683263,"('unforgiving', 'forgiving')",-2.1360626,-1.9966142,-0.5618518,-0.4492818,-1.2683582,-1.1047408,-0.1636174
9,-1.1048537,-0.82674253,"('unaffectionate', 'caring')",-1.8747964,-1.7370027,0.23106427,0.4315395,-0.9161952,-0.7107352,-0.20546
18,-1.0689746,-0.93289584,"('disagreeable', 'welcoming')",-0.15543383,-0.21363316,-1.1790047,-0.9175151,-0.8011377,-0.6880147,-0.113123
13,-1.0564111,-0.716947,"('impolite', 'polite')",-1.5286487,-1.3474205,-0.12782349,-0.37680998,-0.9042945,-0.8137259,-0.0905686
69,1.0145113,0.7547553,"('lazy', 'industrious')",3.433943,3.217733,-1.4996963,-0.8515885,0.9829194,1.0402999,-0.0573805
