,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.899944,-2.6781824,"('unsympathetic', 'sympathetic')",-3.6953366,-3.5196345,-1.6516848,-1.6104336,-0.44575647,-0.42608657,-2.1731806,-2.0585842,-0.1145964
81,-2.3827095,-1.9131647,"('submissive', 'aggressive')",-3.3668246,-3.195548,-1.4109483,-1.0307313,-1.4463403,-1.2653742,-2.1517057,-1.8512045,-0.3005012
55,-2.332474,-2.1123853,"('incompetent', 'clever')",-2.1909173,-2.1488173,-0.57184803,-0.62472826,-0.2455195,-0.29505828,-1.3351897,-1.2952473,-0.0399424
85,2.237265,1.6913049,"('insignificant', 'prestigious')",2.408768,2.097155,2.289238,1.8371722,0.25747222,0.09753588,1.7981858,1.4307921,0.3673937
21,-2.1848726,-1.9295667,"('immoral', 'moral')",-2.5592053,-2.350205,-0.45003137,-0.51539946,-1.0694078,-0.9860665,-1.5658792,-1.4453094,-0.1205698
46,-1.9090315,-1.7292615,"('uncompetitive', 'competitive')",-2.0629349,-1.9029465,-0.46250823,-0.29765296,-0.7333776,-0.7344607,-1.291963,-1.1660804,-0.1258826
65,-1.8422047,-1.8650883,"('insecure', 'secure')",-1.9423585,-1.9181778,-0.7369246,-0.7610628,0.06893672,0.1019382,-1.1131377,-1.1105976,-0.0025401
57,-1.8225017,-1.807674,"('unimaginative', 'imaginative')",-2.2505968,-2.2602463,-1.2884091,-1.2854024,-3.683834,-3.7442322,-2.2613354,-2.2743888,0.0130534
73,1.732304,1.7823341,"('helpless', 'self-reliant')",2.481433,2.7031345,1.2629966,1.2856139,-3.1713285,-3.07112,0.5763513,0.6749907,-0.0986394
69,1.7313867,1.8414773,"('lazy', 'industrious')",2.5792935,2.6064095,0.9425726,0.9989285,-1.0027473,-1.100889,1.0626264,1.0864816,-0.0238552
71,1.696536,1.4185501,"('diffident', 'self-confident')",1.0053287,1.0596871,2.11873,1.9933813,0.5705198,0.6711056,1.3477787,1.285681,0.0620977
70,-1.6816918,-1.5087917,"('lethargic', 'energetic')",-2.106656,-1.8958513,-0.9035963,-0.8214627,-0.2223753,-0.0025009196,-1.2285799,-1.0571517,-0.1714282
60,-1.6605507,-1.2946328,"('inefficient', 'efficient')",-2.6650753,-2.4423246,0.12722963,0.43769836,-0.19103022,0.13007256,-1.0973566,-0.7922966,-0.30506
48,-1.645634,-1.5400444,"('unintelligent', 'intelligent')",-1.5709091,-1.5257032,0.047111675,0.014037613,-0.20726302,-0.17081772,-0.8441736,-0.8056319,-0.0385417
62,-1.6361452,-1.1849552,"('incompetent', 'brilliant')",-2.1407316,-1.9125732,-0.33214474,-0.021150574,-0.6225338,-0.3607687,-1.1828889,-0.869862,-0.3130269
30,-1.6347507,-1.4431268,"('intolerant', 'tolerant')",-2.1138704,-2.0408678,-0.05091459,-0.02218169,-0.14672345,-0.029370572,-0.9865648,-0.8838867,-0.1026781
5,1.5998149,1.4398797,"('distant', 'outgoing')",1.2916665,1.3206886,1.6702507,1.5257424,-0.6416569,-0.40332735,0.9800189,0.9707458,0.0092731
14,-1.5686729,-1.4042575,"('antisocial', 'social')",-2.8037767,-2.66183,0.008718293,-0.0042163804,-1.1701092,-1.3940753,-1.3834602,-1.3660948,-0.0173654
11,-1.5311675,-1.5210035,"('unhelpful', 'helpful')",-1.6958228,-1.6598601,-0.09535898,0.036849376,2.364474,2.5249107,-0.2394688,-0.1547759,-0.0846929
76,-1.4752698,-1.1162902,"('anxious', 'daring')",-1.8822784,-1.6080922,-1.2188205,-0.9156869,-0.2783749,-0.08694193,-1.213686,-0.9317528,-0.2819332
86,-1.4657586,-1.4682442,"('uninfluential', 'influential')",-2.0012183,-2.0424895,-0.06972731,-0.22951154,-1.0414048,-1.1246147,-1.1445273,-1.2162149,0.0716876
3,-1.4317396,-1.4540825,"('repellent', 'pleasant')",-1.2991014,-1.3393111,-1.602379,-1.6385487,0.26017088,0.11584774,-1.0182623,-1.0790237,0.0607614
45,-1.4294058,-1.2864094,"('incompetent', 'competent')",-2.5745227,-2.5349088,0.22353195,0.15776168,-0.8294093,-0.8073379,-1.1524515,-1.1177236,-0.0347279
77,-1.407229,-1.1128454,"('unmotivated', 'motivated')",-1.0357071,-0.8187678,-0.29577786,-0.14494725,-1.4144669,-1.1918956,-1.0382951,-0.817114,-0.2211811
