,jefferies_male,jefferies_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1691375,-2.1550555,"('unfriendly', 'friendly')",1.8148179,1.8764288,0.2000404,0.22153838,2.0698988,2.1168892,0.4789049,0.5149502,-0.0360453
57,-1.8082244,-1.9476483,"('unimaginative', 'imaginative')",-0.5153594,-0.5889176,-0.62823856,-0.6785238,-2.7447953,-3.0111368,-1.4241544,-1.5565566,0.1324022
48,-1.7976903,-2.1386235,"('unintelligent', 'intelligent')",-1.4281782,-1.4785656,-0.87930644,-0.8485355,0.24689291,0.2791545,-0.9645705,-1.0466425,0.082072
10,-1.5256685,-1.8301972,"('unsympathetic', 'sympathetic')",-1.5270262,-1.5584987,-0.42103446,-0.37380254,-0.013741276,-0.08926829,-0.8718676,-0.9629416,0.091074
86,-1.4311329,-1.7244772,"('uninfluential', 'influential')",-0.5572926,-0.68786776,0.109389305,0.17488527,-0.0151138455,-0.1863653,-0.4735375,-0.6059563,0.1324188
69,1.4291157,1.3961875,"('lazy', 'industrious')",1.7712001,1.7314996,1.0302446,0.93410504,-0.39022362,-0.41025683,0.9600842,0.9128838,0.0472004
43,-1.3082441,-1.4327899,"('irresponsible', 'responsible')",0.1788119,0.25681362,0.40846792,0.49508137,0.6243551,0.7003728,-0.0241523,0.0048695,-0.0290218
45,-1.2673993,-1.4070781,"('incompetent', 'competent')",-0.9717159,-1.0007002,-0.5420014,-0.51170444,-0.37847593,-0.425114,-0.7898982,-0.8361492,0.046251
28,-1.1961153,-1.4936489,"('disloyal', 'loyal')",0.31713498,0.19424465,-0.11023913,-0.21831144,1.1928658,1.2022575,0.0509116,-0.0788645,0.1297761
0,-1.1100619,-1.3927804,"('unsociable', 'sociable')",-0.36741918,-0.5196106,0.34704363,0.27994925,-0.47832903,-0.5307079,-0.4021916,-0.5407874,0.1385958
55,-1.0877206,-1.3295825,"('incompetent', 'clever')",-1.5425545,-1.63677,0.21807572,0.18282679,-0.34302115,-0.38241756,-0.6888052,-0.7914858,0.1026806
82,-1.069037,-1.12428,"('poor', 'rich')",-0.8679957,-0.79459405,-0.59115094,-0.6194388,6.1471915,6.2603393,0.904752,0.9305066,-0.0257546
61,-1.018756,-1.2103148,"('illogical', 'logical')",1.2173039,1.1281215,0.26137668,0.21163097,0.3754658,0.26589373,0.2088476,0.0988329,0.1100147
73,1.0074927,1.2403525,"('helpless', 'self-reliant')",1.436756,1.4986341,0.13838711,0.18323192,-3.4464188,-3.3865092,-0.2159457,-0.1160727,-0.099873
65,-0.998851,-1.231722,"('insecure', 'secure')",-1.3118861,-1.4136407,0.1792506,0.10187198,-0.7978915,-0.8268268,-0.7323445,-0.8425794,0.1102349
11,-0.978263,-1.1145123,"('unhelpful', 'helpful')",-0.3955574,-0.4982833,-0.43570256,-0.5277532,1.8881369,1.8263739,0.0196535,-0.0785437,0.0981972
35,0.95289165,0.934415,"('corrupt', 'incorrupt')",0.3847766,0.45675284,-0.8141647,-0.8305759,0.16123512,0.2142637,0.1711847,0.1937139,-0.0225292
53,-0.9314714,-1.0733979,"('uncreative', 'creative')",1.1255548,1.1812305,0.22773463,0.21278445,1.250417,1.2044722,0.4180588,0.3812723,0.0367865
6,-0.8921372,-0.5833063,"('distant', 'open')",0.63029385,0.9026696,-1.1256307,-0.9520166,0.7289827,0.9210237,-0.1646228,0.0720926,-0.2367154
77,-0.88763356,-1.023547,"('unmotivated', 'motivated')",0.74837625,0.6751616,1.0045613,1.0699537,-1.160276,-1.2755299,-0.073743,-0.1384904,0.0647474
49,-0.88272697,-1.0428823,"('unable', 'able')",-1.3368124,-1.3837259,-0.74403095,-0.8202518,-0.44328427,-0.3564324,-0.8517137,-0.9008231,0.0491094
32,-0.8819567,-1.1690758,"('unkind', 'kind')",-0.27350855,-0.27456376,0.6435499,0.5794033,0.9704416,1.0171347,0.1146316,0.0382246,0.076407
29,-0.87779504,-0.80886227,"('unfair', 'fair')",-0.14049502,-0.066195235,-0.1477972,-0.14398196,-0.67259115,-0.5640895,-0.4596696,-0.3957822,-0.0638874
50,0.8735464,0.79365534,"('clumsy', 'skillful')",0.87276065,0.87536585,0.71601933,0.5482375,0.31657273,0.370557,0.6947248,0.6469539,0.0477709
20,-0.869831,-1.0921583,"('rough', 'thoughtful')",-0.16378728,-0.17421466,0.9042644,1.002364,1.121585,1.1277201,0.2480578,0.2159278,0.03213
23,-0.8622459,-1.0156013,"('insincere', 'sincere')",-0.12773415,-0.1984283,-0.22384003,-0.24696085,5.852053,5.9630375,1.1595583,1.1255118,0.0340465
72,-0.8423828,-0.7545803,"('unambitious', 'ambitious')",0.15701608,0.2148371,0.29499888,0.454792,-0.9962648,-0.7112337,-0.3466582,-0.1990462,-0.147612
3,-0.83592695,-1.0433733,"('repellent', 'pleasant')",-1.0665839,-1.1642286,0.98357236,0.88857,0.0719649,-0.015864935,-0.2117434,-0.3337242,0.1219808
62,-0.8238431,-0.8303095,"('incompetent', 'brilliant')",-0.26820457,-0.22943127,0.13938105,0.19215727,-0.03857162,0.09108021,-0.2478096,-0.1941258,-0.0536838
68,-0.8195697,-0.91215163,"('dependent', 'independent')",-1.9548749,-2.032672,-0.015977867,-0.04890485,-0.60888517,-0.7129184,-0.8498269,-0.9266617,0.0768348
39,0.8003479,0.652037,"('exploitative', 'cooperative')",0.8499167,0.8036103,1.1876273,1.1258717,-0.031589996,-0.05089894,0.7015755,0.632655,0.0689205
38,-0.79805815,-0.80610925,"('untruthful', 'truthful')",0.99257225,0.99549097,-0.5201714,-0.5195223,0.12849577,0.20267288,-0.0492904,-0.0318669,-0.0174235
88,-0.7888221,-1.2354447,"('low', 'eminent')",-0.91255355,-1.1308353,-1.2367183,-1.6356585,0.39608026,0.21847978,-0.6355035,-0.9458647,0.3103612
63,-0.7860774,-0.91748124,"('unperceptive', 'insightful')",0.9918777,0.95287734,2.0278714,1.9835716,1.0701374,1.0741844,0.8259523,0.773288,0.0526643
60,-0.78454643,-0.93091446,"('inefficient', 'efficient')",-1.0033323,-0.975986,0.6028108,0.67610776,-0.24966693,-0.25110537,-0.3586837,-0.3704745,0.0117908
21,-0.78363585,-0.9532174,"('immoral', 'moral')",-0.036554642,-0.23920193,0.3585345,0.25830436,-0.88387173,-1.0939775,-0.3363819,-0.5070231,0.1706412
26,-0.780661,-0.95416796,"('hardhearted', 'benevolent')",1.8565814,1.8256404,0.63274163,0.67296153,1.7931683,1.8399959,0.8754576,0.8461075,0.0293501
40,-0.7667699,-0.7112714,"('stingy', 'generous')",1.5095009,1.6533376,0.89242125,1.1127368,-1.5269701,-1.5478817,0.0270455,0.1267303,-0.0996848
14,-0.7645139,-0.9079149,"('antisocial', 'social')",1.1649853,0.99107456,1.1054472,1.0459789,-0.7435176,-0.8655186,0.1906002,0.065905,0.1246952
24,-0.7344177,-0.7363289,"('dishonest', 'honest')",-0.036204163,0.10437241,-1.0413016,-0.9239801,0.8972085,1.0571328,-0.2286787,-0.1247009,-0.1039778
75,0.7313943,0.98905987,"('meek', 'impulsive')",-0.008388624,0.08135074,-0.5703922,-0.52031034,-0.5420269,-0.4522522,-0.0973534,0.024462,-0.1218154
66,0.7280552,0.6615592,"('inactive', 'active')",1.8013704,1.8089939,2.1957335,2.1245103,1.4214482,1.3984536,1.5366518,1.4983792,0.0382726
27,-0.7207777,-0.7984651,"('hardhearted', 'softhearted')",-0.63332856,-0.5299393,-0.36386064,-0.21751161,1.6175793,1.6703614,-0.0250969,0.0311113,-0.0562082
22,-0.7120995,-0.61384064,"('untrustworthy', 'trustworthy')",-0.7514954,-0.7228672,0.7872392,0.78496486,-0.9996556,-0.94486886,-0.4190028,-0.374153,-0.0448498
31,-0.7073471,-0.6009629,"('evil', 'good')",0.21735494,0.2853489,-1.1124098,-1.0670413,-0.7623752,-0.7212348,-0.5911943,-0.5259725,-0.0652218
47,-0.6987241,-0.6810322,"('stupid', 'smart')",0.5095089,0.542425,0.3349011,0.40095922,5.7223697,5.9077983,1.4670138,1.5425376,-0.0755238
81,-0.6583188,-0.7519105,"('submissive', 'aggressive')",-0.3166909,-0.46257922,1.1963377,1.148653,-0.9112809,-1.0998063,-0.1724882,-0.2914107,0.1189225
70,-0.6074544,-0.67567205,"('lethargic', 'energetic')",-0.6286797,-0.60203886,0.6942283,0.6949056,0.75961524,0.69589835,0.0544274,0.0282733,0.0261541
67,0.56140745,0.7125352,"('doubtful', 'determined')",0.26646945,0.23436408,0.6718724,0.7602657,-0.52490324,-0.5141902,0.2437115,0.2982437,-0.0545322
76,-0.56101835,-0.51388323,"('anxious', 'daring')",-0.82886124,-0.7691883,0.6525777,0.6628321,0.054463394,0.10601184,-0.1707096,-0.1285569,-0.0421527
30,-0.55983174,-0.7056041,"('intolerant', 'tolerant')",0.05051907,-0.047235906,-0.39472276,-0.4733796,1.1366055,0.98945343,0.0581425,-0.0591916,0.1173341
58,-0.55978173,-0.5748969,"('undiscriminating', 'discriminating')",1.3512118,1.277835,0.9949643,0.9970313,0.13177922,-0.0013201702,0.4795434,0.4246623,0.0548811
87,0.5391108,0.3717169,"('unsuccessful', 'successful')",1.3980765,1.1656636,1.576519,1.3749763,0.734738,0.60321647,1.062111,0.8788933,0.1832177
84,0.5369007,0.42509827,"('inferior', 'superior')",0.3928828,0.4036952,0.55025357,0.5598595,0.7967273,0.76378715,0.5691911,0.53811,0.0310811
83,-0.53040695,-0.63561255,"('powerless', 'powerful')",1.1111081,0.9943415,0.14991957,0.1823194,-0.8521676,-0.8853006,-0.0303867,-0.0860631,0.0556764
15,-0.52669454,-0.5929639,"('boring', 'funny')",0.3004375,0.17261529,-1.2048697,-1.3493259,0.38659668,0.30933616,-0.2611325,-0.3650846,0.1039521
