,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
69,1.7253301,1.6900913,"('lazy', 'industrious')",0.7645919,0.78590137,-0.40388972,-0.3004595,0.6953441,0.7251778,-0.0298337
86,-1.704852,-1.7993697,"('uninfluential', 'influential')",0.60732126,0.5782023,-0.15592419,-0.29983157,-0.4178183,-0.5069997,0.0891814
10,-1.3969035,-1.5042367,"('unsympathetic', 'sympathetic')",-0.17343971,-0.34197184,-0.58878744,-0.7451151,-0.7197102,-0.8637745,0.1440643
57,-1.3875222,-1.6921697,"('unimaginative', 'imaginative')",0.10572915,-0.06287128,-2.211283,-2.6513433,-1.1643587,-1.4687948,0.3044361
0,-1.3761483,-1.5136969,"('unsociable', 'sociable')",-0.051257826,-0.12215743,-0.55674386,-0.66928345,-0.6613834,-0.7683793,0.1069959
35,1.3590474,1.2430663,"('corrupt', 'incorrupt')",0.025569264,-0.0872239,-0.15844378,-0.071512215,0.4087243,0.3614434,0.0472809
77,-1.2614019,-1.2152321,"('unmotivated', 'motivated')",0.27600753,0.22103384,-1.4369805,-1.4284941,-0.8074582,-0.8075641,0.0001059
44,1.2518708,1.1127768,"('prejudiced', 'unprejudiced')",-0.9880338,-1.0310026,-1.4620221,-1.4461298,-0.399395,-0.4547852,0.0553902
53,-1.2496233,-1.3950102,"('uncreative', 'creative')",1.2443668,1.0167866,1.0100967,1.023811,0.3349467,0.2151958,0.1197509
83,-1.2139453,-1.3041338,"('powerless', 'powerful')",-0.4688703,-0.3631006,-1.4770498,-1.4637847,-1.0532885,-1.043673,-0.0096155
1,-1.1947764,-1.2944224,"('unfriendly', 'friendly')",1.3617901,1.1559956,2.0995433,2.2204165,0.755519,0.6939966,0.0615224
46,-1.1779016,-1.1919574,"('uncompetitive', 'competitive')",0.32869363,0.21299255,-0.64134765,-0.9338254,-0.4968519,-0.6375967,0.1407448
78,-1.1316042,-1.1074641,"('nonresilient', 'resilient')",0.363438,0.21200281,0.640274,0.48648283,-0.0426307,-0.1363261,0.0936954
