,t_male,t_female,tuple,rowe_male,rowe_female,price_male,price_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
21,2.2194662,1.5941094,"('immoral', 'moral')",3.0691848,1.70276,1.7992406,1.6872102,0.18820293,0.28431273,-0.9879005,-1.1700857,1.2576387,0.8196613,0.4379774
80,1.9616408,1.396544,"('dominated', 'dominating')",2.7388816,1.2268754,0.13110745,-0.028279465,1.0358137,0.98027194,-1.2843896,-1.4396656,0.9166108,0.4271492,0.4894616
46,1.847432,1.255843,"('uncompetitive', 'competitive')",2.18332,1.3085438,1.6984658,1.5664027,1.7508618,1.8113474,-0.43787017,-0.57012665,1.4084419,1.0744021,0.3340398
14,1.8270718,1.4478104,"('antisocial', 'social')",2.3034,1.6872504,2.4310288,2.5611742,1.2149384,1.1788725,-0.5393671,-0.6779247,1.4474143,1.2394365,0.2079778
1,-1.7556573,-1.6980675,"('unfriendly', 'friendly')",-2.921182,-2.9716501,-0.51143956,-0.32637748,-0.318022,-0.27545148,1.6340532,1.787657,-0.7744495,-0.696778,-0.0776715
87,1.6387415,1.598,"('unsuccessful', 'successful')",0.6824723,0.49228594,0.5541535,0.38472143,1.4648854,1.3943936,0.78738153,0.7674879,1.0255268,0.9273778,0.098149
8,-1.5960978,-1.2580035,"('unaffectionate', 'affectionate')",-1.5959885,-1.5976795,-0.19807541,-0.14330885,0.3003899,0.2592858,0.9353448,0.9977157,-0.4308854,-0.3483981,-0.0824873
81,1.5938139,1.2579368,"('submissive', 'aggressive')",2.6414435,1.3786033,0.9751914,1.1542096,0.93114483,0.90642565,-1.0410699,-1.2381647,1.0201047,0.6918022,0.3283025
25,-1.5858724,-1.416359,"('egoistic', 'altruistic')",-1.4220426,-1.3967558,-0.10802623,0.088283576,-0.3025776,-0.31349036,1.3745855,1.5465901,-0.4087867,-0.2983463,-0.1104404
51,1.5706413,1.2985607,"('uneducated', 'educated')",1.7407508,0.9175062,0.4440149,0.34725115,-0.33416796,-0.2575639,0.2847948,0.3028162,0.7412067,0.5217141,0.2194926
35,-1.4122857,-1.0854609,"('corrupt', 'incorrupt')",-3.5764923,-1.8681462,-1.5773401,-1.7467893,-1.5565035,-1.673427,-0.069460526,-0.040340126,-1.6384165,-1.2828327,-0.3555838
48,-1.4063834,-1.6287655,"('unintelligent', 'intelligent')",1.0177972,-0.29460758,0.41947994,0.26267722,-0.74673694,-0.8546205,-0.05508079,-0.099193074,-0.1541848,-0.5229019,0.3687171
6,-1.3536271,-1.2496566,"('distant', 'open')",-2.8734128,-2.3097641,-1.8391864,-1.8238539,-1.6238892,-1.6161188,0.2550665,0.33185068,-1.4870097,-1.3335086,-0.1535011
88,-1.3420942,-1.0875088,"('low', 'eminent')",-0.4466209,-0.793798,-1.6164638,-1.4462048,-1.3315315,-1.1085788,-0.13263598,0.20319135,-0.9738693,-0.8465798,-0.1272895
26,-1.3305668,-1.1196063,"('hardhearted', 'benevolent')",-0.78994083,-1.1664044,0.6717745,0.89662516,1.1662787,1.2791111,1.8177547,2.0698776,0.3070601,0.3919206,-0.0848605
31,-1.3273332,-1.0232562,"('evil', 'good')",-3.2583444,-1.8816744,-1.5108248,-1.5374391,-1.4038608,-1.4357154,-1.1623427,-0.98119825,-1.7325413,-1.3718567,-0.3606846
