,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
26,2.7383704,3.057476,"('hardhearted', 'benevolent')",2.6798708,2.7801323,1.5153095,1.4573667,2.3111836,2.4316584,-0.1204748
85,2.7201238,3.0911658,"('insignificant', 'prestigious')",2.0185678,2.2344072,1.4029986,1.7056768,2.0472299,2.34375,-0.2965201
64,-2.661319,-3.1438832,"('shy', 'confident')",-0.83989143,-1.0963084,-6.267139,-6.4483647,-3.2561165,-3.5628522,0.3067357
22,-2.6127415,-2.687972,"('untrustworthy', 'trustworthy')",-1.770342,-1.7568046,-2.3758743,-2.4577477,-2.252986,-2.3008413,0.0478553
45,-2.5807753,-2.6788697,"('incompetent', 'competent')",-1.4919105,-1.3917015,-1.7258387,-1.8838879,-1.9328415,-1.9848196,0.0519781
44,-2.3094165,-2.500403,"('prejudiced', 'unprejudiced')",-1.0339689,-1.294589,-1.6576148,-1.8099791,-1.6670001,-1.8683236,0.2013235
81,-2.293752,-2.7849562,"('submissive', 'aggressive')",-1.0763879,-1.5055923,-2.063509,-2.5220973,-1.8112164,-2.270882,0.4596656
6,2.2684224,2.8117974,"('distant', 'open')",0.9905964,1.3006648,0.6171151,0.87654454,1.2920446,1.6630022,-0.3709576
46,-2.2225003,-2.489891,"('uncompetitive', 'competitive')",-1.2842654,-1.3841193,-0.77409595,-0.9200916,-1.426954,-1.5980339,0.1710799
79,2.2207117,2.4275656,"('wavering', 'unwavering')",0.819716,1.1018096,0.77692986,0.9340659,1.2724525,1.4878136,-0.2153611
25,2.1236868,2.2580206,"('egoistic', 'altruistic')",1.6271228,1.5259134,1.8274748,1.8449599,1.8594281,1.876298,-0.0168699
9,2.0937107,2.3266678,"('unaffectionate', 'caring')",0.49701944,0.49227935,1.0909151,1.1049278,1.2272151,1.3079583,-0.0807432
65,-2.0910015,-2.5263722,"('insecure', 'secure')",-1.2641534,-1.5846766,-1.7882212,-2.182017,-1.7144588,-2.0976887,0.3832299
71,2.0519607,2.4570208,"('diffident', 'self-confident')",0.33656144,0.5693612,0.2837485,0.5485785,0.8907569,1.1916535,-0.3008966
5,1.9880912,2.4234362,"('distant', 'outgoing')",0.8975999,1.1160737,0.38454127,0.5867953,1.0900775,1.375435,-0.2853575
35,1.9721959,2.5714176,"('corrupt', 'incorrupt')",0.75989985,1.1803541,0.5831402,0.938593,1.1050786,1.5634549,-0.4583763
8,1.8615232,2.1788807,"('unaffectionate', 'affectionate')",1.1766704,1.2394373,0.99270964,1.2393627,1.3436344,1.5525602,-0.2089258
70,-1.8456541,-2.1253042,"('lethargic', 'energetic')",-0.97786266,-1.1887248,-0.64980143,-0.9697836,-1.1577728,-1.4279375,0.2701647
3,-1.8058066,-2.1535234,"('repellent', 'pleasant')",-1.0401562,-1.1183392,0.6294173,0.6155009,-0.7388485,-0.8854539,0.1466054
69,1.793349,2.0509105,"('lazy', 'industrious')",1.1814439,1.278715,0.5110693,0.96010715,1.1619541,1.429911,-0.2679569
11,-1.7815142,-2.0479805,"('unhelpful', 'helpful')",-2.0428095,-2.306585,1.0081973,0.62049603,-0.9387088,-1.2446899,0.3059811
54,1.7431141,1.7142862,"('incapable', 'capable')",1.1328515,1.1057076,0.95998836,0.9500037,1.2786513,1.2566659,0.0219854
36,1.7262162,2.386216,"('hostile', 'amicable')",0.77466094,1.205567,1.0000122,1.4165825,1.1669631,1.6694552,-0.5024921
80,-1.6430837,-1.875951,"('dominated', 'dominating')",-0.99407,-1.1531557,-0.94071317,-1.0373058,-1.1926223,-1.3554708,0.1628485
33,1.5924478,1.7363261,"('wrong', 'right')",1.6281923,1.8381754,0.0068359002,0.21680166,1.0758254,1.2637677,-0.1879423
68,-1.5562553,-1.797231,"('dependent', 'independent')",-1.8681977,-1.8237247,-1.7065848,-1.6574246,-1.7103459,-1.7594601,0.0491142
