,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-1.7691563,-1.8921069,"('uncreative', 'creative')",0.15898141,0.09266232,-0.8050874,-0.8997223,0.0946349
86,-1.6552527,-2.011834,"('uninfluential', 'influential')",-0.5552595,-0.6733424,-1.1052561,-1.3425882,0.2373321
1,-1.3438392,-1.9228332,"('unfriendly', 'friendly')",1.4504442,1.1632752,0.0533025,-0.379779,0.4330815
54,-1.3131566,-0.7789398,"('incapable', 'capable')",0.8773372,0.9785779,-0.2179097,0.0998191,-0.3177288
10,-1.2784239,-1.1811583,"('unsympathetic', 'sympathetic')",-0.50574625,-0.37512887,-0.8920851,-0.7781436,-0.1139415
46,-1.2114418,-1.1032333,"('uncompetitive', 'competitive')",-1.1888407,-0.7808279,-1.2001412,-0.9420306,-0.2581106
24,-1.2051891,-1.2511007,"('dishonest', 'honest')",0.4600458,0.42920536,-0.3725716,-0.4109477,0.0383761
5,-1.0579698,-1.0056006,"('distant', 'outgoing')",-0.66442615,-0.6591213,-0.8611979,-0.8323609,-0.028837
45,-1.0576925,-1.284453,"('incompetent', 'competent')",-0.31996298,-0.2989,-0.6888278,-0.7916765,0.1028487
61,-1.047513,-0.89120954,"('illogical', 'logical')",0.3625701,0.3397041,-0.3424715,-0.2757527,-0.0667188
6,-1.0468042,-0.975619,"('distant', 'open')",-0.49269432,-0.5988628,-0.7697493,-0.7872409,0.0174916
77,-1.0165467,-0.6633819,"('unmotivated', 'motivated')",-1.3623928,-1.2020767,-1.1894698,-0.9327292,-0.2567406
70,-0.96873343,-0.7912142,"('lethargic', 'energetic')",-0.13761164,0.078768685,-0.5531725,-0.3562228,-0.1969497
29,-0.9532804,-0.55002606,"('unfair', 'fair')",-0.5955276,-0.6248659,-0.774404,-0.587446,-0.186958
57,-0.9197399,-1.1567504,"('unimaginative', 'imaginative')",-3.4388447,-3.2567084,-2.1792922,-2.2067294,0.0274372
73,0.9190191,0.90903467,"('helpless', 'self-reliant')",-3.3385534,-3.0847075,-1.2097671,-1.0878364,-0.1219307
19,-0.91654336,-1.1685253,"('inhospitable', 'hospitable')",-0.5936737,-0.51966536,-0.7551085,-0.8440953,0.0889868
31,-0.9089631,-0.66689926,"('evil', 'good')",-0.8720804,-0.8656585,-0.8905218,-0.7662789,-0.1242429
