,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
39,2.330637,2.0892313,"('exploitative', 'cooperative')",-0.055136573,0.08524397,1.1377501,1.0872376,0.0505125
29,-2.0215552,-1.6141262,"('unfair', 'fair')",-0.9918576,-0.9510166,-1.5067064,-1.2825714,-0.224135
16,-1.995179,-2.2116501,"('unpopular', 'popular')",-0.44828624,-0.510238,-1.2217326,-1.360944,0.1392114
85,1.7494491,2.0245028,"('insignificant', 'prestigious')",-0.5558312,-0.71993,0.596809,0.6522864,-0.0554774
45,-1.6110864,-1.4080122,"('incompetent', 'competent')",-0.48578537,-0.30684283,-1.0484359,-0.8574275,-0.1910084
9,1.6038462,1.9667321,"('unaffectionate', 'caring')",1.0940269,1.2487959,1.3489366,1.607764,-0.2588274
74,1.5482014,1.6517916,"('undedicated', 'dedicated')",-0.3268419,-0.22593167,0.6106797,0.71293,-0.1022503
12,1.5474985,1.7446359,"('unsupportive', 'supportive')",-1.0905609,-1.1026694,0.2284688,0.3209833,-0.0925145
72,1.5111445,1.188703,"('unambitious', 'ambitious')",-0.7306007,-0.6734516,0.3902719,0.2576257,0.1326462
66,1.3914987,1.3831543,"('inactive', 'active')",-0.38172764,-0.32459646,0.5048856,0.5292789,-0.0243933
84,1.1928056,1.1428957,"('inferior', 'superior')",-0.13860846,-0.10950503,0.5270986,0.5166953,0.0104033
0,-1.075855,-1.0461808,"('unsociable', 'sociable')",-0.5017039,-0.442239,-0.7887795,-0.7442099,-0.0445696
63,1.0675948,1.08927,"('unperceptive', 'insightful')",0.4726407,0.6962676,0.7701178,0.8927688,-0.122651
71,1.0485666,1.3660456,"('diffident', 'self-confident')",0.11092312,0.2662223,0.5797449,0.816134,-0.2363891
24,1.0403526,1.202618,"('dishonest', 'honest')",-0.38844132,-0.23059662,0.3259556,0.4860107,-0.1600551
80,1.0379819,0.6946936,"('dominated', 'dominating')",-0.28899974,-0.11186266,0.3744911,0.2914155,0.0830756
