,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.3619255,-1.2714695,"('uncreative', 'creative')",0.647665,0.5958136,-0.3571302,-0.337828,-0.0193022
0,-1.2627794,-1.8531828,"('unsociable', 'sociable')",-0.23655827,-0.40474957,-0.7496688,-1.1289662,0.3792974
57,-1.2181203,-1.4929088,"('unimaginative', 'imaginative')",-2.1454117,-2.1414056,-1.681766,-1.8171573,0.1353913
1,-1.1672001,-1.1187465,"('unfriendly', 'friendly')",0.95117366,0.8277989,-0.1080132,-0.1454738,0.0374606
36,-1.140682,-0.39835793,"('hostile', 'amicable')",-0.60863656,-0.5630224,-0.8746593,-0.4806902,-0.3939691
31,-1.1343108,-0.75837445,"('evil', 'good')",-1.8794122,-1.8923185,-1.5068614,-1.3253465,-0.1815149
10,-1.082449,-1.6890136,"('unsympathetic', 'sympathetic')",0.4122754,0.14265418,-0.3350868,-0.7731797,0.4380929
79,-1.0528148,-0.77681243,"('wavering', 'unwavering')",-0.48347747,-0.3344344,-0.7681462,-0.5556234,-0.2125228
56,1.0236307,0.3395512,"('impractical', 'practical')",0.8974154,0.90446514,0.9605231,0.6220082,0.3385149
19,-0.93115175,-0.4849488,"('inhospitable', 'hospitable')",-0.42244792,-0.19270585,-0.6767998,-0.3388273,-0.3379725
66,-0.8824526,-0.5368151,"('inactive', 'active')",0.40357035,0.46007547,-0.2394411,-0.0383698,-0.2010713
17,-0.86659247,-0.75737005,"('nasty', 'nice')",-0.5752501,-0.46230432,-0.7209213,-0.6098372,-0.1110841
78,-0.85926515,-0.87863296,"('nonresilient', 'resilient')",0.09835856,0.07495243,-0.3804533,-0.4018403,0.021387
9,-0.8534707,-0.7427571,"('unaffectionate', 'caring')",0.30559635,0.37986422,-0.2739372,-0.1814464,-0.0924908
77,-0.81550467,-0.5932432,"('unmotivated', 'motivated')",-0.90006006,-0.7006921,-0.8577824,-0.6469676,-0.2108148
51,-0.79976827,-0.9887856,"('uneducated', 'educated')",0.9857317,0.9999004,0.0929817,0.0055574,0.0874243
84,0.78463304,1.0377742,"('inferior', 'superior')",0.74444157,0.9580299,0.7645373,0.997902,-0.2333647
6,-0.7558527,-0.35617986,"('distant', 'open')",-0.52461106,-0.5647299,-0.6402318,-0.4604549,-0.1797769
73,0.69186383,0.95152617,"('helpless', 'self-reliant')",-3.2686186,-3.0704722,-1.2883774,-1.059473,-0.2289044
54,-0.6914437,-0.3195919,"('incapable', 'capable')",0.9017919,1.2477655,0.1051741,0.4640868,-0.3589127
30,0.68239075,0.03888777,"('intolerant', 'tolerant')",1.66516,1.6834731,1.1737753,0.8611804,0.3125949
68,-0.67649996,-0.5386252,"('dependent', 'independent')",-0.5948735,-0.3793235,-0.6356868,-0.4589744,-0.1767124
81,0.673619,0.16334808,"('submissive', 'aggressive')",0.64794636,0.7018569,0.6607827,0.4326025,0.2281802
29,-0.66500574,-0.271042,"('unfair', 'fair')",-1.0353742,-0.9693625,-0.8501899,-0.6202022,-0.2299877
86,-0.6616372,-1.1588544,"('uninfluential', 'influential')",0.20755629,-0.07019107,-0.2270404,-0.6145227,0.3874823
2,0.65462697,0.8117355,"('unlikable', 'likable')",0.6989557,0.9622764,0.6767913,0.8870059,-0.2102146
25,-0.6528015,-0.14673541,"('egoistic', 'altruistic')",0.94979894,1.0942042,0.1484987,0.4737344,-0.3252357
18,-0.63792926,-0.6666393,"('disagreeable', 'welcoming')",-0.6531609,-0.57440025,-0.6455451,-0.6205198,-0.0250253
13,-0.62319535,-0.9008491,"('impolite', 'polite')",-0.009809956,0.15868373,-0.3165027,-0.3710827,0.05458
71,-0.61171615,-0.37286994,"('diffident', 'self-confident')",-0.056614097,-0.030024994,-0.3341651,-0.2014475,-0.1327176
22,-0.6108948,-0.95554954,"('untrustworthy', 'trustworthy')",-0.8109283,-1.021197,-0.7109115,-0.9883733,0.2774618
12,-0.6015072,-0.86454165,"('unsupportive', 'supportive')",-1.7309089,-1.7860211,-1.166208,-1.3252814,0.1590734
37,0.5934438,0.10517214,"('fake', 'genuine')",0.6317392,0.28303495,0.6125915,0.1941035,0.418488
45,-0.5880736,-1.2408528,"('incompetent', 'competent')",0.20874631,-0.078576684,-0.1896636,-0.6597148,0.4700512
27,-0.57304114,-0.7371966,"('hardhearted', 'softhearted')",0.9592943,0.7000064,0.1931266,-0.0185951,0.2117217
