,stanley_male,stanley_female,tuple,black_male,black_female,&_male,&_female,decker_male,decker_female,inc_male,inc_female,average_male,average_female,male-female
26,2.06307,2.3834012,"('hardhearted', 'benevolent')",-0.04108923,0.0045958385,1.8121758,1.7107457,1.136164,1.1177269,2.068463,2.0722246,1.4077568,1.4577388,-0.049982
29,-2.033532,-2.0790455,"('unfair', 'fair')",-0.35991597,-0.24405773,-0.7538527,-0.7055464,-0.44698897,-0.33069897,-0.64709204,-0.5690983,-0.8482763,-0.7856894,-0.0625869
12,1.7368662,1.9951385,"('unsupportive', 'supportive')",0.0028544515,0.12330574,-0.6206746,-0.6025904,-0.40895528,-0.28842854,-1.2701244,-1.1304045,-0.1120067,0.0194042,-0.1314109
71,1.6659381,1.723438,"('diffident', 'self-confident')",0.747709,0.8390514,0.19760674,0.10997422,2.4506836,2.600855,0.62111986,0.68203443,1.1366115,1.1910707,-0.0544592
9,1.5587163,1.8002799,"('unaffectionate', 'caring')",0.15163139,0.3885673,-0.21337456,-0.14982685,0.50079364,0.64860654,1.1897608,1.2535468,0.6375055,0.7882347,-0.1507292
52,-1.2874997,-1.2263876,"('irrational', 'rational')",-0.5524657,-0.3831427,1.2126523,1.203213,1.2773482,1.5331957,0.08249304,0.35695148,0.1465056,0.296766,-0.1502604
44,-1.2752684,-1.2960236,"('prejudiced', 'unprejudiced')",-0.815227,-0.78820884,-0.56102866,-0.5604344,-0.8467109,-0.85307896,-1.5803504,-1.5420766,-1.0157171,-1.0079644,-0.0077527
87,1.143434,1.1174765,"('unsuccessful', 'successful')",1.1431416,1.1277208,2.377181,2.2986903,0.059311554,0.049376182,1.4593763,1.5591761,1.2364889,1.2304879,0.006001
85,1.1294924,1.5109369,"('insignificant', 'prestigious')",-0.40644282,-0.008172002,1.6819049,1.7126048,2.3695462,2.7612016,1.0135463,1.4132586,1.1576095,1.4779659,-0.3203564
22,-1.0821583,-1.0778065,"('untrustworthy', 'trustworthy')",-1.2915783,-1.359578,-0.82700306,-0.89349025,-1.5901773,-1.7593498,-0.9079613,-1.022661,-1.1397757,-1.2225771,0.0828014
