,ralph_male,ralph_female,tuple,lauren_male,lauren_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.4109788,-2.464071,"('unsympathetic', 'sympathetic')",-1.1861825,-1.0783831,-0.07034453,0.57965744,-1.2225019,-0.9875989,-0.234903
65,-2.3053586,-2.4675345,"('insecure', 'secure')",-1.75238,-1.7574803,0.35720894,0.6210228,-1.2335099,-1.2013307,-0.0321792
28,-2.1023521,-1.9549531,"('disloyal', 'loyal')",-0.67301774,-0.61236006,1.0418352,1.3502133,-0.5778449,-0.4057,-0.1721449
0,-2.0131495,-2.0257618,"('unsociable', 'sociable')",-0.47462708,-0.4638479,-0.3106491,0.0048835985,-0.9328086,-0.8282421,-0.1045665
14,-1.9566249,-2.053722,"('antisocial', 'social')",-0.34111708,-0.2532881,-0.48870987,-0.54422694,-0.9288173,-0.9504123,0.021595
86,-1.902354,-1.8669559,"('uninfluential', 'influential')",-1.2902412,-1.2716066,-0.5164704,-0.023572698,-1.2363552,-1.054045,-0.1823102
7,-1.7928832,-1.4150753,"('insensitive', 'sensitive')",-1.197354,-0.94089293,0.19233966,0.71125776,-0.9326325,-0.5482368,-0.3843957
45,-1.7489334,-1.2407362,"('incompetent', 'competent')",-1.2220567,-0.9143699,-0.42686707,0.06227702,-1.1326191,-0.6976097,-0.4350094
46,-1.679504,-1.5184293,"('uncompetitive', 'competitive')",-0.91885585,-0.5860833,-0.67758423,-0.24501336,-1.0919813,-0.7831753,-0.308806
67,1.6558937,1.2286756,"('doubtful', 'determined')",0.5720125,0.12915777,-0.2716468,-0.57306206,0.6520865,0.2615904,0.3904961
48,-1.6393915,-1.4447244,"('unintelligent', 'intelligent')",-0.45839125,-0.34923595,0.93104255,1.2302477,-0.3889134,-0.1879042,-0.2010092
55,-1.5924422,-1.49051,"('incompetent', 'clever')",-0.9529841,-0.73709553,0.5826447,1.0563802,-0.6542606,-0.3904085,-0.2638521
61,-1.5565792,-1.2995639,"('illogical', 'logical')",-1.0191561,-0.86641026,0.33753955,0.529562,-0.7460653,-0.5454707,-0.2005946
75,1.5554936,1.4619977,"('meek', 'impulsive')",-0.61659485,-0.747292,-0.7178263,-0.8889866,0.0736908,-0.0580936,0.1317844
81,-1.5547448,-1.8753456,"('submissive', 'aggressive')",-0.9240238,-1.1453614,-0.18135266,0.16666761,-0.8867071,-0.9513465,0.0646394
24,-1.4963573,-1.1514906,"('dishonest', 'honest')",-0.7683354,-0.7294899,0.60241646,1.118402,-0.5540921,-0.2541928,-0.2998993
