,union_male,union_female,tuple,pacific_male,pacific_female,corp_male,corp_female,average_male,average_female,male-female
55,-2.9164677,-2.8993993,"('incompetent', 'clever')",-1.7104781,-1.6079179,0.36661336,0.49916166,-1.4201107,-1.3360518,-0.0840589
81,-2.4405737,-2.3518252,"('submissive', 'aggressive')",-1.3036568,-1.1081299,-0.66307324,-0.23288125,-1.4691013,-1.2309455,-0.2381558
13,-2.1281013,-1.7176138,"('impolite', 'polite')",-1.6622593,-1.2931271,-1.0558143,-0.69361496,-1.6153917,-1.2347852,-0.3806065
30,-2.0672734,-1.8549036,"('intolerant', 'tolerant')",-1.9388369,-1.6461828,0.17924422,0.6401514,-1.275622,-0.9536449,-0.3219771
82,-2.0567322,-2.0561452,"('poor', 'rich')",-0.5977069,-0.52149826,6.6781416,6.4869037,1.3412342,1.3030868,0.0381474
45,-2.0047379,-2.1343446,"('incompetent', 'competent')",-1.4189116,-1.3550397,-0.39835167,-0.25446057,-1.2740003,-1.2479482,-0.0260521
57,-1.8999741,-2.237959,"('unimaginative', 'imaginative')",-0.4097913,-0.6915271,-3.109042,-3.1783626,-1.806269,-2.0359495,0.2296805
49,-1.897202,-1.8782172,"('unable', 'able')",-0.78759605,-0.81917393,-0.4935622,-0.5690629,-1.0594534,-1.088818,0.0293646
69,1.8742001,1.8077797,"('lazy', 'industrious')",1.37484,1.1901716,-0.9732561,-0.9944224,0.7585947,0.6678429,0.0907518
60,-1.8691237,-1.5037245,"('inefficient', 'efficient')",-1.213243,-0.8187594,-0.28325346,0.29757902,-1.1218734,-0.6749682,-0.4469052
22,-1.8569773,-1.8233382,"('untrustworthy', 'trustworthy')",-0.78330094,-0.8014724,-1.0164135,-0.95545995,-1.2188973,-1.1934236,-0.0254737
51,-1.8310847,-1.7611477,"('uneducated', 'educated')",-0.8597554,-0.7418549,0.25544062,0.31868544,-0.8117998,-0.7281057,-0.0836941
46,-1.7497038,-1.9819059,"('uncompetitive', 'competitive')",-0.40601876,-0.5056993,-0.89221674,-0.8999741,-1.0159798,-1.1291931,0.1132133
86,-1.6183112,-1.8040955,"('uninfluential', 'influential')",-1.053339,-1.044502,-0.4272042,-0.5679821,-1.0329514,-1.1388599,0.1059085
77,-1.6148052,-1.6019853,"('unmotivated', 'motivated')",-0.56670123,-0.62888163,-1.0667464,-1.0058312,-1.082751,-1.0788994,-0.0038516
10,-1.5386184,-1.628654,"('unsympathetic', 'sympathetic')",-2.0381124,-1.9400108,-0.27250403,-0.19037044,-1.2830783,-1.2530117,-0.0300666
62,-1.45047,-1.367694,"('incompetent', 'brilliant')",-0.91261166,-0.6096082,0.049716774,0.42369932,-0.7711217,-0.5178676,-0.2532541
41,-1.4156767,-1.3086228,"('unforgiving', 'forgiving')",-0.38367417,-0.26084602,-0.37649804,-0.2731635,-0.725283,-0.6142108,-0.1110722
65,-1.408602,-1.1005025,"('insecure', 'secure')",-0.68781996,-0.47206628,0.049628288,0.31375203,-0.6822646,-0.4196056,-0.262659
52,1.3926331,1.2158002,"('irrational', 'rational')",-0.18849221,-0.18239415,-0.25868618,-0.3557905,0.3151516,0.2258718,0.0892798
73,1.3872185,1.4108806,"('helpless', 'self-reliant')",-0.12723766,-0.046025705,-3.6598299,-3.6272562,-0.7999496,-0.7541338,-0.0458158
11,-1.3806221,-1.4265543,"('unhelpful', 'helpful')",-1.7524413,-1.5460851,1.3070433,1.5436702,-0.6086733,-0.4763231,-0.1323502
48,-1.379953,-1.4044409,"('unintelligent', 'intelligent')",-0.8159238,-0.7613968,0.4973753,0.7708053,-0.5661672,-0.4650108,-0.1011564
67,1.3523846,1.1434835,"('doubtful', 'determined')",-0.38729307,-0.46508744,-0.7810828,-0.68811613,0.0613362,-0.00324,0.0645762
85,1.346121,0.9495818,"('insignificant', 'prestigious')",0.0701985,-0.04878032,-0.8742451,-0.97468466,0.1806915,-0.0246277,0.2053192
0,-1.2692554,-1.280885,"('unsociable', 'sociable')",-1.5897784,-1.5471618,-0.3552792,-0.27525967,-1.0714377,-1.0344355,-0.0370022
54,-1.2179404,-1.3337592,"('incapable', 'capable')",0.059816007,-0.20038414,0.5954808,0.5342461,-0.1875479,-0.3332991,0.1457512
26,1.2019722,1.042829,"('hardhearted', 'benevolent')",1.0263733,1.0059032,1.5301462,1.6393877,1.2528305,1.2293733,0.0234572
70,-1.1049577,-1.2182109,"('lethargic', 'energetic')",-0.69523746,-0.72575295,0.33977008,0.307745,-0.4868084,-0.5454063,0.0585979
21,-1.0628753,-0.84311277,"('immoral', 'moral')",-0.34292608,-0.20300046,-0.37580216,-0.18994614,-0.5938678,-0.4120198,-0.181848
6,1.0187598,0.9922649,"('distant', 'open')",-0.23884058,-0.209249,-0.722062,-0.9908943,0.0192858,-0.0692928,0.0885786
