,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
35,-2.2717597,-2.5547066,"('corrupt', 'incorrupt')",-2.288643,-2.8851998,-2.2802014,-2.7199531,0.4397517
31,-2.1611445,-2.025595,"('evil', 'good')",-2.6872613,-3.1750982,-2.4242029,-2.6003466,0.1761437
23,1.9775128,1.7129631,"('insincere', 'sincere')",6.3503885,6.140538,4.1639509,3.9267507,0.2372002
36,-1.8738048,-1.6307467,"('hostile', 'amicable')",-2.2434592,-2.614014,-2.0586319,-2.1223803,0.0637484
56,1.8709278,2.3954372,"('impractical', 'practical')",1.4034859,2.1745331,1.6372068,2.2849851,-0.6477783
60,1.829968,1.1889762,"('inefficient', 'efficient')",2.0672045,2.4148967,1.9485862,1.8019364,0.1466498
39,1.7979637,1.7313392,"('exploitative', 'cooperative')",0.09967101,0.33936024,0.9488174,1.0353497,-0.0865323
13,1.7960384,1.4581455,"('impolite', 'polite')",0.7199844,0.8225389,1.2580113,1.1403422,0.1176691
75,-1.7920457,-1.1120675,"('meek', 'impulsive')",-1.2344453,-1.3662332,-1.5132456,-1.2391503,-0.2740953
14,1.745611,2.3957396,"('antisocial', 'social')",0.8685961,1.5966516,1.3071035,1.9961956,-0.6890921
30,1.682623,1.747711,"('intolerant', 'tolerant')",1.798508,2.118046,1.7405655,1.9328785,-0.192313
11,1.6721835,1.8795489,"('unhelpful', 'helpful')",2.8314037,2.9852417,2.2517936,2.4323952,-0.1806016
19,-1.4831163,-1.1836938,"('inhospitable', 'hospitable')",-0.7803537,-1.143118,-1.131735,-1.1634059,0.0316709
21,1.4057779,1.8830838,"('immoral', 'moral')",1.0703685,1.7114471,1.2380732,1.7972655,-0.5591923
43,1.3972179,1.114332,"('irresponsible', 'responsible')",1.386327,1.6974554,1.3917725,1.4058937,-0.0141212
81,1.3935438,1.8507504,"('submissive', 'aggressive')",1.005808,1.5257025,1.1996759,1.6882265,-0.4885506
79,-1.2903099,-0.42292824,"('wavering', 'unwavering')",-1.3949345,-1.5664098,-1.3426223,-0.994669,-0.3479533
24,1.2665845,0.71705097,"('dishonest', 'honest')",1.1431841,1.006235,1.2048843,0.861643,0.3432413
12,1.2573829,1.147282,"('unsupportive', 'supportive')",-0.8308929,-0.7609063,0.213245,0.1931879,0.0200571
8,-1.2506151,-1.400599,"('unaffectionate', 'affectionate')",-0.48364407,-0.9225484,-0.8671296,-1.1615736,0.294444
26,1.1544113,1.375602,"('hardhearted', 'benevolent')",0.5324982,0.707608,0.8434547,1.041605,-0.1981503
62,1.1005615,0.9718216,"('incompetent', 'brilliant')",1.5975664,1.6166297,1.3490639,1.2942257,0.0548382
55,1.0986571,1.0707139,"('incompetent', 'clever')",1.9559972,2.3350103,1.5273272,1.702862,-0.1755348
17,-1.0897167,-0.78095794,"('nasty', 'nice')",-0.99390453,-1.0017178,-1.0418106,-0.8913379,-0.1504727
66,-1.0633518,-1.2122313,"('inactive', 'active')",-1.3649253,-1.654237,-1.2141385,-1.4332342,0.2190957
38,1.057129,1.0787004,"('untruthful', 'truthful')",1.098184,1.0320506,1.0776565,1.0553756,0.0222809
5,-1.0543946,-1.5189526,"('distant', 'outgoing')",-1.3337088,-1.8588965,-1.1940517,-1.6889246,0.4948729
63,0.98093694,0.8263118,"('unperceptive', 'insightful')",2.0341282,2.0122912,1.5075326,1.4193015,0.0882311
61,0.9806878,0.28468457,"('illogical', 'logical')",0.89632875,0.7239098,0.9385083,0.5042972,0.4342111
54,-0.9792676,-0.95581895,"('incapable', 'capable')",0.456075,0.19479208,-0.2615963,-0.3805134,0.1189171
85,-0.96234334,-0.24750704,"('insignificant', 'prestigious')",-1.5626312,-2.0672467,-1.2624873,-1.1573769,-0.1051104
50,-0.9514776,-0.98636454,"('clumsy', 'skillful')",-0.5156614,-0.6743952,-0.7335695,-0.8303798,0.0968103
48,0.9360028,0.5936023,"('unintelligent', 'intelligent')",0.9494168,0.6685705,0.9427098,0.6310864,0.3116234
41,0.89480823,1.3488559,"('unforgiving', 'forgiving')",0.13974577,0.3471527,0.517277,0.8480043,-0.3307273
40,0.86540264,0.58301705,"('stingy', 'generous')",-2.0868251,-2.3717732,-0.6107112,-0.8943781,0.2836669
70,0.8586806,1.0057775,"('lethargic', 'energetic')",1.1220526,1.4832541,0.9903666,1.2445158,-0.2541492
22,0.8504614,0.68165755,"('untrustworthy', 'trustworthy')",0.23166446,0.66223586,0.541063,0.6719467,-0.1308837
78,-0.8136143,-0.51692927,"('nonresilient', 'resilient')",0.40595967,0.10568811,-0.2038273,-0.2056206,0.0017933
58,-0.81166166,-0.761796,"('undiscriminating', 'discriminating')",0.07404809,-0.015709486,-0.3688068,-0.3887527,0.0199459
33,0.79181755,0.157693,"('wrong', 'right')",-0.28548554,-0.7750504,0.253166,-0.3086787,0.5618447
0,0.78851944,0.47674015,"('unsociable', 'sociable')",0.7378066,0.85941225,0.763163,0.6680762,0.0950868
47,0.7859109,0.5844135,"('stupid', 'smart')",5.0255613,5.0093055,2.9057362,2.7968595,0.1088767
46,0.77866584,0.76117957,"('uncompetitive', 'competitive')",1.3294014,1.4521395,1.0540336,1.1066595,-0.0526259
