,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.6808515,-2.6281734,"('unfriendly', 'friendly')",1.500454,0.96822685,-0.5901988,-0.8299732,0.2397744
9,-2.637772,-2.5571568,"('unaffectionate', 'caring')",0.6012687,0.30800882,-1.0182517,-1.1245739,0.1063222
8,-2.5654256,-2.528407,"('unaffectionate', 'affectionate')",0.07132049,-0.25908378,-1.2470526,-1.3937454,0.1466928
86,-2.023429,-1.9983684,"('uninfluential', 'influential')",-0.19441992,-0.41875672,-1.1089244,-1.2085626,0.0996382
6,-1.7824651,-1.8480915,"('distant', 'open')",-0.22161293,-0.5541234,-1.002039,-1.2011075,0.1990685
31,-1.6638651,-1.6926976,"('evil', 'good')",-1.4607989,-1.6933995,-1.5623319,-1.6930486,0.1307167
85,-1.6231565,-1.2665378,"('insignificant', 'prestigious')",0.039531946,-0.0047193356,-0.7918123,-0.6356286,-0.1561837
53,-1.6187335,-1.3938808,"('uncreative', 'creative')",0.6568574,0.4500512,-0.4809381,-0.4719148,-0.0090233
38,-1.52435,-1.4037297,"('untruthful', 'truthful')",0.15049426,0.20176555,-0.6869279,-0.6009821,-0.0859458
5,-1.4845783,-1.4975009,"('distant', 'outgoing')",-0.48085073,-0.6590836,-0.9827145,-1.0782923,0.0955778
12,-1.4272321,-1.2409383,"('unsupportive', 'supportive')",-1.6038057,-1.7057527,-1.5155189,-1.4733455,-0.0421734
0,-1.3668897,-1.2578928,"('unsociable', 'sociable')",-0.1964054,-0.20202774,-0.7816476,-0.7299603,-0.0516873
81,1.3592064,1.4910377,"('submissive', 'aggressive')",-0.01419083,0.3391501,0.6725078,0.9150939,-0.2425861
44,1.3280445,1.3603646,"('prejudiced', 'unprejudiced')",-1.6025566,-1.2954504,-0.137256,0.0324571,-0.1697131
36,-1.3082422,-1.3967258,"('hostile', 'amicable')",-0.35509983,-0.73161185,-0.831671,-1.0641688,0.2324978
19,-1.2949761,-1.3697702,"('inhospitable', 'hospitable')",-0.27703202,-0.5456073,-0.7860041,-0.9576887,0.1716846
80,1.2256627,1.3535954,"('dominated', 'dominating')",-1.2474356,-0.928607,-0.0108864,0.2124942,-0.2233806
79,-1.171029,-1.0200977,"('wavering', 'unwavering')",-0.34760162,-0.3442301,-0.7593153,-0.6821639,-0.0771514
76,1.1589401,1.1698256,"('anxious', 'daring')",0.49373358,0.67506933,0.8263369,0.9224474,-0.0961105
71,-1.1443322,-0.98791754,"('diffident', 'self-confident')",0.19170323,0.15749672,-0.4763145,-0.4152104,-0.0611041
23,-1.0600809,-0.9744198,"('insincere', 'sincere')",5.456207,5.3215346,2.1980629,2.1735575,0.0245054
10,-1.0294505,-1.0214016,"('unsympathetic', 'sympathetic')",-0.17500067,-0.21243171,-0.6022256,-0.6169167,0.0146911
58,-1.0209614,-1.0714612,"('undiscriminating', 'discriminating')",0.012729133,-0.24262924,-0.5041161,-0.6570452,0.1529291
78,-1.009456,-0.8277457,"('nonresilient', 'resilient')",0.52864647,0.49805844,-0.2404048,-0.1648436,-0.0755612
26,-0.9850718,-0.91053885,"('hardhearted', 'benevolent')",1.344958,1.1639996,0.1799431,0.1267304,0.0532127
43,-0.96691763,-0.86185247,"('irresponsible', 'responsible')",0.4438783,0.4619233,-0.2615197,-0.1999646,-0.0615551
73,0.9509151,0.975468,"('helpless', 'self-reliant')",-2.7453287,-2.9403899,-0.8972068,-0.982461,0.0852542
28,-0.94059384,-0.88126546,"('disloyal', 'loyal')",0.65556705,0.5733183,-0.1425134,-0.1539736,0.0114602
63,-0.9385855,-0.77562255,"('unperceptive', 'insightful')",1.3024013,0.9628131,0.1819079,0.0935953,0.0883126
72,-0.88727826,-0.98472244,"('unambitious', 'ambitious')",-1.0116547,-1.189189,-0.9494665,-1.0869557,0.1374892
60,0.8802914,0.90538543,"('inefficient', 'efficient')",0.6904725,0.826433,0.7853819,0.8659092,-0.0805273
42,0.79014194,0.88346696,"('unreliable', 'reliable')",-2.938597,-2.8909214,-1.0742276,-1.0037272,-0.0705004
