,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
73,2.088364,2.214769,"('helpless', 'self-reliant')",-2.8954444,-2.9574451,-0.4035403,-0.3713381,-0.0322022
86,-1.9797548,-1.7463498,"('uninfluential', 'influential')",-0.37110478,-0.111402124,-1.1754298,-0.928876,-0.2465538
1,-1.8859568,-1.9017668,"('unfriendly', 'friendly')",1.5179423,1.2860609,-0.1840072,-0.3078529,0.1238457
31,-1.7624642,-1.6443292,"('evil', 'good')",-0.91526675,-1.2446725,-1.3388655,-1.4445009,0.1056354
53,-1.3198037,-1.3332067,"('uncreative', 'creative')",0.32452968,0.3900515,-0.497637,-0.4715776,-0.0260594
8,-1.3063726,-1.2025101,"('unaffectionate', 'affectionate')",0.80498993,0.714529,-0.2506914,-0.2439906,-0.0067008
36,-1.2918816,-1.3300546,"('hostile', 'amicable')",-0.20493679,-0.6465156,-0.7484092,-0.9882851,0.2398759
27,-1.2005023,-1.0401174,"('hardhearted', 'softhearted')",1.2269484,1.1741195,0.0132231,0.067001,-0.0537779
0,-1.1976441,-1.0527532,"('unsociable', 'sociable')",-0.20322159,0.094182424,-0.7004328,-0.4792854,-0.2211474
76,1.1810327,1.1219996,"('anxious', 'daring')",-0.15723953,0.18247136,0.5118966,0.6522355,-0.1403389
9,-1.1202497,-0.81458867,"('unaffectionate', 'caring')",1.3275443,1.3981832,0.1036473,0.2917973,-0.18815
57,-1.1085927,-0.9183228,"('unimaginative', 'imaginative')",-3.0556424,-2.9431076,-2.0821176,-1.9307152,-0.1514024
6,-1.0512114,-1.0652289,"('distant', 'open')",-0.39223516,-0.6175172,-0.7217233,-0.8413731,0.1196498
48,-1.0444616,-0.9749726,"('unintelligent', 'intelligent')",0.62811977,0.8855719,-0.2081709,-0.0447004,-0.1634705
44,0.9396493,0.72834206,"('prejudiced', 'unprejudiced')",-1.6398463,-1.6408535,-0.3500985,-0.4562557,0.1061572
26,-0.923347,-0.6746082,"('hardhearted', 'benevolent')",1.6208596,1.4080158,0.3487563,0.3667038,-0.0179475
42,0.91296077,0.92072266,"('unreliable', 'reliable')",-2.9927742,-2.8821063,-1.0399067,-0.9806918,-0.0592149
28,-0.9004994,-0.6242717,"('disloyal', 'loyal')",0.9036794,1.2655257,0.00159,0.320627,-0.319037
10,-0.9001356,-0.58782655,"('unsympathetic', 'sympathetic')",-0.46056414,0.07215534,-0.6803498,-0.2578356,-0.4225142
85,-0.89764684,-0.77890503,"('insignificant', 'prestigious')",-0.529476,-0.89860994,-0.7135614,-0.8387575,0.1251961
