,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,2.4298167,2.438917,"('insignificant', 'prestigious')",-0.26405677,-0.4015602,1.08288,1.0186784,0.0642016
26,2.1333091,2.397344,"('hardhearted', 'benevolent')",1.5166674,1.5663106,1.8249882,1.9818274,-0.1568392
12,1.9247574,1.6245129,"('unsupportive', 'supportive')",-0.4991635,-0.6848834,0.7127969,0.4698147,0.2429822
9,1.8955662,1.7146683,"('unaffectionate', 'caring')",2.141374,1.9873025,2.0184703,1.8509854,0.1674849
71,1.872101,1.919591,"('diffident', 'self-confident')",1.4293799,1.4276979,1.6507404,1.6736444,-0.022904
2,1.6109483,1.8042027,"('unlikable', 'likable')",0.6896473,0.68108094,1.1502979,1.2426418,-0.0923439
34,1.583113,1.4208114,"('mean', 'honorable')",5.1504893,5.2263327,3.3668013,3.3235722,0.0432291
73,1.546065,1.3386581,"('helpless', 'self-reliant')",-3.216785,-3.4205525,-0.83536,-1.0409472,0.2055872
39,1.3837801,1.2764037,"('exploitative', 'cooperative')",0.68318504,0.65999967,1.0334826,0.9682016,0.065281
82,-1.3330789,-1.1328088,"('poor', 'rich')",6.166826,6.300253,2.4168735,2.5837221,-0.1668486
27,1.262697,1.006116,"('hardhearted', 'softhearted')",1.0333182,0.8869674,1.1480076,0.9465417,0.2014659
33,1.2484226,1.0571157,"('wrong', 'right')",0.33292425,0.16310282,0.7906734,0.6101093,0.1805641
30,1.2105824,1.4656354,"('intolerant', 'tolerant')",1.4857059,1.8040473,1.3481441,1.6348414,-0.2866973
22,-1.1682209,-1.0463132,"('untrustworthy', 'trustworthy')",-0.7991185,-0.77949554,-0.9836697,-0.9129044,-0.0707653
66,1.1678119,0.96053535,"('inactive', 'active')",0.6028991,0.42710796,0.8853555,0.6938217,0.1915338
44,-1.1562091,-1.1331688,"('prejudiced', 'unprejudiced')",-1.0569456,-1.1927857,-1.1065774,-1.1629772,0.0563998
43,1.1513277,1.0364991,"('irresponsible', 'responsible')",1.8876525,1.9208435,1.5194901,1.4786713,0.0408188
45,-1.1488893,-1.0181451,"('incompetent', 'competent')",0.57386553,0.6222374,-0.2875119,-0.1979539,-0.089558
