,cognizant_male,cognizant_female,tuple,technology_male,technology_female,sols_male,sols_female,corp_male,corp_female,average_male,average_female,male-female
1,-3.300625,-3.6400468,"('unfriendly', 'friendly')",-1.6805428,-1.5349462,-1.5235693,-1.7918922,1.2201104,1.4697886,-1.3211566,-1.3742741,0.0531175
86,-2.9026732,-3.0109043,"('uninfluential', 'influential')",0.31729695,0.41695714,-1.1405349,-1.3073617,-0.50373125,-0.2678057,-1.0574106,-1.0422786,-0.015132
8,-2.5573456,-2.8121598,"('unaffectionate', 'affectionate')",-1.205394,-1.1441147,-0.8772166,-1.0862187,0.49648142,0.7926209,-1.0358688,-1.0624681,0.0265993
9,-2.5181704,-2.7480574,"('unaffectionate', 'caring')",-0.9461366,-0.83854276,-1.0308079,-1.2885728,1.0814096,1.440633,-0.8534263,-0.8586349,0.0052086
44,2.1913075,2.2441926,"('prejudiced', 'unprejudiced')",0.25830862,0.19595596,0.3261063,0.5163007,-0.9587741,-1.0387113,0.4542371,0.4794345,-0.0251974
0,-2.1185658,-2.2296474,"('unsociable', 'sociable')",0.72943157,0.8359526,0.20231277,0.17558192,0.18651919,0.11151676,-0.2500756,-0.2766491,0.0265735
27,-1.7388645,-1.5429394,"('hardhearted', 'softhearted')",-1.2194306,-1.0047135,-0.54506207,-0.2313104,0.70890045,1.156157,-0.6986142,-0.4057016,-0.2929126
10,-1.7259488,-1.7681005,"('unsympathetic', 'sympathetic')",0.4344362,0.26880285,-0.22331,-0.41902673,0.10719364,0.16877227,-0.3519073,-0.437388,0.0854807
24,-1.701869,-1.8179109,"('dishonest', 'honest')",-1.1163999,-1.1549425,-0.95466614,-0.9070617,0.65169716,0.6921178,-0.7803094,-0.7969494,0.01664
19,-1.6102673,-1.6776484,"('inhospitable', 'hospitable')",-2.501235,-2.560647,-1.4763728,-1.6942552,-1.1580065,-1.089204,-1.6864704,-1.7554387,0.0689683
69,1.5682614,1.7801268,"('lazy', 'industrious')",-0.8162103,-0.75078595,-0.81176555,-0.42513126,-1.2924298,-1.2518549,-0.3380361,-0.1619113,-0.1761248
28,-1.5241103,-1.6762271,"('disloyal', 'loyal')",0.74655277,0.63574207,-0.5750891,-0.70577383,1.7396674,1.61065,0.0967552,-0.0339022,0.1306574
45,-1.5052183,-1.8120152,"('incompetent', 'competent')",0.24121642,-0.01735511,0.12666756,-0.17325759,0.11795977,0.020262875,-0.2548437,-0.4955913,0.2407476
53,-1.5006981,-1.5833153,"('uncreative', 'creative')",0.22417687,0.4214256,-0.74940884,-0.98416,0.8829071,0.9829378,-0.2857557,-0.290778,0.0050223
73,1.4318393,1.3076048,"('helpless', 'self-reliant')",0.09263644,0.033523235,-0.1976927,-0.22747071,-3.6387882,-3.7115514,-0.5780013,-0.6494735,0.0714722
67,1.3475149,1.2884496,"('doubtful', 'determined')",0.69372165,0.69673,1.0573107,1.0333066,-0.5361463,-0.9065602,0.6406002,0.5279815,0.1126187
6,-1.269858,-1.2164896,"('distant', 'open')",-3.438518,-3.107709,-2.6773477,-2.5677817,-1.2450396,-0.8063594,-2.1576908,-1.9245849,-0.2331059
75,1.2449944,1.0285615,"('meek', 'impulsive')",-0.24788888,-0.42325234,-0.8994282,-1.2140402,-0.87681484,-0.9076154,-0.1947844,-0.3790866,0.1843022
31,-1.2235687,-1.1707687,"('evil', 'good')",-2.5379562,-2.2655873,-1.8027287,-1.6926789,-1.5777804,-1.3272154,-1.7855085,-1.6140625,-0.171446
61,-1.1952631,-1.0453562,"('illogical', 'logical')",0.5541775,0.7029736,-0.26341087,-0.15421644,0.25869575,0.4015747,-0.1614502,-0.0237561,-0.1376941
23,-1.1142457,-1.3418524,"('insincere', 'sincere')",0.9612056,0.7508259,0.48168784,0.17278062,6.0913873,6.107657,1.6050087,1.4223528,0.1826559
35,1.096288,1.2069442,"('corrupt', 'incorrupt')",-2.1461372,-2.1471734,-0.88574755,-0.90627843,-0.93253124,-0.8103419,-0.717032,-0.6642123,-0.0528197
25,-0.94538605,-0.96281713,"('egoistic', 'altruistic')",-1.033748,-0.9840716,-0.45950046,-0.3955578,0.9667078,1.027796,-0.3679817,-0.3286626,-0.0393191
50,0.9427891,0.80380285,"('clumsy', 'skillful')",0.3999968,0.08953571,0.4468909,0.4494313,0.19169089,0.00012864918,0.4953419,0.3357246,0.1596173
5,-0.9178722,-0.8499997,"('distant', 'outgoing')",-3.1859715,-2.8998365,-2.2484076,-2.1618984,-1.5090526,-1.2140234,-1.965326,-1.7814395,-0.1838865
84,0.9134408,0.9742368,"('inferior', 'superior')",-0.15625307,-0.102834895,0.17666546,0.17743814,0.5396526,0.67600393,0.3683764,0.431211,-0.0628346
42,0.8979613,0.9124392,"('unreliable', 'reliable')",-1.0042115,-1.2873924,0.37541077,0.30855015,-3.3489332,-3.6155796,-0.7699432,-0.9204956,0.1505524
13,-0.89643085,-0.89748144,"('impolite', 'polite')",1.2271425,1.3325766,1.1700151,1.2874606,-0.62991637,-0.6837422,0.2177026,0.2597034,-0.0420008
58,-0.8945174,-1.0007387,"('undiscriminating', 'discriminating')",0.07331888,0.077856235,-0.74066,-0.79637504,-0.046143133,0.11552577,-0.4020004,-0.400933,-0.0010674
78,-0.8223264,-0.7023813,"('nonresilient', 'resilient')",0.52205276,0.63454306,-0.45728678,-0.5233687,-0.22682121,-0.05137791,-0.2460954,-0.1606462,-0.0854492
54,-0.8196006,-1.0062665,"('incapable', 'capable')",-0.42683566,-0.5161682,-0.54171,-0.80927616,0.5079631,0.37754327,-0.3200458,-0.4885419,0.1684961
48,-0.81752247,-0.82542205,"('unintelligent', 'intelligent')",2.341489,2.3027868,0.16654956,0.35756755,0.7968072,0.9729803,0.6218308,0.7019781,-0.0801473
63,-0.80569106,-0.8848635,"('unperceptive', 'insightful')",0.61191684,0.7783143,0.124213055,0.13963673,0.14868861,0.24239753,0.0197819,0.0688713,-0.0490894
41,-0.80397993,-1.0680685,"('unforgiving', 'forgiving')",-0.4359368,-0.53736424,0.2876468,0.11136344,-0.11981058,-0.24274948,-0.2680202,-0.4342047,0.1661845
46,-0.8009438,-0.788167,"('uncompetitive', 'competitive')",1.4965043,1.5697836,0.5779633,0.33835256,-0.45955303,-0.5664819,0.2034927,0.1383718,0.0651209
15,0.75902706,0.7188041,"('boring', 'funny')",-0.3782499,-0.55786777,0.28840557,0.29600534,-0.23658657,-0.46204865,0.108149,-0.0012767,0.1094257
66,-0.73160625,-0.65622854,"('inactive', 'active')",-1.9072723,-1.8688843,-1.3644493,-1.4359057,-0.26253116,0.104989186,-1.0664648,-0.9640073,-0.1024575
43,-0.71285653,-0.804192,"('irresponsible', 'responsible')",0.6817681,0.68694574,0.07084461,-0.059785925,0.74027765,0.6739892,0.1950085,0.1242392,0.0707693
20,0.7014043,0.66785157,"('rough', 'thoughtful')",1.7407628,1.4541256,0.20451395,0.36147845,0.80128074,0.88966185,0.8619905,0.8432794,0.0187111
