,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.817149,-2.994039,"('unfriendly', 'friendly')",0.26097283,0.35817212,1.0893731,1.0560405,-0.4889344,-0.5266088,0.0376744
0,-2.2640567,-1.8145185,"('unsociable', 'sociable')",0.40687692,0.4535202,0.044937175,0.01582078,-0.6040809,-0.4483925,-0.1556884
57,-2.2479641,-1.680907,"('unimaginative', 'imaginative')",-0.7598533,-0.48868418,-3.3406415,-3.316043,-2.1161531,-1.8285446,-0.2876085
86,-2.1694562,-1.6477294,"('uninfluential', 'influential')",-0.0062975213,0.13424075,-0.18000731,-0.20314708,-0.7852537,-0.5722119,-0.2130418
45,-2.000899,-1.599789,"('incompetent', 'competent')",0.18881108,0.16648477,-0.07987523,-0.050080057,-0.6306544,-0.4944615,-0.1361929
26,-1.6534241,-1.4807931,"('hardhearted', 'benevolent')",0.88919604,1.1980684,0.7812722,0.9516179,0.0056814,0.2229644,-0.217283
43,-1.6050557,-0.753583,"('irresponsible', 'responsible')",0.6885386,1.1298957,0.042579196,0.54708564,-0.2913126,0.3077994,-0.599112
58,-1.5635793,-1.3558612,"('undiscriminating', 'discriminating')",-0.8563577,-0.7889253,-0.19168323,-0.2369055,-0.8705401,-0.7938973,-0.0766428
10,-1.5484971,-0.8207514,"('unsympathetic', 'sympathetic')",-0.75384897,-0.34884602,-0.26645017,-0.05869884,-0.8562654,-0.4094321,-0.4468333
53,-1.5423213,-1.4862053,"('uncreative', 'creative')",-0.55357003,-0.3254158,0.34550095,0.28197393,-0.5834635,-0.5098824,-0.0735811
8,-1.4346764,-1.5813568,"('unaffectionate', 'affectionate')",-0.07523874,-0.049384892,0.079541914,0.12248538,-0.4767911,-0.5027521,0.025961
24,-1.4307932,-1.1163007,"('dishonest', 'honest')",0.018343374,0.008952446,0.9941045,0.9106317,-0.1394484,-0.0655722,-0.0738762
23,-1.4182085,-0.99814385,"('insincere', 'sincere')",0.494158,0.64472884,5.8512425,6.0260067,1.6423974,1.8908639,-0.2484665
