,baker_male,baker_female,tuple,hughes_male,hughes_female,co_male,co_female,average_male,average_female,male-female
31,-1.7478242,-2.117438,"('evil', 'good')",0.90556073,0.82539773,-1.4659654,-1.3813093,-0.7694097,-0.8911165,0.1217068
44,-1.3336697,-1.2529007,"('prejudiced', 'unprejudiced')",-1.5060252,-1.1306725,-2.0735817,-1.8426448,-1.6377589,-1.4087392,-0.2290197
22,-1.2336771,-0.941752,"('untrustworthy', 'trustworthy')",-1.4842267,-1.5044852,-1.2763666,-1.0909055,-1.3314234,-1.1790476,-0.1523758
37,1.2288767,1.163083,"('fake', 'genuine')",0.11896251,-0.01330021,0.7276379,0.68574524,0.6918257,0.6118427,0.079983
18,-1.2203321,-1.3701047,"('disagreeable', 'welcoming')",-0.16301706,-0.022655584,-1.2591861,-1.2386384,-0.8808451,-0.8771329,-0.0037122
82,-1.1031073,-0.7866916,"('poor', 'rich')",-1.6301397,-1.6963532,4.601644,4.95165,0.622799,0.8228684,-0.2000694
46,1.0631961,1.3451557,"('uncompetitive', 'competitive')",-0.35087523,-0.49802786,-0.23478606,-0.26748505,0.1591782,0.1932143,-0.0340361
60,1.0371374,1.6632569,"('inefficient', 'efficient')",-1.1367743,-0.85249346,0.17805707,0.46293497,0.0261401,0.4245661,-0.398426
6,-1.0065199,-1.3858685,"('distant', 'open')",0.7260444,0.6971905,-0.6296313,-0.5868088,-0.3033689,-0.4251623,0.1217934
51,0.99188024,1.2575592,"('uneducated', 'educated')",-0.2794464,-0.43458524,0.8498499,0.80258745,0.5207613,0.5418538,-0.0210925
21,0.9806787,1.303466,"('immoral', 'moral')",-0.54816866,-0.7412064,-0.961649,-0.94579977,-0.1763797,-0.1278467,-0.048533
7,0.9643281,1.4088516,"('insensitive', 'sensitive')",-0.5371603,-0.36938602,0.36703524,0.39921775,0.2647343,0.4795611,-0.2148268
65,-0.9629285,-0.5507183,"('insecure', 'secure')",-1.4167912,-1.26365,-0.02030693,0.17807087,-0.8000089,-0.5454324,-0.2545765
8,-0.9586006,-1.783959,"('unaffectionate', 'affectionate')",1.8663265,1.5386454,0.6069051,0.39135927,0.504877,0.0486819,0.4561951
45,-0.86275685,-0.40405694,"('incompetent', 'competent')",-1.1795568,-1.1501452,-0.40398693,-0.30118152,-0.8154335,-0.6184612,-0.1969723
75,-0.8510202,-0.88283205,"('meek', 'impulsive')",-0.19780824,-0.063072026,-0.81245494,-0.67907494,-0.6204278,-0.5416597,-0.0787681
74,0.847104,0.8225214,"('undedicated', 'dedicated')",1.0726955,0.96396005,0.3880448,0.41159827,0.7692815,0.7326932,0.0365883
24,-0.8336832,-0.8102202,"('dishonest', 'honest')",-0.703088,-0.52694285,0.55090976,0.800739,-0.3286205,-0.178808,-0.1498125
17,0.80326384,0.82445955,"('nasty', 'nice')",-0.33156094,-0.3050403,-0.06025604,-0.16966167,0.137149,0.1165859,0.0205631
19,0.80236363,0.5021765,"('inhospitable', 'hospitable')",1.7212112,1.5039935,0.13146442,0.05650869,0.8850131,0.6875596,0.1974535
9,0.7974045,0.32662088,"('unaffectionate', 'caring')",2.3070579,2.0334156,1.2507049,1.0822803,1.4517225,1.1474388,0.3042837
23,0.79391295,1.050443,"('insincere', 'sincere')",-0.7158166,-0.61117107,5.6473713,5.639174,1.9084892,2.0261486,-0.1176594
5,-0.78928566,-1.1953061,"('distant', 'outgoing')",0.8355153,0.7710037,-0.9207143,-0.85141975,-0.2914949,-0.4252407,0.1337458
