,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,1.9382068,1.8425467,"('diffident', 'self-confident')",0.31046608,0.42904812,0.7872536,0.7776831,0.46429628,0.34319732,0.8750557,0.8481188,0.0269369
56,1.7631735,1.7931975,"('impractical', 'practical')",-0.8018349,-0.5188384,0.09955551,0.14556052,0.11875667,0.0008885097,0.2949127,0.355202,-0.0602893
2,1.7396345,1.7263144,"('unlikable', 'likable')",1.0766753,1.2117654,1.583979,1.6829377,0.9815716,0.9273192,1.3454652,1.3870841,-0.0416189
62,1.7051065,1.8224714,"('incompetent', 'brilliant')",-0.5453053,-0.507377,0.18274046,0.13742,1.0283241,0.7731768,0.5927165,0.5564228,0.0362937
32,1.6628685,1.8433714,"('unkind', 'kind')",0.23695424,0.3559547,-0.07412169,0.0023327582,0.96157515,1.0551239,0.6968191,0.8141956,-0.1173765
9,1.64038,1.5289863,"('unaffectionate', 'caring')",-0.9183341,-0.9067988,0.48049474,0.37585133,1.3955399,1.3187182,0.6495202,0.5791893,0.0703309
34,1.5991633,1.4910796,"('mean', 'honorable')",-0.5771444,-0.49711013,-0.8399512,-0.84330297,5.648241,5.75119,1.4575772,1.4754641,-0.0178869
23,1.5289488,1.5263027,"('insincere', 'sincere')",-1.4650853,-1.5382202,-0.45664266,-0.52682525,6.4887066,6.45307,1.5239818,1.4785819,0.0453999
83,1.4734912,1.5337069,"('powerless', 'powerful')",0.5459423,0.69921505,-0.42558622,-0.47365054,-0.5657357,-0.58810276,0.2570279,0.2927922,-0.0357643
35,-1.415388,-1.4332191,"('corrupt', 'incorrupt')",0.05780691,0.17631516,0.4034652,0.36558652,-0.95315254,-0.65112996,-0.4768171,-0.3856118,-0.0912053
63,1.3399075,1.3516045,"('unperceptive', 'insightful')",0.07368176,-0.16187716,0.7622532,0.57582533,0.7233027,0.4499307,0.7247863,0.5538709,0.1709154
68,-1.3085597,-1.4095863,"('dependent', 'independent')",0.39980766,0.25392607,0.42097834,0.299835,-1.0143455,-1.0027627,-0.3755298,-0.464647,0.0891172
31,-1.3079867,-1.251546,"('evil', 'good')",0.6186647,0.6888518,0.4139126,0.5251011,-1.2208194,-1.174078,-0.3740572,-0.3029178,-0.0711394
37,-1.2746117,-1.3159336,"('fake', 'genuine')",-0.9128837,-1.075248,-0.977435,-1.0662245,-0.10792963,-0.1341434,-0.818215,-0.8978873,0.0796723
13,1.266813,1.2846519,"('impolite', 'polite')",-0.72923577,-0.5901401,0.02610867,0.05208858,-0.339191,-0.3744096,0.0561237,0.0930477,-0.036924
12,1.2573426,1.4977427,"('unsupportive', 'supportive')",-0.05203554,0.19127804,0.3028106,0.42030045,-1.9482688,-2.0930932,-0.1100378,0.004057,-0.1140948
14,1.2386783,1.3828354,"('antisocial', 'social')",-0.17924967,0.14811893,-0.12633622,-0.05898281,-0.28859922,-0.35886475,0.1611233,0.2782767,-0.1171534
