,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.555115,-2.705327,"('unsympathetic', 'sympathetic')",-3.6053443,-3.5757446,-0.75755835,-0.73672426,-2.306006,-2.3392653,0.0332593
43,-1.9571573,-2.026079,"('irresponsible', 'responsible')",-3.272478,-3.1986806,-0.15948942,-0.012543302,-1.796375,-1.7457676,-0.0506074
45,-1.7733444,-2.0577488,"('incompetent', 'competent')",-2.6844296,-2.721251,-0.64215505,-0.5990329,-1.6999764,-1.7926776,0.0927012
69,1.6991897,1.7162817,"('lazy', 'industrious')",2.9056633,2.929741,-0.13215652,-0.093932316,1.4908988,1.5173635,-0.0264647
13,-1.6712048,-1.3528337,"('impolite', 'polite')",-2.795753,-2.5335932,-1.3781269,-1.0896386,-1.9483617,-1.6586885,-0.2896732
82,-1.6411725,-1.6736612,"('poor', 'rich')",-2.0125132,-1.8690531,5.282468,5.4522448,0.5429274,0.6365101,-0.0935827
33,1.6134783,1.629334,"('wrong', 'right')",1.9495416,2.0492337,-0.37866032,-0.48663655,1.0614532,1.063977,-0.0025238
0,-1.6010263,-1.6299338,"('unsociable', 'sociable')",-2.127114,-2.0812624,-0.5753537,-0.5689402,-1.434498,-1.4267122,-0.0077858
30,-1.5993748,-1.4727465,"('intolerant', 'tolerant')",-1.9720829,-1.807719,0.050171472,0.35804862,-1.1737621,-0.974139,-0.1996231
70,-1.511695,-1.6237822,"('lethargic', 'energetic')",-2.1094077,-2.172972,-0.47770593,-0.4172464,-1.3662696,-1.4046669,0.0383973
46,-1.4630909,-1.6214815,"('uncompetitive', 'competitive')",-2.848585,-2.9611487,-1.2185476,-1.1457876,-1.8434079,-1.9094726,0.0660647
63,-1.451882,-1.5669013,"('unperceptive', 'insightful')",-2.1269317,-2.0551257,0.24325089,0.22976126,-1.1118542,-1.1307552,0.018901
56,-1.4188255,-1.383368,"('impractical', 'practical')",-1.6061814,-1.552049,-1.2134376,-0.9867769,-1.4128148,-1.307398,-0.1054168
76,-1.3947489,-1.400349,"('anxious', 'daring')",-1.6911479,-1.7217666,-0.8662579,-0.83653057,-1.317385,-1.3195488,0.0021638
