,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
81,-2.932137,-2.6088622,"('submissive', 'aggressive')",-0.71892226,-0.3390766,-1.243878,-0.9832381,-1.6316457,-1.3103922,-0.3212535
10,-2.7264006,-2.581681,"('unsympathetic', 'sympathetic')",-1.4829485,-1.239795,-0.99470115,-0.82544833,-1.7346834,-1.5489748,-0.1857086
85,2.572793,2.4165962,"('insignificant', 'prestigious')",0.0876151,-0.09933439,1.1645379,0.854254,1.274982,1.0571719,0.2178101
11,-2.418018,-2.0853522,"('unhelpful', 'helpful')",-0.59284127,-0.29001054,1.0417038,1.2339312,-0.6563852,-0.3804772,-0.275908
69,2.3039463,2.1815395,"('lazy', 'industrious')",2.102071,1.9071993,-0.00044557452,-0.22252788,1.468524,1.288737,0.179787
14,-2.2801661,-2.1066687,"('antisocial', 'social')",0.039671008,0.13894,-1.0301719,-1.0285684,-1.0902224,-0.9987657,-0.0914567
35,2.1155853,1.8262608,"('corrupt', 'incorrupt')",0.073560774,-0.25847405,0.3850019,-0.01860707,0.8580493,0.5163932,0.3416561
57,-2.1104066,-2.146927,"('unimaginative', 'imaginative')",-0.79336107,-0.90187746,-2.7267752,-2.7703269,-1.8768476,-1.9397105,0.0628629
70,-2.108396,-1.893943,"('lethargic', 'energetic')",-0.33688572,-0.068422794,0.04328513,0.35065258,-0.8006655,-0.5372377,-0.2634278
65,-2.1038728,-2.0176249,"('insecure', 'secure')",-0.30278045,-0.32454246,-0.7408552,-0.62934965,-1.0491695,-0.9905057,-0.0586638
86,-2.0882535,-2.091173,"('uninfluential', 'influential')",-0.9440168,-0.81923205,-0.51420414,-0.56978047,-1.1821582,-1.1600618,-0.0220964
45,-2.054853,-1.8448067,"('incompetent', 'competent')",-0.49322295,-0.36894998,-0.73332644,-0.68464553,-1.0938008,-0.9661341,-0.1276667
21,-2.0479698,-1.8039161,"('immoral', 'moral')",-0.6407209,-0.31064394,-1.297541,-1.1196696,-1.3287439,-1.0780765,-0.2506674
60,-2.0254502,-1.6789063,"('inefficient', 'efficient')",0.24071828,0.5343555,-0.5641492,-0.20423847,-0.7829604,-0.4495964,-0.333364
73,1.8517625,1.80977,"('helpless', 'self-reliant')",0.50682425,0.5203362,-3.0148528,-2.8500388,-0.2187553,-0.1733108,-0.0454445
23,-1.803835,-1.551413,"('insincere', 'sincere')",-1.2639837,-0.99113065,4.917407,5.006609,0.6165295,0.8213551,-0.2048256
3,-1.768821,-1.6573107,"('repellent', 'pleasant')",-0.3144567,-0.13326639,-0.13535964,0.027192324,-0.7395458,-0.5877949,-0.1517509
51,-1.7007486,-1.3727497,"('uneducated', 'educated')",-0.016276933,0.4418552,0.008522391,0.04874346,-0.569501,-0.2940503,-0.2754507
36,1.6887211,1.3947834,"('hostile', 'amicable')",1.0789609,0.6619505,0.9228129,0.50697774,1.230165,0.8545705,0.3755945
5,1.6502833,1.5973158,"('distant', 'outgoing')",-0.11908055,-0.0951679,0.09149566,-0.053785983,0.5408995,0.4827873,0.0581122
33,1.6115919,1.436104,"('wrong', 'right')",0.9247644,0.6803309,-0.09044482,-0.2676277,0.8153039,0.6162691,0.1990348
71,1.5316335,1.5122821,"('diffident', 'self-confident')",0.79393315,0.62309617,0.60332525,0.45653024,0.9762974,0.8639696,0.1123278
30,-1.4539903,-1.3166815,"('intolerant', 'tolerant')",-0.9217698,-0.70349205,0.5136502,0.5992693,-0.6207033,-0.4736348,-0.1470685
24,-1.4431572,-1.589639,"('dishonest', 'honest')",-1.2291896,-1.3323376,0.27532625,0.29851133,-0.7990069,-0.8744884,0.0754815
6,1.4406704,1.3976283,"('distant', 'open')",-0.067065,-0.06179325,0.7811985,0.6177103,0.7182679,0.6511818,0.0670861
16,1.434833,1.5612657,"('unpopular', 'popular')",0.518845,0.6467871,0.8728949,0.82036,0.942191,1.0094709,-0.0672799
62,-1.4009211,-1.0029409,"('incompetent', 'brilliant')",-0.013785729,0.37309194,-0.46951282,-0.04327605,-0.6280732,-0.224375,-0.4036982
79,1.3867077,1.3760256,"('wavering', 'unwavering')",0.19789979,0.21759114,0.24163827,0.14932455,0.6087486,0.5809804,0.0277682
22,-1.3497219,-1.3286074,"('untrustworthy', 'trustworthy')",-1.1374768,-1.1272076,-1.3971632,-1.4392886,-1.2947873,-1.2983679,0.0035806
55,-1.349411,-1.2314819,"('incompetent', 'clever')",-0.6775498,-0.58890086,-0.25767225,-0.1738116,-0.7615444,-0.6647315,-0.0968129
80,-1.3460908,-1.2612765,"('dominated', 'dominating')",0.20494354,0.31828424,-1.4012549,-1.3717785,-0.8474674,-0.7715902,-0.0758772
72,-1.3419894,-1.1886216,"('unambitious', 'ambitious')",-0.758536,-0.55789673,-1.2360166,-0.98975295,-1.1121807,-0.9120905,-0.2000902
52,1.3364019,1.2457024,"('irrational', 'rational')",-0.77102834,-0.75921756,0.43075648,0.20667255,0.3320434,0.2310525,0.1009909
59,1.3152354,1.1906135,"('foolish', 'wise')",-0.08681458,-0.11447116,0.49708053,0.37052494,0.5751671,0.4822224,0.0929447
63,-1.2909878,-0.91179323,"('unperceptive', 'insightful')",-0.12332038,0.19847722,0.38500866,0.5539254,-0.3430998,-0.0531302,-0.2899696
48,-1.2827034,-1.2944758,"('unintelligent', 'intelligent')",-0.81661576,-0.88792765,0.044982124,0.031752516,-0.684779,-0.7168837,0.0321047
0,-1.2735218,-1.2920077,"('unsociable', 'sociable')",-0.09382825,-0.257029,-0.6544354,-0.7869557,-0.6739284,-0.7786641,0.1047357
7,-1.2287456,-1.1735364,"('insensitive', 'sensitive')",-0.9940033,-0.97408676,0.20248188,0.22635089,-0.6734223,-0.6404241,-0.0329982
46,-1.1994805,-1.1226712,"('uncompetitive', 'competitive')",0.55279803,0.6389698,-0.75045687,-0.67425954,-0.4657131,-0.385987,-0.0797261
43,-1.1465024,-1.0218886,"('irresponsible', 'responsible')",0.023070343,0.20958999,0.031434998,0.23350927,-0.363999,-0.1929298,-0.1710692
82,-1.1316588,-0.81210583,"('poor', 'rich')",-1.344765,-0.97884715,5.7124605,5.9358196,1.0786789,1.3816223,-0.3029434
25,1.1223284,1.1262102,"('egoistic', 'altruistic')",0.65018344,0.6423351,1.7520897,1.700377,1.1748672,1.1563075,0.0185597
41,-1.0302732,-0.96570885,"('unforgiving', 'forgiving')",-0.8155313,-0.76167053,-0.2734788,-0.4205577,-0.7064277,-0.715979,0.0095513
28,-1.0286202,-1.1047292,"('disloyal', 'loyal')",-0.41510862,-0.6877244,0.75324804,0.66013104,-0.2301603,-0.3774408,0.1472805
