,novellus_male,novellus_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.6255966,-1.8501738,"('unsympathetic', 'sympathetic')",-1.3286898,-1.5264441,-0.7214682,-1.011854,-1.2252516,-1.462824,0.2375724
43,-1.437402,-1.5922889,"('irresponsible', 'responsible')",-1.1310028,-1.298854,-0.013676673,-0.2504889,-0.8606938,-1.0472106,0.1865168
45,-1.3038979,-1.2432376,"('incompetent', 'competent')",-0.5991592,-0.57582146,-0.6465728,-0.80716044,-0.8498766,-0.8754065,0.0255299
0,-1.241106,-1.0377887,"('unsociable', 'sociable')",0.085774146,0.040703267,-0.8525408,-0.942958,-0.6692909,-0.6466811,-0.0226098
38,-1.2296622,-1.1288534,"('untruthful', 'truthful')",-1.2683265,-1.1809915,-0.15919054,-0.02890948,-0.8857265,-0.7795848,-0.1061417
74,-1.1353048,-1.16721,"('undedicated', 'dedicated')",0.1344609,0.1316337,-0.14387877,-0.13124877,-0.3815742,-0.3889417,0.0073675
13,-1.1048343,-1.0924114,"('impolite', 'polite')",-0.08988199,-0.13850139,-0.3364876,-0.42698246,-0.5104013,-0.5526318,0.0422305
85,1.0978206,1.293549,"('insignificant', 'prestigious')",0.06602828,0.16057418,0.9174893,1.1109573,0.6937794,0.8550268,-0.1612474
42,-1.0353007,-1.2021406,"('unreliable', 'reliable')",-2.0557187,-2.0870366,-3.3618624,-3.602121,-2.1509606,-2.2970994,0.1461388
86,-1.0081887,-0.9477233,"('uninfluential', 'influential')",-0.33077115,-0.34840143,-0.3997467,-0.4504866,-0.5795689,-0.5822038,0.0026349
28,-1.0039402,-1.0038719,"('disloyal', 'loyal')",-0.55789477,-0.55302906,0.7848823,0.6927911,-0.2589842,-0.2880366,0.0290524
84,0.92433316,0.9176406,"('inferior', 'superior')",0.2824771,0.3773086,1.050469,1.0700315,0.7524265,0.7883269,-0.0359004
70,-0.9024536,-1.2551993,"('lethargic', 'energetic')",-0.92184687,-1.196139,0.47676328,0.1458744,-0.4491791,-0.7684879,0.3193088
39,0.89584744,0.85164356,"('exploitative', 'cooperative')",1.789451,1.7197673,0.4339038,0.35497215,1.039734,0.975461,0.064273
72,-0.89405227,-0.79716694,"('unambitious', 'ambitious')",-1.6602412,-1.53546,-1.0665559,-0.9284147,-1.2069499,-1.0870139,-0.119936
58,-0.88869774,-0.76654875,"('undiscriminating', 'discriminating')",0.24390873,0.35817286,0.028372835,0.04980294,-0.2054721,-0.1195243,-0.0859478
78,-0.796602,-0.8488967,"('nonresilient', 'resilient')",1.4158576,1.1617153,0.49166995,0.38657358,0.3703085,0.2331307,0.1371778
69,0.78369176,1.0248176,"('lazy', 'industrious')",0.10731408,0.27495968,-0.4362248,-0.38838848,0.1515937,0.3037963,-0.1522026
11,-0.77885425,-0.98923653,"('unhelpful', 'helpful')",0.59952784,0.34481558,1.7926395,1.6265872,0.537771,0.3273887,0.2103823
40,0.7764577,0.96105075,"('stingy', 'generous')",-0.14181443,0.11284737,-1.3040339,-1.2879257,-0.2231302,-0.0713425,-0.1517877
56,-0.77228457,-0.77017283,"('impractical', 'practical')",-0.19618092,-0.18555857,-0.8029117,-0.85448974,-0.5904591,-0.6034071,0.012948
57,-0.7665296,-0.75635266,"('unimaginative', 'imaginative')",-0.5631572,-0.5483826,-2.654531,-2.7320235,-1.3280726,-1.3455861,0.0175135
19,-0.76338273,-0.54409695,"('inhospitable', 'hospitable')",-0.9432524,-0.88475925,0.45855963,0.5540069,-0.4160252,-0.2916164,-0.1244088
