,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.9921334,-1.8559164,"('unsympathetic', 'sympathetic')",-1.007639,-0.5492877,-1.4998863,-1.202602,-0.2972843
86,-1.945229,-1.5474461,"('uninfluential', 'influential')",-1.1113956,-0.6040932,-1.5283123,-1.0757697,-0.4525426
11,-1.7740796,-1.746308,"('unhelpful', 'helpful')",1.4233131,1.8067477,-0.1753832,0.0302199,-0.2056031
57,-1.7399658,-1.288182,"('unimaginative', 'imaginative')",-3.2342882,-3.2509882,-2.4871271,-2.2695851,-0.217542
77,-1.6769245,-1.5785255,"('unmotivated', 'motivated')",-1.0038775,-0.95812243,-1.3404009,-1.268324,-0.0720769
0,-1.652328,-1.5476402,"('unsociable', 'sociable')",-0.47935864,-0.41229454,-1.0658433,-0.9799674,-0.0858759
63,-1.5947614,-1.3123242,"('unperceptive', 'insightful')",0.08332709,0.5597819,-0.7557172,-0.3762711,-0.3794461
45,-1.5277698,-1.3344674,"('incompetent', 'competent')",-0.38627625,-0.105877936,-0.957023,-0.7201726,-0.2368504
46,-1.4825543,-1.4057336,"('uncompetitive', 'competitive')",-1.1324704,-0.9653718,-1.3075123,-1.1855527,-0.1219596
23,-1.4536216,-1.6333995,"('insincere', 'sincere')",5.1210337,5.471044,1.833706,1.9188223,-0.0851163
28,-1.4443889,-1.6118813,"('disloyal', 'loyal')",0.52454364,0.6121508,-0.4599226,-0.4998652,0.0399426
55,-1.4182329,-1.1498977,"('incompetent', 'clever')",0.38977778,0.56828374,-0.5142276,-0.290807,-0.2234206
62,-1.3968345,-1.1328539,"('incompetent', 'brilliant')",0.4126149,0.7152258,-0.4921098,-0.208814,-0.2832958
1,-1.3108319,-1.2738122,"('unfriendly', 'friendly')",0.9029012,0.97938377,-0.2039654,-0.1472142,-0.0567512
69,1.2560717,1.3164082,"('lazy', 'industrious')",-0.2968281,-0.61168456,0.4796218,0.3523618,0.12726
60,-1.1996292,-1.0118486,"('inefficient', 'efficient')",0.056110337,0.26962236,-0.5717594,-0.3711131,-0.2006463
53,-1.1652945,-0.9136254,"('uncreative', 'creative')",0.1687847,0.20926309,-0.4982549,-0.3521812,-0.1460737
7,-1.1612539,-1.124067,"('insensitive', 'sensitive')",-0.012486499,0.23299794,-0.5868702,-0.4455345,-0.1413357
38,-1.1256095,-1.1095644,"('untruthful', 'truthful')",-0.17372532,-0.06879811,-0.6496674,-0.5891812,-0.0604862
44,1.1154019,0.9765523,"('prejudiced', 'unprejudiced')",-1.2313806,-1.3916597,-0.0579894,-0.2075537,0.1495643
81,-1.1006805,-1.2377863,"('submissive', 'aggressive')",-0.5611303,-0.4115771,-0.8309054,-0.8246817,-0.0062237
14,-1.068527,-1.2386028,"('antisocial', 'social')",-0.023648806,-0.25309998,-0.5460879,-0.7458514,0.1997635
21,-1.0661045,-1.1387074,"('immoral', 'moral')",-0.5166244,-0.3905712,-0.7913644,-0.7646393,-0.0267251
70,-1.0401018,-0.8013407,"('lethargic', 'energetic')",-0.3485795,0.048033234,-0.6943406,-0.3766537,-0.3176869
73,1.0339533,0.96913487,"('helpless', 'self-reliant')",-2.691459,-2.867907,-0.8287528,-0.9493861,0.1206333
12,-1.0140122,-0.73175603,"('unsupportive', 'supportive')",-2.2314446,-2.0028822,-1.6227283,-1.3673191,-0.2554092
52,1.0076071,0.8666597,"('irrational', 'rational')",0.09611187,-0.09606227,0.5518595,0.3852987,0.1665608
8,-1.0030379,-1.1884223,"('unaffectionate', 'affectionate')",0.12823915,0.21651801,-0.4373994,-0.4859521,0.0485527
35,0.9980299,0.8140566,"('corrupt', 'incorrupt')",-0.50119483,-0.69931585,0.2484175,0.0573704,0.1910471
51,-0.9914556,-0.75597715,"('uneducated', 'educated')",0.40417835,0.55848265,-0.2936386,-0.0987473,-0.1948913
32,-0.9291973,-1.2197101,"('unkind', 'kind')",0.3256612,0.39893296,-0.3017681,-0.4103886,0.1086205
78,-0.91924554,-0.7397823,"('nonresilient', 'resilient')",-0.052704327,0.2306693,-0.4859749,-0.2545565,-0.2314184
22,-0.9143364,-0.79036677,"('untrustworthy', 'trustworthy')",-1.2493747,-0.9313588,-1.0818555,-0.8608628,-0.2209927
9,-0.9028284,-1.1182958,"('unaffectionate', 'caring')",0.63959914,0.81948316,-0.1316146,-0.1494063,0.0177917
