,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,2.4692929,2.0601401,"('hardhearted', 'benevolent')",1.072958,0.7862427,1.7711254,1.4231914,0.347934
50,-1.4801846,-1.5915425,"('clumsy', 'skillful')",0.2773447,0.40549958,-0.6014199,-0.5930215,-0.0083984
54,-1.4372569,-1.5181415,"('incapable', 'capable')",1.0024023,1.2733786,-0.2174273,-0.1223814,-0.0950459
3,-1.4338188,-1.0681405,"('repellent', 'pleasant')",0.21285337,0.28239793,-0.6104827,-0.3928713,-0.2176114
16,-1.3852535,-1.5664713,"('unpopular', 'popular')",0.04753889,0.10740139,-0.6688573,-0.729535,0.0606777
45,-1.3688987,-1.0110155,"('incompetent', 'competent')",0.16365178,0.1176585,-0.6026235,-0.4466785,-0.155945
22,-1.3637012,-1.2125785,"('untrustworthy', 'trustworthy')",-0.7324884,-0.7611506,-1.0480947,-0.9868646,-0.0612301
42,-1.3603103,-1.2086538,"('unreliable', 'reliable')",-3.0204613,-3.1345034,-2.1903858,-2.1715786,-0.0188072
64,-1.2969378,-1.1370814,"('shy', 'confident')",-6.061922,-6.3643246,-3.67943,-3.7507029,0.0712729
29,-1.2842847,-1.2448659,"('unfair', 'fair')",-0.82114697,-0.7488618,-1.0527158,-0.9968638,-0.055852
77,-1.2107636,-0.81512886,"('unmotivated', 'motivated')",-1.2787421,-1.1139024,-1.2447529,-0.9645157,-0.2802372
56,1.0297192,1.4321883,"('impractical', 'practical')",0.58526504,0.6075841,0.8074921,1.0198863,-0.2123942
72,0.98882246,1.3700612,"('unambitious', 'ambitious')",-0.4686438,-0.039206035,0.2600893,0.6654276,-0.4053383
34,0.9349697,1.0682513,"('mean', 'honorable')",5.881442,6.259704,3.408206,3.6639776,-0.2557716
18,-0.92699426,-1.0376939,"('disagreeable', 'welcoming')",-0.24950698,-0.23288336,-0.5882506,-0.6352886,0.047038
31,-0.8888514,-1.0891225,"('evil', 'good')",-1.9448519,-1.7759198,-1.4168516,-1.4325211,0.0156695
82,-0.8808673,-0.59327006,"('poor', 'rich')",5.6339335,6.2421036,2.376533,2.8244166,-0.4478836
51,-0.86360437,-0.75453204,"('uneducated', 'educated')",0.79281056,0.5905576,-0.0353969,-0.0819872,0.0465903
78,-0.860714,-0.5311733,"('nonresilient', 'resilient')",0.053590238,0.20698144,-0.4035619,-0.1620959,-0.241466
60,0.8295337,1.4840957,"('inefficient', 'efficient')",0.5206691,0.7460052,0.6751014,1.1150504,-0.439949
10,-0.813431,-0.5217745,"('unsympathetic', 'sympathetic')",0.061857514,0.103568465,-0.3757868,-0.209103,-0.1666838
9,0.79733413,0.77041066,"('unaffectionate', 'caring')",1.5987778,1.7787731,1.198056,1.2745919,-0.0765359
19,-0.7620323,-0.99743944,"('inhospitable', 'hospitable')",-0.2526016,-0.08711294,-0.5073169,-0.5422762,0.0349593
70,-0.7565728,-0.2914263,"('lethargic', 'energetic')",0.8954471,0.84707534,0.0694371,0.2778245,-0.2083874
48,0.73991144,1.1043835,"('unintelligent', 'intelligent')",0.31578952,0.54453224,0.5278505,0.8244579,-0.2966074
15,0.73263973,0.5570712,"('boring', 'funny')",0.27638447,0.1768022,0.5045121,0.3669367,0.1375754
52,-0.7164945,-1.2163564,"('irrational', 'rational')",-0.391867,-0.4170164,-0.5541807,-0.8166864,0.2625057
44,-0.7044063,-0.713615,"('prejudiced', 'unprejudiced')",-0.7805029,-0.94636744,-0.7424546,-0.8299912,0.0875366
66,-0.68939734,-1.0021085,"('inactive', 'active')",1.1154357,1.0248197,0.2130192,0.0113556,0.2016636
73,0.68642426,0.6878123,"('helpless', 'self-reliant')",-3.683114,-3.7459617,-1.4983449,-1.5290747,0.0307298
27,0.65360224,0.63142145,"('hardhearted', 'softhearted')",0.77650124,0.91518223,0.7150518,0.7733018,-0.05825
84,0.6500316,0.4990287,"('inferior', 'superior')",0.87953055,0.8139709,0.7647811,0.6564998,0.1082813
88,0.6386027,0.49147105,"('low', 'eminent')",0.16616131,0.10290363,0.402382,0.2971873,0.1051947
79,-0.6295323,-1.0565182,"('wavering', 'unwavering')",0.24698572,0.28589255,-0.1912733,-0.3853128,0.1940395
46,-0.62875473,-0.08789543,"('uncompetitive', 'competitive')",-0.06356476,-0.25022638,-0.3461598,-0.1690609,-0.1770989
0,-0.6285246,-0.56954503,"('unsociable', 'sociable')",-0.17490065,-0.24089004,-0.4017126,-0.4052175,0.0035049
76,-0.5975165,-0.41104928,"('anxious', 'daring')",0.6043099,0.47845864,0.0033967,0.0337047,-0.030308
87,-0.58461136,-0.53027153,"('unsuccessful', 'successful')",0.66504645,0.7289482,0.0402175,0.0993383,-0.0591208
58,0.5798741,0.5409189,"('undiscriminating', 'discriminating')",-0.14270112,-0.26189125,0.2185865,0.1395138,0.0790727
33,0.57138413,0.35585648,"('wrong', 'right')",-0.26825866,-0.16753946,0.1515627,0.0941585,0.0574042
62,0.56311893,1.2122622,"('incompetent', 'brilliant')",0.67678887,0.880955,0.6199539,1.0466086,-0.4266547
63,-0.55395484,-0.16540034,"('unperceptive', 'insightful')",1.2838643,1.2837871,0.3649547,0.5591934,-0.1942387
74,-0.5521066,-0.47811797,"('undedicated', 'dedicated')",0.16358623,0.00017934665,-0.1942602,-0.2389693,0.0447091
68,-0.54978466,-0.48657948,"('dependent', 'independent')",-0.1970908,-0.059941027,-0.3734377,-0.2732603,-0.1001774
35,-0.53500843,-1.2036351,"('corrupt', 'incorrupt')",-0.5874473,-0.66868013,-0.5612279,-0.9361576,0.3749297
41,-0.50161976,-0.39564532,"('unforgiving', 'forgiving')",-0.04585783,-0.24000853,-0.2737388,-0.3178269,0.0440881
6,-0.49903536,-0.64641845,"('distant', 'open')",-0.07334462,0.30158052,-0.28619,-0.172419,-0.113771
75,-0.48125848,-0.5452928,"('meek', 'impulsive')",-0.5121248,-0.4977736,-0.4966916,-0.5215332,0.0248416
81,-0.4731067,-0.057464316,"('submissive', 'aggressive')",-0.2747418,-0.3109913,-0.3739243,-0.1842278,-0.1896965
86,0.46333432,0.65637594,"('uninfluential', 'influential')",-0.16492586,0.028663792,0.1492042,0.3425199,-0.1933157
25,0.46256486,0.29251856,"('egoistic', 'altruistic')",0.33792973,0.39513445,0.4002473,0.3438265,0.0564208
14,-0.41775927,-0.2901419,"('antisocial', 'social')",-0.2925767,-0.47231454,-0.355168,-0.3812282,0.0260602
38,0.40662184,0.62709767,"('untruthful', 'truthful')",0.8445186,0.8757331,0.6255702,0.7514154,-0.1258452
71,0.3942711,0.36999133,"('diffident', 'self-confident')",0.6118916,0.84344774,0.5030814,0.6067196,-0.1036382
24,0.3751725,0.4545583,"('dishonest', 'honest')",1.1909957,1.2763301,0.7830841,0.8654442,-0.0823601
69,0.35423347,0.021984026,"('lazy', 'industrious')",-0.72518253,-0.76819474,-0.1854745,-0.3731053,0.1876308
59,-0.34936416,-0.47494146,"('foolish', 'wise')",0.25946024,0.5495476,-0.044952,0.0373031,-0.0822551
7,0.34475043,0.7395007,"('insensitive', 'sensitive')",0.355538,0.42309767,0.3501442,0.5812992,-0.231155
65,0.33934754,0.5647558,"('insecure', 'secure')",0.014538519,0.06402926,0.176943,0.3143925,-0.1374495
23,-0.33268875,0.007024277,"('insincere', 'sincere')",6.6367655,7.014403,3.1520383,3.5107136,-0.3586753
