,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
69,2.098932,2.1434572,"('lazy', 'industrious')",-0.92906487,-0.76515245,0.5849336,0.6891524,-0.1042188
10,-1.9152731,-2.1042926,"('unsympathetic', 'sympathetic')",0.073337,-0.2200141,-0.9209681,-1.1621534,0.2411853
86,-1.9103843,-1.9526389,"('uninfluential', 'influential')",-0.15619537,-0.2580902,-1.0332898,-1.1053646,0.0720748
28,-1.6276729,-1.5310751,"('disloyal', 'loyal')",0.9092647,0.8746678,-0.3592041,-0.3282036,-0.0310005
13,-1.5408839,-1.7255186,"('impolite', 'polite')",-0.6832098,-0.99393153,-1.1120468,-1.359725,0.2476782
23,-1.4918361,-1.5908142,"('insincere', 'sincere')",5.640923,5.3616285,2.0745435,1.8854072,0.1891363
11,-1.4231597,-1.4557227,"('unhelpful', 'helpful')",1.3313059,1.3617688,-0.0459269,-0.0469769,0.00105
43,-1.389548,-1.2197472,"('irresponsible', 'responsible')",0.4565287,0.44262773,-0.4665096,-0.3885597,-0.0779499
57,-1.3789473,-1.2179846,"('unimaginative', 'imaginative')",-3.0127554,-2.935284,-2.1958513,-2.0766342,-0.1192171
35,1.3635099,1.3873686,"('corrupt', 'incorrupt')",-0.8248101,-0.7083373,0.2693499,0.3395156,-0.0701657
45,-1.3585565,-1.4008994,"('incompetent', 'competent')",0.17392896,0.2359199,-0.5923138,-0.5824897,-0.0098241
24,-1.2844021,-1.1821169,"('dishonest', 'honest')",0.35490164,0.3167147,-0.4647502,-0.4327011,-0.0320491
81,-1.2704003,-1.426254,"('submissive', 'aggressive')",-0.5250871,-0.63882,-0.8977437,-1.032537,0.1347933
84,1.2507299,1.2771922,"('inferior', 'superior')",0.9002403,0.9208716,1.0754851,1.0990319,-0.0235468
60,-1.2329937,-1.5413263,"('inefficient', 'efficient')",0.12603429,-0.2058926,-0.5534797,-0.8736094,0.3201297
0,-1.2211912,-1.4796098,"('unsociable', 'sociable')",-0.00778855,-0.18946931,-0.6144899,-0.8345396,0.2200497
30,-1.205986,-1.1804175,"('intolerant', 'tolerant')",0.39939368,0.26966608,-0.4032962,-0.4553757,0.0520795
85,1.1866181,1.4816424,"('insignificant', 'prestigious')",-0.8083106,-0.33404583,0.1891537,0.5737983,-0.3846446
51,-1.1658573,-1.264645,"('uneducated', 'educated')",0.11673331,-0.041935883,-0.524562,-0.6532905,0.1287285
73,1.1391724,1.336533,"('helpless', 'self-reliant')",-3.0244942,-2.9230554,-0.9426609,-0.7932612,-0.1493997
25,1.1334203,1.078883,"('egoistic', 'altruistic')",1.3860056,1.2788556,1.2597129,1.1788692,0.0808437
22,-1.1112387,-1.0722829,"('untrustworthy', 'trustworthy')",-0.7542198,-0.87589604,-0.9327292,-0.9740895,0.0413603
38,-1.0650727,-0.97200465,"('untruthful', 'truthful')",-0.97697467,-0.7629871,-1.0210236,-0.8674959,-0.1535277
55,-1.0538192,-1.285147,"('incompetent', 'clever')",0.9491868,0.62559247,-0.0523162,-0.3297772,0.277461
9,-0.98863024,-0.6431925,"('unaffectionate', 'caring')",0.9992933,1.1975361,0.0053315,0.2771718,-0.2718403
