,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.57765,-2.7624297,"('distant', 'open')",-0.5609158,-0.8532568,-1.569283,-1.8078432,0.2385602
1,-2.3315585,-2.4092941,"('unfriendly', 'friendly')",1.2226195,0.982562,-0.5544695,-0.713366,0.1588965
5,-2.261742,-2.5203488,"('distant', 'outgoing')",-0.3339967,-0.6946229,-1.2978694,-1.6074858,0.3096164
8,-2.017254,-2.0268304,"('unaffectionate', 'affectionate')",0.043619163,0.02382733,-0.9868175,-1.0015016,0.0146841
52,-1.9533702,-1.96855,"('irrational', 'rational')",-0.1502046,-0.41836795,-1.0517874,-1.1934589,0.1416715
85,-1.9268668,-2.100269,"('insignificant', 'prestigious')",-0.07028893,-0.6075717,-0.9985778,-1.3539205,0.3553427
9,-1.8875223,-1.9544126,"('unaffectionate', 'caring')",0.59848607,0.64994407,-0.6445181,-0.6522343,0.0077162
31,-1.8697428,-1.9036057,"('evil', 'good')",-0.7641853,-1.1898922,-1.316964,-1.5467489,0.2297849
19,-1.8598034,-1.905705,"('inhospitable', 'hospitable')",-0.4063553,-0.64153504,-1.1330794,-1.27362,0.1405406
76,1.7544065,1.6351881,"('anxious', 'daring')",0.026635958,0.18563518,0.8905212,0.9104117,-0.0198905
86,-1.7144493,-1.6513836,"('uninfluential', 'influential')",-0.5973506,-0.4517005,-1.1559,-1.051542,-0.104358
59,-1.7058378,-1.5890077,"('foolish', 'wise')",-0.016984075,-0.11200945,-0.861411,-0.8505086,-0.0109024
36,-1.6436492,-1.7534473,"('hostile', 'amicable')",-0.23938805,-0.6580577,-0.9415187,-1.2057525,0.2642338
79,-1.509036,-1.7387248,"('wavering', 'unwavering')",-0.15578498,-0.46039614,-0.8324105,-1.0995605,0.26715
53,-1.4438006,-1.545449,"('uncreative', 'creative')",0.4560007,0.28954145,-0.4938999,-0.6279538,0.1340539
39,1.3183846,1.440366,"('exploitative', 'cooperative')",-0.10214634,0.16831316,0.6081191,0.8043396,-0.1962205
57,-1.148602,-0.9663263,"('unimaginative', 'imaginative')",-3.2723768,-3.2760668,-2.2104893,-2.1211965,-0.0892928
38,-1.1453859,-1.3985595,"('untruthful', 'truthful')",0.66524,0.3557801,-0.2400729,-0.5213897,0.2813168
18,-1.1290876,-1.0937011,"('disagreeable', 'welcoming')",-0.5134322,-0.60615516,-0.8212599,-0.8499281,0.0286682
12,-1.0285345,-0.9228562,"('unsupportive', 'supportive')",-2.3438723,-2.2498112,-1.6862035,-1.5863338,-0.0998697
88,-0.99159735,-0.9338971,"('low', 'eminent')",-0.30556244,-0.5568741,-0.6485799,-0.7453856,0.0968057
35,-0.99125373,-1.0568328,"('corrupt', 'incorrupt')",-0.42308745,-0.8835016,-0.7071706,-0.9701672,0.2629966
54,-0.9601881,-1.1997677,"('incapable', 'capable')",0.8511302,0.6917787,-0.054529,-0.2539945,0.1994655
25,-0.9446355,-1.1171943,"('egoistic', 'altruistic')",1.032642,0.5898606,0.0440032,-0.2636668,0.30767
60,0.9428743,0.8088109,"('inefficient', 'efficient')",0.102229476,0.45011032,0.5225519,0.6294606,-0.1069087
80,0.9421893,1.2005972,"('dominated', 'dominating')",-1.105241,-0.6701948,-0.0815258,0.2652012,-0.346727
4,-0.9349983,-0.81464267,"('disliked', 'liked')",-6.228419,-6.7704573,-3.5817084,-3.7925501,0.2108417
66,-0.9030776,-0.9783301,"('inactive', 'active')",0.41478333,0.32496452,-0.2441471,-0.3266828,0.0825357
26,-0.87561005,-0.73312855,"('hardhearted', 'benevolent')",0.83775496,0.917015,-0.0189275,0.0919432,-0.1108707
42,0.86667204,0.71356237,"('unreliable', 'reliable')",-3.2416737,-3.2200599,-1.1875008,-1.2532487,0.0657479
69,-0.85944873,-0.80166435,"('lazy', 'industrious')",-0.3315072,-0.7462986,-0.5954779,-0.7739815,0.1785036
81,0.8512862,1.0004708,"('submissive', 'aggressive')",-0.2717162,0.0514962,0.289785,0.5259835,-0.2361985
73,0.8486615,0.76802504,"('helpless', 'self-reliant')",-3.390534,-3.729723,-1.2709363,-1.480849,0.2099127
55,0.8282363,1.0185317,"('incompetent', 'clever')",-0.15675245,0.34741712,0.3357419,0.6829744,-0.3472325
14,0.8262119,0.803149,"('antisocial', 'social')",-0.26685295,0.056401435,0.2796795,0.4297752,-0.1500957
44,0.7781762,0.7302342,"('prejudiced', 'unprejudiced')",-1.3827212,-1.3127501,-0.3022725,-0.2912579,-0.0110146
62,0.7527551,0.7596226,"('incompetent', 'brilliant')",0.7638524,1.020433,0.7583038,0.8900278,-0.131724
41,-0.7454069,-0.6657867,"('unforgiving', 'forgiving')",-0.39913532,-0.23960915,-0.5722711,-0.4526979,-0.1195732
21,0.7435365,0.8614328,"('immoral', 'moral')",-0.5566826,-0.12537156,0.0934269,0.3680306,-0.2746037
33,-0.70627683,-0.5996732,"('wrong', 'right')",-0.81775534,-0.90613604,-0.7620161,-0.7529047,-0.0091114
45,-0.6902739,-0.67856395,"('incompetent', 'competent')",-0.30443612,-0.08152477,-0.497355,-0.3800444,-0.1173106
61,-0.6858584,-0.65204453,"('illogical', 'logical')",0.24044459,0.43199703,-0.2227069,-0.1100238,-0.1126831
63,-0.64946246,-0.6281155,"('unperceptive', 'insightful')",0.5550072,0.74518365,-0.0472276,0.0585341,-0.1057617
67,0.6161947,0.5771714,"('doubtful', 'determined')",-0.3458626,-0.4073732,0.1351661,0.0848991,0.050267
16,-0.60660625,-0.6079025,"('unpopular', 'popular')",0.67863756,0.43722472,0.0360157,-0.0853389,0.1213546
64,-0.60368574,-0.33156773,"('shy', 'confident')",-6.364449,-6.1800237,-3.4840674,-3.2557957,-0.2282717
20,0.59328544,0.7415367,"('rough', 'thoughtful')",0.5521203,0.68372005,0.5727029,0.7126284,-0.1399255
46,0.5729636,0.73785675,"('uncompetitive', 'competitive')",-1.06567,-0.57863116,-0.2463532,0.0796128,-0.325966
30,0.5644745,0.52411264,"('intolerant', 'tolerant')",0.9065181,0.94269264,0.7354963,0.7334026,0.0020937
65,0.55713916,0.72662693,"('insecure', 'secure')",-0.3656421,0.15492874,0.0957485,0.4407778,-0.3450293
49,0.53975755,0.6003195,"('unable', 'able')",-0.13651918,0.0067012236,0.2016192,0.3035104,-0.1018912
17,-0.5288224,-0.5683177,"('nasty', 'nice')",-0.49093664,-0.55091095,-0.5098795,-0.5596143,0.0497348
24,-0.5235303,-0.5548816,"('dishonest', 'honest')",0.46377274,0.56009734,-0.0298788,0.0026079,-0.0324867
56,0.51669693,0.268505,"('impractical', 'practical')",-0.27257603,-0.24828179,0.1220604,0.0101116,0.1119488
74,-0.48836285,-0.54346675,"('undedicated', 'dedicated')",-0.58581275,-0.64152104,-0.5370878,-0.5924939,0.0554061
84,0.42023265,0.5578394,"('inferior', 'superior')",0.8979035,0.9510278,0.6590681,0.7544336,-0.0953655
70,0.41415593,0.33741406,"('lethargic', 'energetic')",0.009507207,0.24763153,0.2118316,0.2925228,-0.0806912
32,-0.38752866,-0.3398383,"('unkind', 'kind')",0.34621274,0.6391456,-0.020658,0.1496537,-0.1703117
71,-0.37883487,-0.35056737,"('diffident', 'self-confident')",0.051011227,0.10996274,-0.1639118,-0.1203023,-0.0436095
72,-0.37180382,-0.5010305,"('unambitious', 'ambitious')",-0.49489263,-0.4103771,-0.4333482,-0.4557038,0.0223556
0,-0.37083477,-0.40511805,"('unsociable', 'sociable')",-0.3433593,-0.14105308,-0.357097,-0.2730856,-0.0840114
28,-0.36421108,-0.4344672,"('disloyal', 'loyal')",0.8952118,0.8026461,0.2655004,0.1840895,0.0814109
68,-0.34451026,-0.31604415,"('dependent', 'independent')",-0.36032957,-0.4171568,-0.3524199,-0.3666005,0.0141806
23,-0.32828227,-0.49981272,"('insincere', 'sincere')",5.675485,6.0329,2.6736014,2.7665436,-0.0929422
3,0.32774007,0.3122861,"('repellent', 'pleasant')",0.6250487,0.8055989,0.4763944,0.5589425,-0.0825481
51,-0.32502243,-0.2583912,"('uneducated', 'educated')",0.41228908,0.6626147,0.0436333,0.2021118,-0.1584785
48,0.31196755,0.7780868,"('unintelligent', 'intelligent')",0.6509275,1.118812,0.4814475,0.9484494,-0.4670019
37,0.31096217,0.2322526,"('fake', 'genuine')",-0.22438027,-0.0715765,0.043291,0.080338,-0.037047
43,-0.3090497,-0.28265917,"('irresponsible', 'responsible')",-0.09097679,0.32863295,-0.2000133,0.0229869,-0.2230002
29,-0.27665818,-0.24503227,"('unfair', 'fair')",-0.5405394,-0.5105269,-0.4085988,-0.3777796,-0.0308192
83,0.2598121,0.46310174,"('powerless', 'powerful')",-1.0072093,-0.87115055,-0.3736986,-0.2040244,-0.1696742
40,-0.22931929,0.077271916,"('stingy', 'generous')",-2.2409523,-2.1658216,-1.2351358,-1.0442748,-0.190861
58,-0.19574045,-0.3010624,"('undiscriminating', 'discriminating')",0.13962701,0.059653573,-0.0280567,-0.1207044,0.0926477
47,-0.1946565,-0.2614737,"('stupid', 'smart')",5.4895315,5.6083765,2.6474376,2.6734514,-0.0260138
78,-0.1904899,-0.12165559,"('nonresilient', 'resilient')",0.28608364,0.4251062,0.0477969,0.1517253,-0.1039284
34,0.17046854,0.009679978,"('mean', 'honorable')",6.063168,6.1188107,3.1168182,3.0642452,0.052573
22,0.16895385,0.20612177,"('untrustworthy', 'trustworthy')",-1.3874949,-1.0666822,-0.6092705,-0.4302802,-0.1789903
27,-0.16664332,-0.0669803,"('hardhearted', 'softhearted')",0.37421986,0.64714354,0.1037883,0.2900816,-0.1862933
75,0.13697132,0.105271846,"('meek', 'impulsive')",-0.18700081,-0.5356969,-0.0250147,-0.2152125,0.1901978
50,-0.13171244,-0.1115947,"('clumsy', 'skillful')",-0.0035969988,0.040522747,-0.0676547,-0.035536,-0.0321187
13,0.12388377,0.1163892,"('impolite', 'polite')",-0.82843345,-0.4332065,-0.3522748,-0.1584086,-0.1938662
15,0.11107642,0.24703541,"('boring', 'funny')",0.016765296,0.07492198,0.0639209,0.1609787,-0.0970578
7,0.07171199,0.18813647,"('insensitive', 'sensitive')",-0.24589391,0.09870033,-0.087091,0.1434184,-0.2305094
82,-0.06691457,-0.27695602,"('poor', 'rich')",6.737806,6.723027,3.3354456,3.2230356,0.11241
11,0.0422564,-0.05842112,"('unhelpful', 'helpful')",1.8795772,2.0233927,0.9609168,0.9824858,-0.021569
77,0.037744347,0.10485733,"('unmotivated', 'motivated')",-0.71052295,-0.4820331,-0.3363893,-0.1885879,-0.1478014
10,-0.02571141,-0.08215855,"('unsympathetic', 'sympathetic')",-0.80583847,-0.3548155,-0.4157749,-0.218487,-0.1972879
2,0.013414299,-0.12441054,"('unlikable', 'likable')",0.7513685,0.64098674,0.3823914,0.2582881,0.1241033
87,-0.0017294679,0.010355968,"('unsuccessful', 'successful')",0.74855727,0.98328364,0.3734139,0.4968198,-0.1234059
