,harman_male,harman_female,tuple,intl_male,intl_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.0481682,-2.1768875,"('unsympathetic', 'sympathetic')",-1.9802722,-1.7219787,-0.9453629,-0.7510434,-0.19551624,-0.09968776,-1.2923299,-1.1873993,-0.1049306
57,-1.6712477,-1.4779851,"('unimaginative', 'imaginative')",-1.054435,-0.82476825,-0.85533595,-0.6097018,-2.4672287,-2.3708098,-1.5120618,-1.3208163,-0.1912455
48,-1.6556641,-1.7606603,"('unintelligent', 'intelligent')",-1.2267398,-1.2651528,-0.2353567,-0.3002547,0.59977657,0.37364036,-0.629496,-0.7381069,0.1086109
86,-1.6493515,-1.7535088,"('uninfluential', 'influential')",-2.2130847,-1.9353238,-1.9242901,-1.5885645,-0.57674044,-0.44966257,-1.5908667,-1.431765,-0.1591017
3,-1.6101663,-1.8119917,"('repellent', 'pleasant')",-0.3697333,-0.29124698,-0.04404914,0.05560516,0.2974219,0.35630208,-0.4316317,-0.4228328,-0.0087989
7,-1.5083629,-1.5399988,"('insensitive', 'sensitive')",-0.62416726,-0.657766,0.011144361,-0.0019940846,0.80245644,0.6086926,-0.3297324,-0.3977666,0.0680342
76,-1.5019408,-1.1364805,"('anxious', 'daring')",0.22288801,0.5266743,0.62705433,0.7797473,0.33264032,0.588179,-0.0798395,0.18953,-0.2693695
81,-1.4542181,-1.2291873,"('submissive', 'aggressive')",-0.36889866,0.06685486,0.6235472,0.6840921,-0.83781856,-0.7691615,-0.509347,-0.3118505,-0.1974965
28,-1.4294652,-1.3292674,"('disloyal', 'loyal')",-1.9274399,-1.6799684,-1.3753339,-1.1374114,1.0185263,1.105723,-0.9284281,-0.7602311,-0.168197
14,-1.4083666,-1.0135605,"('antisocial', 'social')",-0.4838754,0.32624105,0.89447343,1.4107422,-0.7600733,-0.42448747,-0.4394605,0.0747338,-0.5141943
70,-1.405692,-1.477468,"('lethargic', 'energetic')",-0.46151847,-0.37741274,0.06827257,0.15622455,0.63537794,0.66682386,-0.29089,-0.2579581,-0.0329319
24,-1.3968643,-1.4301754,"('dishonest', 'honest')",-1.0278268,-0.9754692,-0.2502089,-0.24209216,0.78916323,0.91361517,-0.4714342,-0.4335304,-0.0379038
85,1.3075716,1.0252465,"('insignificant', 'prestigious')",-1.2017378,-1.4426625,-1.5009973,-1.5282209,0.6558655,0.61221194,-0.1848245,-0.3333562,0.1485317
21,-1.2764844,-1.2837286,"('immoral', 'moral')",-0.99444985,-0.75142926,-0.07530624,0.15468921,-0.855106,-0.7363734,-0.8003366,-0.6542106,-0.146126
69,1.2742279,1.3684999,"('lazy', 'industrious')",1.7429954,1.4335577,1.4440877,1.1610637,-0.3948925,-0.82092977,1.0166047,0.7855479,0.2310568
32,-1.2507783,-1.1706973,"('unkind', 'kind')",-0.07080127,-0.10425531,0.5839347,0.6976244,1.1669914,1.1658878,0.1073366,0.1471399,-0.0398033
0,-1.2449895,-1.1795983,"('unsociable', 'sociable')",-1.4806694,-0.99991274,-0.60754573,-0.33031183,-0.40360418,-0.29366642,-0.9342023,-0.7008723,-0.23333
55,-1.238856,-1.251303,"('incompetent', 'clever')",-1.03514,-0.6788699,-0.32954675,-0.035584264,0.2332804,0.38181835,-0.5925655,-0.3959847,-0.1965808
23,-1.2386935,-1.3379327,"('insincere', 'sincere')",-0.88658494,-0.8464227,0.19203107,0.26851258,5.673455,5.798804,0.9350519,0.9707403,-0.0356884
59,1.2377117,1.1441975,"('foolish', 'wise')",0.5171081,0.1131882,-0.5195082,-0.7497274,0.13723272,-0.079808116,0.3431361,0.1069625,0.2361736
45,-1.2042178,-1.2011375,"('incompetent', 'competent')",-0.8662597,-0.6068769,-0.3263276,-0.07975214,-0.34979016,-0.28815868,-0.6866488,-0.5439813,-0.1426675
46,-1.1957847,-1.4428763,"('uncompetitive', 'competitive')",-1.2112215,-0.94717073,-0.68765765,-0.557022,-0.37099683,-0.25459906,-0.8664151,-0.8004171,-0.065998
35,1.1803358,1.490445,"('corrupt', 'incorrupt')",0.6881331,0.40884215,-0.2805655,-0.50750166,-0.26001072,-0.36766133,0.3319732,0.2560311,0.0759421
27,-1.1264224,-1.38238,"('hardhearted', 'softhearted')",-0.81085044,-1.3058025,-0.49051818,-0.82415164,1.2429411,0.83994234,-0.2962124,-0.6680979,0.3718855
40,-1.1088876,-0.9506044,"('stingy', 'generous')",-0.72886235,-0.75077724,-0.701648,-0.6594196,-1.240928,-1.4562998,-0.9450815,-0.9542753,0.0091938
65,-1.0922539,-0.9426791,"('insecure', 'secure')",-0.22674371,0.09119584,0.93952775,1.1266638,-0.24666262,-0.085722156,-0.1565331,0.0473646,-0.2038977
60,-1.092172,-1.2431028,"('inefficient', 'efficient')",-0.41008434,-0.095319025,1.3841708,1.4838359,0.23815866,0.22452392,0.0300183,0.0924845,-0.0624662
22,-1.0849271,-1.0649062,"('untrustworthy', 'trustworthy')",-0.9098782,-0.8102333,-0.23960614,0.067377694,-1.2098639,-0.9800001,-0.8610688,-0.6969405,-0.1641283
41,-1.0803913,-0.88487214,"('unforgiving', 'forgiving')",-0.81421643,-0.7704716,-0.20477767,0.12951696,-0.15345433,-0.12408225,-0.56321,-0.4124773,-0.1507327
58,-1.0410503,-1.093893,"('undiscriminating', 'discriminating')",-0.9379092,-0.73448616,-1.1301872,-0.69666016,-0.06880522,0.09939791,-0.794488,-0.6064103,-0.1880777
73,1.0306093,1.1115502,"('helpless', 'self-reliant')",0.12333755,0.13210396,-0.3630972,-0.42118636,-3.315152,-3.4540892,-0.6310756,-0.6579053,0.0268297
77,-1.0179801,-1.3345438,"('unmotivated', 'motivated')",-0.94180816,-0.8051994,-0.5529228,-0.5626807,-1.2175311,-1.2442429,-0.9325606,-0.9866667,0.0541061
1,-0.98303276,-1.3617084,"('unfriendly', 'friendly')",-1.7862934,-2.2435987,-1.6904999,-1.7700274,1.6655009,1.4775918,-0.6985813,-0.9744357,0.2758544
88,-0.83629364,-0.721377,"('low', 'eminent')",-1.0014371,-0.66301703,-0.33461827,-0.020967953,0.27852684,0.4215839,-0.4734555,-0.2459445,-0.227511
5,0.81555396,0.8254416,"('distant', 'outgoing')",-0.6961216,-0.94100755,-1.3921019,-1.4946387,-0.77961695,-0.8277244,-0.5130717,-0.6094823,0.0964106
19,0.8113372,0.77165765,"('inhospitable', 'hospitable')",-0.6329426,-0.84436536,-1.353112,-1.3647985,-0.44348648,-0.5187081,-0.404551,-0.4890536,0.0845026
53,-0.80904996,-0.863145,"('uncreative', 'creative')",-0.9334997,-1.1268351,-0.7442375,-0.77427167,1.1537079,1.0293593,-0.3332698,-0.4337231,0.1004533
30,-0.80670685,-0.5135744,"('intolerant', 'tolerant')",-0.35092774,-0.016341096,1.0058148,1.3277225,1.0656959,1.2785771,0.228469,0.519096,-0.290627
