,devon_male,devon_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
36,-4.6138988,-4.1347694,"('hostile', 'amicable')",-1.5385154,-1.5691066,-1.3700805,-1.161222,-2.5074983,-2.288366,-0.2191323
85,-4.474666,-4.1477,"('insignificant', 'prestigious')",-0.3980801,-0.253585,-1.2053901,-1.1051208,-2.0260455,-1.8354685,-0.190577
31,-4.037444,-3.7106793,"('evil', 'good')",-1.4291695,-1.4457715,-1.8491784,-1.7942135,-2.4385974,-2.3168882,-0.1217092
60,3.9462068,3.6202102,"('inefficient', 'efficient')",2.2006412,2.169166,0.8897966,0.91162497,2.3455482,2.2336671,0.1118811
35,-3.7623565,-3.5565808,"('corrupt', 'incorrupt')",-0.9209606,-0.98139364,-1.2613657,-1.1668527,-1.981561,-1.9016091,-0.0799519
69,-3.7528877,-3.5845687,"('lazy', 'industrious')",0.74202776,0.65641034,-1.2435566,-1.3513658,-1.4181388,-1.4265079,0.0083691
62,3.7430584,3.5179656,"('incompetent', 'brilliant')",1.1170704,1.0932962,1.2942355,1.0532377,2.0514549,1.8881664,0.1632885
80,3.511013,3.1777148,"('dominated', 'dominating')",0.7120689,0.57131416,0.5208719,0.28396374,1.5813179,1.3443309,0.236987
46,3.4774978,3.356298,"('uncompetitive', 'competitive')",0.4914804,0.5404575,-0.13057642,-0.10046336,1.2794673,1.2654307,0.0140366
55,3.4547346,3.4323497,"('incompetent', 'clever')",0.059949826,-0.007217314,0.7335542,0.5285853,1.4160795,1.3179059,0.0981736
6,-3.2365265,-2.9532707,"('distant', 'open')",-0.7170749,-0.508005,-1.245152,-1.0280607,-1.7329178,-1.4964453,-0.2364725
10,3.1795475,3.0589666,"('unsympathetic', 'sympathetic')",-0.49722004,-0.44148505,0.10455933,0.22602846,0.9289623,0.9478367,-0.0188744
81,3.175398,2.818553,"('submissive', 'aggressive')",1.9170413,1.7398831,0.42805663,0.1841357,1.8401655,1.5808573,0.2593082
43,3.1354725,3.0212438,"('irresponsible', 'responsible')",0.80259,0.98777217,0.48795646,0.6748982,1.4753397,1.5613047,-0.085965
21,3.083924,2.8357573,"('immoral', 'moral')",1.5541949,1.3816527,0.24434134,0.09510592,1.6274867,1.4375054,0.1899813
76,3.066774,2.945889,"('anxious', 'daring')",0.03835883,0.15140337,0.6224003,0.60430557,1.242511,1.233866,0.008645
24,2.8813365,2.893364,"('dishonest', 'honest')",0.42217168,0.44508037,1.199552,1.2339038,1.5010201,1.524116,-0.0230959
79,-2.7898674,-2.6345801,"('wavering', 'unwavering')",-0.9788253,-0.80275154,-0.6877215,-0.5306613,-1.4854714,-1.3226643,-0.1628071
5,-2.6936824,-2.4103856,"('distant', 'outgoing')",-0.16547188,-0.010994285,-0.8906945,-0.7820378,-1.2499496,-1.0678058,-0.1821438
7,2.673079,2.4608438,"('insensitive', 'sensitive')",0.8074203,0.7146006,1.1081803,1.0082722,1.5295598,1.3945723,0.1349875
23,2.656959,2.227646,"('insincere', 'sincere')",-0.029952828,0.068866864,6.5932097,6.736681,3.0734053,3.0110645,0.0623408
70,2.642711,2.452796,"('lethargic', 'energetic')",0.38876215,0.463258,0.88167584,0.82593083,1.304383,1.2473283,0.0570547
56,2.6323302,2.5682201,"('impractical', 'practical')",1.3717363,1.4496949,0.13145754,-0.050918944,1.3785079,1.3223319,0.056176
75,-2.6273572,-2.4892473,"('meek', 'impulsive')",-0.109766185,-0.059764683,-0.79800946,-0.7432035,-1.1783776,-1.0974051,-0.0809725
48,2.568186,2.1557572,"('unintelligent', 'intelligent')",1.743721,1.5467206,1.0782776,1.0294962,1.7967281,1.5773247,0.2194034
