,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.9856184,1.6614752,"('lazy', 'industrious')",-0.7100689,-0.53376526,0.6377747,0.5638549,0.0739198
86,-1.6589413,-1.6417292,"('uninfluential', 'influential')",0.3716119,0.09875396,-0.6436647,-0.7714877,0.127823
82,-1.5896137,-1.4534657,"('poor', 'rich')",6.391827,6.1869535,2.4011068,2.366744,0.0343628
10,-1.4875423,-1.3815831,"('unsympathetic', 'sympathetic')",0.21919435,-0.068239205,-0.634174,-0.7249112,0.0907372
57,-1.4442016,-1.5546823,"('unimaginative', 'imaginative')",-2.4542542,-2.4538424,-1.9492278,-2.0042624,0.0550346
2,1.4062445,1.419601,"('unlikable', 'likable')",0.7846416,0.91275424,1.095443,1.1661776,-0.0707346
39,1.3899924,1.486491,"('exploitative', 'cooperative')",-0.38578576,-0.2723936,0.5021033,0.6070487,-0.1049454
85,1.300293,0.9759829,"('insignificant', 'prestigious')",0.15377736,0.49137196,0.7270352,0.7336774,-0.0066422
73,1.2169963,1.234644,"('helpless', 'self-reliant')",-3.3714497,-3.194847,-1.0772266,-0.9801015,-0.0971251
53,-1.2047089,-1.442368,"('uncreative', 'creative')",1.1298459,1.1801915,-0.0374315,-0.1310883,0.0936568
46,-1.1046818,-1.0880488,"('uncompetitive', 'competitive')",-0.25815505,-0.57319015,-0.6814184,-0.8306195,0.1492011
66,1.0548645,0.7230227,"('inactive', 'active')",0.97536474,0.982156,1.0151147,0.8525894,0.1625253
8,-1.0466492,-1.1023645,"('unaffectionate', 'affectionate')",0.30751204,0.48013842,-0.3695686,-0.3111131,-0.0584555
23,-1.00934,-0.898809,"('insincere', 'sincere')",6.220196,5.8195105,2.6054277,2.4603508,0.1450769
45,-1.0044807,-0.75018674,"('incompetent', 'competent')",-0.15971044,-0.2977314,-0.5820956,-0.523959,-0.0581366
55,-0.98012716,-0.8177283,"('incompetent', 'clever')",0.32645616,0.025736805,-0.3268355,-0.3959957,0.0691602
83,0.9792988,0.9628999,"('powerless', 'powerful')",-0.5101826,-0.6822532,0.2345581,0.1403234,0.0942347
28,-0.96503407,-0.8465006,"('disloyal', 'loyal')",0.7158785,0.7359497,-0.1245778,-0.0552754,-0.0693024
13,-0.96342975,-0.67738223,"('impolite', 'polite')",0.08909423,-0.043926522,-0.4371678,-0.3606544,-0.0765134
67,0.9154383,1.0664016,"('doubtful', 'determined')",-0.62469715,-0.43168882,0.1453706,0.3173564,-0.1719858
