,qwest_male,qwest_female,tuple,communications_male,communications_female,intl_male,intl_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.758774,-1.7546151,"('unsympathetic', 'sympathetic')",0.030431233,0.09831417,-1.5542829,-1.5569515,0.14845857,0.16990279,-0.7835418,-0.7608374,-0.0227044
86,-1.7534046,-1.7590934,"('uninfluential', 'influential')",0.6790285,0.67259413,-1.9587158,-1.9435055,0.14735484,0.013464496,-0.7214343,-0.7541351,0.0327008
0,-1.6462854,-1.5721499,"('unsociable', 'sociable')",0.056306656,-0.008528329,-1.1089426,-1.1668886,-0.28589523,-0.32587305,-0.7462041,-0.76836,0.0221559
81,-1.5327151,-1.2563239,"('submissive', 'aggressive')",0.9673191,0.89012384,-0.08486999,0.07652868,-0.80729383,-0.8604224,-0.36439,-0.2875234,-0.0768666
14,-1.4194238,-1.2303712,"('antisocial', 'social')",1.1544732,1.105809,-0.123109646,-0.021739352,-0.08112103,-0.14787868,-0.1172953,-0.0735451,-0.0437502
57,-1.4120455,-1.4326874,"('unimaginative', 'imaginative')",-0.34615818,-0.37385607,-0.9599205,-1.0397699,-2.4062061,-2.3929112,-1.2810826,-1.3098061,0.0287235
52,1.356965,1.0505332,"('irrational', 'rational')",-0.121888354,-0.1882574,-0.9317074,-0.8825949,-0.06882277,-0.0766578,0.0586366,-0.0242442,0.0828808
73,1.3169727,1.3171483,"('helpless', 'self-reliant')",0.32047167,0.38415483,-0.8870841,-0.82473713,-3.8494506,-3.9085822,-0.7747726,-0.7580041,-0.0167685
53,-1.3167458,-1.1839454,"('uncreative', 'creative')",0.43481675,0.5626317,-0.6308946,-0.76366466,1.4019407,1.4663262,-0.0277207,0.020337,-0.0480577
21,-1.3143809,-1.049528,"('immoral', 'moral')",0.6492486,0.7946016,-0.7305429,-0.5677342,-0.64653087,-0.5467472,-0.5105515,-0.3423519,-0.1681996
49,-1.2883044,-1.2473934,"('unable', 'able')",-0.8855687,-0.92978215,-0.51795226,-0.5623328,-0.3499772,-0.41185904,-0.7604507,-0.7878419,0.0273912
39,1.284097,1.4670615,"('exploitative', 'cooperative')",0.70044386,0.94661576,0.14651018,0.2754009,0.24204713,0.3280332,0.5932745,0.7542778,-0.1610033
