,illinois_male,illinois_female,tuple,tool_male,tool_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.040517,-1.6089163,"('evil', 'good')",0.38524914,0.466554,-0.58051574,-0.5957934,-0.56099117,-0.6518587,-0.6991937,-0.5975037,-0.10169
60,1.9994277,1.6405001,"('inefficient', 'efficient')",0.2945785,0.3636317,0.94204634,1.1954577,-0.4197205,-0.21948615,0.704083,0.7450258,-0.0409428
70,1.9543082,1.7536609,"('lethargic', 'energetic')",-1.0683694,-1.2121934,-0.5191749,-0.55608237,0.62917095,0.6087578,0.2489837,0.1485357,0.100448
36,-1.7904482,-1.5124639,"('hostile', 'amicable')",0.69123226,0.5765478,-0.61644065,-0.7886037,0.40915582,0.21685433,-0.3266252,-0.3769164,0.0502912
35,-1.6882378,-1.3024651,"('corrupt', 'incorrupt')",0.17996158,0.18563972,-1.2618712,-1.2245356,-0.07963787,-0.17292221,-0.7124463,-0.6285708,-0.0838755
40,1.5926592,1.5159373,"('stingy', 'generous')",-0.55145407,-0.6168449,-0.59364986,-0.6771311,-1.5177188,-1.4203268,-0.2675409,-0.2995914,0.0320505
10,1.5830216,1.0802959,"('unsympathetic', 'sympathetic')",-0.7516044,-0.95690286,-0.3120946,-0.393931,-0.059555598,-0.15292884,0.1149418,-0.1058667,0.2208085
28,1.5701146,1.536691,"('disloyal', 'loyal')",0.37193817,0.38785508,-0.20678142,-0.15516245,1.053427,0.98816437,0.6971746,0.689387,0.0077876
12,1.5281136,1.3331647,"('unsupportive', 'supportive')",0.89916337,0.7618817,-0.033185005,0.010847886,-1.6370059,-1.570534,0.1892715,0.1338401,0.0554314
5,-1.525691,-1.1554812,"('distant', 'outgoing')",0.50532013,0.5419817,-1.277826,-1.2601172,-0.10760307,-0.15471838,-0.60145,-0.5070838,-0.0943662
43,1.4864032,1.365125,"('irresponsible', 'responsible')",-0.48555642,-0.46129295,-1.0593306,-0.89825946,0.2053267,0.24008405,0.0367107,0.0614141,-0.0247034
55,1.4716707,0.96801,"('incompetent', 'clever')",-0.74954784,-0.905188,0.3984829,0.3060268,-0.09648326,-0.05804866,0.2560306,0.0777,0.1783306
49,-1.4189239,-1.5635463,"('unable', 'able')",-0.1263408,0.006635161,-0.8022331,-0.7839416,-0.4648662,-0.45566773,-0.703091,-0.6991301,-0.0039609
16,-1.4088304,-1.4146807,"('unpopular', 'popular')",0.019090533,-0.20860878,-0.28271326,-0.5100711,0.23505732,0.15459108,-0.359349,-0.4946924,0.1353434
74,1.3556851,1.1935766,"('undedicated', 'dedicated')",0.84304357,0.81691825,0.4992557,0.588098,0.20263276,0.29389882,0.7251542,0.7231229,0.0020313
4,-1.3273102,-1.1323124,"('disliked', 'liked')",0.4912075,0.3270536,-0.4185956,-0.4811554,-6.7531266,-6.4347286,-2.0019562,-1.9302857,-0.0716705
24,1.2693788,1.2899942,"('dishonest', 'honest')",-0.8306044,-0.6958318,-0.41069558,-0.15355115,0.84157103,0.8022139,0.2174125,0.3107063,-0.0932938
81,1.2570451,0.9280934,"('submissive', 'aggressive')",-0.9227519,-0.96914023,0.5191305,0.3814478,-0.8887046,-0.87240815,-0.0088202,-0.1330018,0.1241816
86,1.2539482,0.8482853,"('uninfluential', 'influential')",0.4086697,0.16156854,0.50570846,0.34407395,0.21712685,-0.010907866,0.5963633,0.335755,0.2606083
63,1.2378539,0.8922774,"('unperceptive', 'insightful')",-0.18234642,-0.32541007,-0.07556402,-0.17407241,0.49089122,0.71558964,0.3677087,0.2770962,0.0906125
19,-1.1041143,-0.8899145,"('inhospitable', 'hospitable')",0.3016013,0.2353426,-1.2813116,-1.0750527,0.062939465,0.059512064,-0.5052213,-0.4175282,-0.0876931
1,-1.0906448,-0.79304135,"('unfriendly', 'friendly')",1.0236409,1.0986788,0.35733914,0.21153797,1.9337025,2.0100484,0.5560094,0.631806,-0.0757966
39,1.085537,0.9789493,"('exploitative', 'cooperative')",-0.8936359,-0.7629147,-0.82928187,-0.6086503,0.25584522,0.30026644,-0.0953839,-0.0230873,-0.0722966
80,1.0783306,0.4682166,"('dominated', 'dominating')",-1.6988086,-1.7436866,-0.10498844,-0.16082615,-1.255693,-1.4335829,-0.4952898,-0.7174698,0.22218
46,1.0749937,0.5168998,"('uncompetitive', 'competitive')",-0.78240484,-0.8843314,0.5200806,0.37656683,-1.194746,-0.99826676,-0.0955191,-0.2472829,0.1517638
14,1.0610263,0.6142959,"('antisocial', 'social')",0.1592343,0.15735786,1.0882987,1.1968517,-0.46083367,-0.47076127,0.4619314,0.3744361,0.0874953
51,1.0506546,0.7039676,"('uneducated', 'educated')",-0.4812503,-0.5293553,-0.5083737,-0.58173037,0.30463633,0.2923727,0.0914168,-0.0286863,0.1201031
44,-1.0460978,-1.0134178,"('prejudiced', 'unprejudiced')",-1.4285558,-1.3900317,-1.1085957,-1.0925431,-1.686104,-1.6611253,-1.3173385,-1.2892795,-0.028059
85,-0.9780168,-0.5110653,"('insignificant', 'prestigious')",1.2051768,1.0949295,-0.60030836,-0.8254397,0.41465953,0.5724151,0.0103778,0.0827099,-0.0723321
57,0.96629083,0.61085594,"('unimaginative', 'imaginative')",0.57544935,0.4372985,0.80705565,0.7714163,-2.3962104,-2.2759383,-0.0118536,-0.1140919,0.1022383
72,0.95928574,1.0293167,"('unambitious', 'ambitious')",0.18784277,0.30502367,0.31925002,0.48783377,-0.76000667,-0.79069793,0.1765929,0.257869,-0.0812761
11,0.9473648,0.6400585,"('unhelpful', 'helpful')",-0.054840922,-0.13986374,0.14400816,0.12256194,1.6725479,1.7528298,0.67727,0.5938966,0.0833734
65,0.9272251,0.64798295,"('insecure', 'secure')",-0.8717585,-0.89399797,0.48293048,0.54188424,-0.46527848,-0.5010263,0.0182796,-0.0512893,0.0695689
58,-0.867908,-0.92584527,"('undiscriminating', 'discriminating')",1.3018395,1.0655644,0.34227556,0.19847149,0.063999414,-0.012323739,0.2100516,0.0814667,0.1285849
53,-0.85235435,-0.7629065,"('uncreative', 'creative')",0.5343363,0.46330225,0.23074193,0.18101959,0.9544606,0.9801461,0.2167961,0.2153904,0.0014057
7,0.8518492,0.6319172,"('insensitive', 'sensitive')",-0.095472954,-0.13009898,-0.41295055,-0.27780664,1.0224023,0.99162894,0.341457,0.3039101,0.0375469
13,0.8240032,0.6351152,"('impolite', 'polite')",-0.43767366,-0.35420644,0.27295494,0.58774287,-0.26581016,-0.30529284,0.0983686,0.1408397,-0.0424711
87,-0.76410425,-1.0665363,"('unsuccessful', 'successful')",-0.13087532,-0.32731807,0.77250046,0.63899904,0.4501186,0.5185354,0.0819099,-0.05908,0.1409899
76,0.7567972,0.48950014,"('anxious', 'daring')",-0.7134522,-0.70017225,0.3504422,0.44905785,-0.3185404,-0.119166516,0.0188117,0.0298048,-0.0109931
29,-0.75375164,-0.70279825,"('unfair', 'fair')",-0.18064547,-0.27812764,-1.2565312,-1.208753,-0.048543002,-0.14296354,-0.5598679,-0.5831606,0.0232927
69,-0.7482303,-0.5592689,"('lazy', 'industrious')",1.3765159,1.5039537,0.6509536,0.75523275,-0.50527716,-0.40465343,0.1934905,0.323816,-0.1303255
26,0.7378248,0.83851177,"('hardhearted', 'benevolent')",1.5136216,1.4627279,1.1584308,1.0808378,1.6921197,1.876105,1.2754992,1.3145456,-0.0390464
48,0.71820426,0.5560885,"('unintelligent', 'intelligent')",-0.36348844,-0.4094718,-0.14293282,-0.14181344,0.10524392,0.2852055,0.0792567,0.0725022,0.0067545
59,-0.71323705,-0.49612892,"('foolish', 'wise')",1.6662575,1.6061606,-0.13078865,-0.10826156,0.15668437,0.2945326,0.244729,0.3240757,-0.0793467
62,0.69758743,0.37184998,"('incompetent', 'brilliant')",-1.3022217,-1.2422717,-0.6670004,-0.63627386,-0.5031005,-0.31126648,-0.4436838,-0.4544905,0.0108067
6,-0.69514596,-0.29828453,"('distant', 'open')",0.8394426,0.9044023,-1.6279562,-1.575818,0.4788802,0.3737949,-0.2511948,-0.1489763,-0.1022185
77,-0.6416787,-0.9456137,"('unmotivated', 'motivated')",-0.00083740987,-0.033389002,-0.09445319,-0.047796994,-1.512435,-1.2553244,-0.562351,-0.570531,0.00818
3,0.5838586,0.39969197,"('repellent', 'pleasant')",-0.8728592,-0.8976289,0.4258871,0.35824504,0.4124938,0.43053758,0.1373451,0.0727114,0.0646337
32,0.5484345,0.5281272,"('unkind', 'kind')",-0.18939582,-0.18966348,-0.028921073,0.10551427,1.0200925,1.0171787,0.3375525,0.3652892,-0.0277367
56,0.5418286,0.39099607,"('impractical', 'practical')",1.207344,1.2187307,0.7823141,0.93817276,-0.69977003,-0.6626451,0.4579292,0.4713136,-0.0133844
42,0.5356383,0.29912052,"('unreliable', 'reliable')",-0.60565066,-0.7635591,-0.9575671,-1.0511681,-3.0935142,-3.0736215,-1.0302734,-1.147307,0.1170336
37,0.5342028,0.42966062,"('fake', 'genuine')",-0.3032254,-0.34378445,-0.7385122,-0.6054745,0.44677356,0.3255774,-0.0151903,-0.0485052,0.0333149
23,0.53160346,0.36834267,"('insincere', 'sincere')",-0.0048704613,-0.027005391,0.24345843,0.21964158,5.711253,5.502195,1.6203611,1.5157934,0.1045677
47,0.5305668,0.3446743,"('stupid', 'smart')",0.054999042,0.19601044,0.55886203,0.59777945,5.407711,5.2866435,1.6380347,1.606277,0.0317577
21,0.5112151,0.18630101,"('immoral', 'moral')",-0.05589168,-0.0060267597,0.3696301,0.47121918,-1.0065815,-0.93165994,-0.045407,-0.0700416,0.0246346
27,0.48969555,0.47626764,"('hardhearted', 'softhearted')",-0.9258437,-0.8249842,-1.2898875,-1.1590965,1.8902323,1.6858588,0.0410492,0.0445115,-0.0034623
20,0.4896042,0.3321314,"('rough', 'thoughtful')",-0.8877697,-0.8973983,-0.5915306,-0.48774788,0.6782373,0.91305023,-0.0778647,-0.0349911,-0.0428736
