,public_male,public_female,tuple,service_male,service_female,enterprise_male,enterprise_female,gp_male,gp_female,inc_male,inc_female,average_male,average_female,male-female
56,3.1434681,3.2370005,"('impractical', 'practical')",2.7449248,2.8506591,1.3267732,1.6183753,2.7445118,2.859265,0.13817625,0.31104836,2.0195707,2.1752697,-0.155699
21,2.3771026,2.2218966,"('immoral', 'moral')",1.8303703,1.7438964,1.3922229,1.3959922,2.0121431,1.7873719,-0.11700388,-0.255024,1.498967,1.3788267,0.1201403
14,2.2707057,2.810574,"('antisocial', 'social')",1.1131084,1.3953643,1.5710602,2.1455052,1.9774357,2.268959,-0.631238,-0.36762747,1.2602143,1.650555,-0.3903407
31,-2.093,-2.243216,"('evil', 'good')",-1.4865583,-1.530405,-1.7672675,-1.986043,-2.6845462,-2.5950346,-1.50468,-1.6018468,-1.9072104,-1.991309,0.0840986
30,2.067578,1.9973065,"('intolerant', 'tolerant')",0.4827371,0.46429706,1.7058805,1.8255582,2.2233264,2.0642774,1.4091829,1.4431779,1.577741,1.5589235,0.0188175
23,2.0611782,2.0392642,"('insincere', 'sincere')",1.1164675,1.0157949,0.6892425,0.5243943,2.3077939,2.1731255,6.3340387,6.301826,2.5017441,2.410881,0.0908631
36,-2.0611715,-2.3240721,"('hostile', 'amicable')",-1.9639262,-2.1527002,-1.2186649,-1.6856179,-2.751983,-2.7575958,0.05917841,-0.23040071,-1.5873135,-1.8300774,0.2427639
16,-1.9542012,-1.9761908,"('unpopular', 'popular')",-1.7641387,-1.7491376,-0.7791064,-0.94229305,-0.9854779,-1.0526409,0.65177655,0.53978753,-0.9662294,-1.036095,0.0698656
39,1.9473058,2.0785882,"('exploitative', 'cooperative')",0.71511596,0.7749424,2.5712132,2.511171,3.6595387,3.5256555,0.46609184,0.50023204,1.8718531,1.8781178,-0.0062647
35,-1.9060338,-2.0869737,"('corrupt', 'incorrupt')",-0.38915902,-0.44119853,-1.8816365,-2.0190396,-2.9751503,-2.847674,-0.5921703,-0.7477576,-1.5488299,-1.6285286,0.0796987
11,1.7896357,1.7745144,"('unhelpful', 'helpful')",1.357266,1.3484553,1.0861201,1.1019207,1.3137399,1.3421334,2.1959918,2.345218,1.5485506,1.5824484,-0.0338978
12,1.7893515,1.545947,"('unsupportive', 'supportive')",0.9578168,0.82594144,1.3787336,1.0680215,0.57663983,0.52899677,-2.1542575,-2.1827838,0.5096569,0.3572246,0.1524323
70,1.7890784,1.8187422,"('lethargic', 'energetic')",1.3808107,1.332258,2.372491,2.350856,2.1843736,2.047035,1.3808774,1.4866337,1.8215261,1.8071049,0.0144212
42,1.7617433,1.5265436,"('unreliable', 'reliable')",1.5033374,1.4025357,0.5965886,0.49285567,1.0212666,0.9749836,-2.6827123,-2.4602156,0.4400447,0.3873406,0.0527041
60,1.67885,1.5940747,"('inefficient', 'efficient')",1.328834,1.2403827,2.1057675,2.1925294,3.1306171,3.011141,0.45407346,0.5625342,1.7396286,1.7201324,0.0194962
81,1.6443048,1.834337,"('submissive', 'aggressive')",0.7257612,0.85197115,1.4740497,1.8731241,1.6585042,1.6555815,-0.7045569,-0.36415976,0.9596126,1.1701708,-0.2105582
75,-1.5922618,-1.3966197,"('meek', 'impulsive')",-0.23209898,-0.014877692,0.12619647,0.2511506,-1.6885237,-1.4769567,-0.36354423,-0.3036417,-0.7500464,-0.588189,-0.1618574
83,1.5473588,1.4855494,"('powerless', 'powerful')",0.7094303,0.7053565,0.9348209,0.97237706,-0.22997755,-0.11113643,-1.1173257,-1.0996403,0.3688613,0.3905013,-0.02164
13,1.5266516,1.6420258,"('impolite', 'polite')",0.7967412,0.812921,1.4527363,1.3730562,1.183121,1.242549,-0.4359569,-0.33334455,0.9046587,0.9474415,-0.0427828
8,-1.4667752,-1.6974707,"('unaffectionate', 'affectionate')",-0.8231193,-0.92647207,-1.5072296,-1.8150474,-2.385693,-2.620565,0.019668069,-0.014010251,-1.2326299,-1.4147131,0.1820832
43,1.3465377,1.4004732,"('irresponsible', 'responsible')",0.89388436,0.90558994,1.0693593,1.119622,3.0133708,2.899348,1.1874497,1.2110764,1.5021204,1.5072219,-0.0051015
7,1.3412353,1.2377082,"('insensitive', 'sensitive')",0.50898045,0.46430206,1.5714576,1.3981153,1.8277447,1.5706066,1.0659263,0.9816235,1.263069,1.1304711,0.1325979
47,1.3255154,1.5207555,"('stupid', 'smart')",0.500501,0.5101188,0.9442316,1.0222385,1.4628681,1.4481503,5.9136357,5.8823156,2.0293503,2.0767159,-0.0473656
46,1.1565198,1.1918701,"('uncompetitive', 'competitive')",0.849841,0.715067,2.463344,2.3667574,1.4501846,1.2127862,-0.22376204,-0.31774336,1.1392255,1.0337475,0.105478
38,1.077941,0.8594304,"('untruthful', 'truthful')",0.43478853,0.24352585,0.45231688,0.20933871,-0.060165416,-0.009503469,-0.04743015,-0.18630917,0.3714901,0.2232964,0.1481937
68,-1.0731403,-1.3119293,"('dependent', 'independent')",-1.0349852,-1.150784,0.47645542,0.22873563,0.013116663,-0.17165509,-0.5689348,-0.78683305,-0.4374976,-0.6384932,0.2009956
33,1.069836,0.8657921,"('wrong', 'right')",1.3703926,1.1924468,-0.09647356,-0.6329788,-0.78392804,-1.0137073,-0.7284757,-0.9914238,0.1662703,-0.1159742,0.2822445
