,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.8259635,-3.0048852,"('unsympathetic', 'sympathetic')",-0.28786835,0.22419637,-1.5569159,-1.3903444,-0.1665715
69,2.2697372,2.251067,"('lazy', 'industrious')",-0.5615718,-1.0241733,0.8540827,0.6134468,0.2406359
45,-2.182798,-2.1690226,"('incompetent', 'competent')",-0.16809437,0.1213201,-1.1754462,-1.0238513,-0.1515949
57,-1.9333031,-1.7784383,"('unimaginative', 'imaginative')",-3.45984,-3.305934,-2.6965716,-2.5421863,-0.1543853
23,-1.8687308,-2.0398266,"('insincere', 'sincere')",6.264993,6.633668,2.1981311,2.2969208,-0.0987897
3,-1.8369136,-1.8290772,"('repellent', 'pleasant')",0.73430943,0.83259284,-0.5513021,-0.4982422,-0.0530599
86,-1.7515751,-1.6863852,"('uninfluential', 'influential')",-0.6873576,-0.33471707,-1.2194663,-1.0105511,-0.2089152
24,-1.6210188,-1.6711595,"('dishonest', 'honest')",0.5001459,0.64016277,-0.5604364,-0.5154984,-0.044938
13,-1.579297,-1.6111327,"('impolite', 'polite')",-0.49169806,-0.08529879,-1.0354975,-0.8482158,-0.1872817
65,-1.5584667,-1.5754395,"('insecure', 'secure')",-0.1600198,0.39597037,-0.8592432,-0.5897346,-0.2695086
7,-1.5301011,-1.4780205,"('insensitive', 'sensitive')",0.1636163,0.6215911,-0.6832424,-0.4282147,-0.2550277
72,-1.4523212,-1.401572,"('unambitious', 'ambitious')",-0.41012165,-0.121409774,-0.9312214,-0.7614909,-0.1697305
0,-1.4067622,-1.5549,"('unsociable', 'sociable')",-0.1038938,0.14323701,-0.755328,-0.7058315,-0.0494965
43,-1.3573965,-1.4821372,"('irresponsible', 'responsible')",0.481742,0.6210195,-0.4378272,-0.4305589,-0.0072683
58,-1.347738,-1.2943314,"('undiscriminating', 'discriminating')",-0.08213586,-0.050373156,-0.714937,-0.6723523,-0.0425847
35,1.3465971,1.3068495,"('corrupt', 'incorrupt')",-0.438891,-0.9373735,0.453853,0.184738,0.269115
28,-1.3054383,-1.2734412,"('disloyal', 'loyal')",1.0150802,1.1658133,-0.145179,-0.0538139,-0.0913651
53,-1.292408,-1.1290091,"('uncreative', 'creative')",0.54534405,0.6971776,-0.373532,-0.2159158,-0.1576162
11,-1.2722797,-1.4909097,"('unhelpful', 'helpful')",1.8220865,2.008341,0.2749034,0.2587157,0.0161877
46,-1.2675763,-1.291413,"('uncompetitive', 'competitive')",-0.937635,-0.47347507,-1.1026057,-0.882444,-0.2201617
14,-1.2562716,-1.3488529,"('antisocial', 'social')",-0.14852083,-0.096670635,-0.7023962,-0.7227618,0.0203656
55,-1.2107286,-1.178785,"('incompetent', 'clever')",0.42353833,0.89097476,-0.3935952,-0.1439051,-0.2496901
22,-1.1934935,-1.2446288,"('untrustworthy', 'trustworthy')",-1.3000009,-0.89453804,-1.2467473,-1.0695834,-0.1771639
41,-1.1814497,-1.1599967,"('unforgiving', 'forgiving')",-0.30198288,-0.46305078,-0.7417163,-0.8115238,0.0698075
70,-1.1802162,-1.1651565,"('lethargic', 'energetic')",-0.051438406,0.4962498,-0.6158273,-0.3344533,-0.281374
85,1.1200851,1.057802,"('insignificant', 'prestigious')",-0.19644669,-0.73462987,0.4618192,0.161586,0.3002332
