,covidien_male,covidien_female,tuple,plc_male,plc_female,average_male,average_female,male-female
86,-2.2306192,-2.1818244,"('uninfluential', 'influential')",0.17681625,-0.00815478,-1.0269015,-1.0949897,0.0680882
1,-2.1091523,-2.3872883,"('unfriendly', 'friendly')",1.7262361,1.2948391,-0.1914581,-0.5462246,0.3547665
10,-1.8799875,-1.7278088,"('unsympathetic', 'sympathetic')",-0.53330064,-0.5426454,-1.2066441,-1.1352271,-0.071417
27,-1.6844327,-1.738221,"('hardhearted', 'softhearted')",0.21595615,-0.12075601,-0.7342383,-0.9294885,0.1952502
18,-1.6629424,-1.6381289,"('disagreeable', 'welcoming')",-1.1213162,-1.141352,-1.3921293,-1.3897405,-0.0023888
69,1.6598991,1.338706,"('lazy', 'industrious')",0.31172922,0.110197484,0.9858142,0.7244518,0.2613624
9,-1.6533372,-1.8072761,"('unaffectionate', 'caring')",0.89717305,0.67349935,-0.3780821,-0.5668884,0.1888063
8,-1.5810388,-1.769299,"('unaffectionate', 'affectionate')",0.7560222,0.3613933,-0.4125083,-0.7039528,0.2914445
0,-1.5620188,-1.5724702,"('unsociable', 'sociable')",-0.5684246,-0.5338507,-1.0652217,-1.0531604,-0.0120613
23,-1.5284971,-1.4875872,"('insincere', 'sincere')",2.5639331,2.944155,0.517718,0.7282839,-0.2105659
13,-1.4651731,-1.4164977,"('impolite', 'polite')",-1.0413705,-0.73359823,-1.2532718,-1.075048,-0.1782238
45,-1.4105939,-1.3984252,"('incompetent', 'competent')",0.8673043,0.82792175,-0.2716448,-0.2852517,0.0136069
11,-1.358603,-1.0548651,"('unhelpful', 'helpful')",0.38610488,0.5132413,-0.4862491,-0.2708119,-0.2154372
43,-1.3362674,-1.1609164,"('irresponsible', 'responsible')",0.8374093,1.0887567,-0.249429,-0.0360799,-0.2133491
24,-1.333958,-1.2354369,"('dishonest', 'honest')",0.24983963,0.2711801,-0.5420592,-0.4821284,-0.0599308
51,-1.32071,-1.0530819,"('uneducated', 'educated')",-0.13399433,0.09441398,-0.7273521,-0.4793339,-0.2480182
73,1.2729073,1.331235,"('helpless', 'self-reliant')",-1.1997074,-1.619906,0.0365999,-0.1443354,0.1809353
32,-1.2538037,-1.1080685,"('unkind', 'kind')",-0.08964846,-0.00363414,-0.6717261,-0.5558513,-0.1158748
46,-1.1641533,-0.9863351,"('uncompetitive', 'competitive')",-0.33687714,-0.35200688,-0.7505152,-0.669171,-0.0813442
38,-1.1536471,-1.2171121,"('untruthful', 'truthful')",-0.027781349,0.0050198287,-0.5907142,-0.6060461,0.0153319
84,1.1523637,1.2462131,"('inferior', 'superior')",0.45013016,0.5377094,0.8012469,0.8919612,-0.0907143
48,-1.1495769,-1.1025649,"('unintelligent', 'intelligent')",-0.11180556,-0.12727,-0.6306912,-0.6149175,-0.0157737
63,-1.1463895,-1.1509408,"('unperceptive', 'insightful')",1.0434573,1.0260636,-0.0514661,-0.0624386,0.0109725
72,-1.1350693,-1.027104,"('unambitious', 'ambitious')",0.7164004,0.87075716,-0.2093344,-0.0781734,-0.131161
39,1.117359,1.1661187,"('exploitative', 'cooperative')",0.4536959,0.58568794,0.7855275,0.8759034,-0.0903759
57,-1.1014888,-1.2936717,"('unimaginative', 'imaginative')",-0.14254123,-0.71933603,-0.622015,-1.0065038,0.3844888
19,-1.0693402,-1.0201683,"('inhospitable', 'hospitable')",-0.6914576,-0.6763114,-0.8803989,-0.8482398,-0.0321591
82,-1.0589528,-0.7545389,"('poor', 'rich')",3.0242956,3.6792054,0.9826714,1.4623332,-0.4796618
41,-1.0548022,-1.150453,"('unforgiving', 'forgiving')",0.413604,0.3469145,-0.3205991,-0.4017692,0.0811701
21,-1.004587,-0.7537402,"('immoral', 'moral')",-1.3229805,-0.94979745,-1.1637838,-0.8517689,-0.3120149
60,-0.9978204,-0.6119526,"('inefficient', 'efficient')",-0.3695628,0.1698876,-0.6836916,-0.2210325,-0.4626591
35,0.98511755,0.74987775,"('corrupt', 'incorrupt')",-0.16879982,-0.32211223,0.4081589,0.2138828,0.1942761
55,-0.9742921,-0.60562074,"('incompetent', 'clever')",0.09265295,0.26653403,-0.4408196,-0.1695434,-0.2712762
53,-0.94952697,-1.0033869,"('uncreative', 'creative')",0.8694988,0.63512313,-0.0400141,-0.1841319,0.1441178
