,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.8186877,-3.0498633,"('unfriendly', 'friendly')",0.4293759,0.42497027,1.0471468,1.0032527,-0.4473883,-0.5405468,0.0931585
0,-1.6532482,-2.062078,"('unsociable', 'sociable')",0.71137047,0.378774,0.011008017,-0.22694767,-0.3102899,-0.6367506,0.3264607
31,-1.538296,-1.3441087,"('evil', 'good')",-0.9666466,-0.8158404,-1.622627,-1.6247635,-1.3758566,-1.2615709,-0.1142857
57,-1.4902903,-1.6333597,"('unimaginative', 'imaginative')",-0.34884354,-0.41163433,-3.1674426,-3.2328565,-1.6688588,-1.7592834,0.0904246
86,-1.4440703,-1.7206783,"('uninfluential', 'influential')",0.32398397,0.18486035,-0.15647504,-0.23716755,-0.4255205,-0.5909952,0.1654747
8,-1.4349694,-1.7264479,"('unaffectionate', 'affectionate')",-0.17581896,-0.17297524,0.25837177,0.15503107,-0.4508055,-0.581464,0.1306585
53,-1.4335266,-1.5294689,"('uncreative', 'creative')",-0.3575564,-0.34443808,0.4116261,0.4239382,-0.459819,-0.4833229,0.0235039
45,-1.373465,-1.5076402,"('incompetent', 'competent')",0.44286624,0.3270344,0.1808898,0.054109484,-0.249903,-0.3754988,0.1255958
26,-1.3636829,-1.729802,"('hardhearted', 'benevolent')",1.2548544,1.1340272,1.1692855,1.0805187,0.3534857,0.1615813,0.1919044
58,-1.3399793,-1.360892,"('undiscriminating', 'discriminating')",-0.7862552,-0.7926261,-0.07796467,-0.03493121,-0.7347331,-0.7294831,-0.00525
16,-1.0985557,-0.9217588,"('unpopular', 'popular')",-0.1318028,-0.052407075,-0.06353331,-0.15545332,-0.4312973,-0.3765397,-0.0547576
9,-1.0718614,-1.1644901,"('unaffectionate', 'caring')",1.1382654,1.2689418,1.132176,1.1434497,0.3995267,0.4159671,-0.0164404
61,-1.0380841,-1.1349509,"('illogical', 'logical')",0.19838274,0.11026348,0.7218091,0.6321706,-0.0392974,-0.1308389,0.0915415
19,-1.0354855,-0.8640189,"('inhospitable', 'hospitable')",0.66760284,0.69128877,-0.6343915,-0.4994074,-0.3340914,-0.2240459,-0.1100455
36,-0.99808836,-1.0160406,"('hostile', 'amicable')",-1.3200961,-1.163816,-0.6927972,-0.7635524,-1.0036605,-0.9811363,-0.0225242
44,0.97264445,1.0577939,"('prejudiced', 'unprejudiced')",-0.69538796,-0.6243352,-1.2965888,-1.3218416,-0.3397774,-0.2961277,-0.0436497
5,-0.9321617,-0.7435884,"('distant', 'outgoing')",0.6712529,0.93063694,-0.7025766,-0.5495876,-0.3211618,-0.1208464,-0.2003154
