,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.5594506,-3.7246428,"('unsympathetic', 'sympathetic')",-0.9887767,-1.1859329,0.039428778,0.57474524,-1.5029329,-1.4452769,-0.057656
69,2.9204314,3.0381613,"('lazy', 'industrious')",0.9665275,1.0059131,-0.9689197,-1.494026,0.9726797,0.8500162,0.1226635
45,-2.880192,-2.9829857,"('incompetent', 'competent')",-1.1535372,-1.344721,0.041947193,0.18858552,-1.330594,-1.379707,0.049113
43,-2.7679691,-2.8315659,"('irresponsible', 'responsible')",-1.256649,-1.2692798,0.30629295,0.7027664,-1.2394417,-1.1326931,-0.1067486
85,2.3791597,2.392082,"('insignificant', 'prestigious')",0.65740645,0.7579109,-0.5393522,-1.3045293,0.8324047,0.6151545,0.2172502
0,-2.2219644,-2.2173977,"('unsociable', 'sociable')",-0.52830094,-0.43116304,0.15466276,0.44223952,-0.8652008,-0.7354404,-0.1297604
23,-2.0839126,-2.265102,"('insincere', 'sincere')",-0.32018536,-0.56009275,5.345197,5.7804923,0.9803664,0.9850992,-0.0047328
13,-2.0830042,-2.1362114,"('impolite', 'polite')",-0.48350173,-0.4635576,-0.27311566,0.16799128,-0.9465405,-0.8105927,-0.1359478
35,2.062841,2.3090985,"('corrupt', 'incorrupt')",-0.39501572,-0.17097703,-1.1297809,-1.5277612,0.1793481,0.2034534,-0.0241053
70,-2.0176744,-2.2626731,"('lethargic', 'energetic')",-0.36119568,-0.57949007,0.748811,1.080188,-0.543353,-0.587325,0.043972
60,-2.0102136,-2.1384993,"('inefficient', 'efficient')",0.62369025,0.40534815,0.2097512,0.8999746,-0.3922574,-0.2777255,-0.1145319
55,-1.9763032,-1.9785038,"('incompetent', 'clever')",0.45889297,0.38907406,0.5246444,0.97278357,-0.330922,-0.2055487,-0.1253733
86,-1.8964559,-1.8386782,"('uninfluential', 'influential')",-0.07624446,-0.1401234,-0.04898699,0.09572977,-0.6738958,-0.6276906,-0.0462052
24,-1.8353864,-1.7847412,"('dishonest', 'honest')",-1.2900249,-1.1002384,0.9128385,1.1785332,-0.7375243,-0.5688155,-0.1687088
28,-1.828191,-1.5969824,"('disloyal', 'loyal')",0.044554614,0.18651757,1.3844197,1.5530405,-0.1330723,0.0475252,-0.1805975
56,-1.7905085,-1.6846765,"('impractical', 'practical')",-0.34168196,-0.29203916,-0.26144242,0.2384899,-0.7978776,-0.5794086,-0.218469
63,-1.783103,-2.0597527,"('unperceptive', 'insightful')",0.044227514,-0.25216132,0.9689647,0.94356173,-0.2566369,-0.4561174,0.1994805
11,-1.7803087,-1.8577313,"('unhelpful', 'helpful')",0.8509308,0.792368,2.2899024,2.804025,0.4535082,0.5795538,-0.1260456
57,-1.6939571,-1.5896611,"('unimaginative', 'imaginative')",-0.07523153,-0.17331266,-2.447114,-2.417294,-1.4054343,-1.3934226,-0.0120117
38,-1.6762197,-1.5957778,"('untruthful', 'truthful')",-0.9833443,-0.9105912,0.00013652258,-0.010488985,-0.8864758,-0.8389526,-0.0475232
46,-1.653456,-1.7569175,"('uncompetitive', 'competitive')",0.33410192,0.1874204,-0.39563644,0.06324077,-0.5716635,-0.5020854,-0.0695781
30,-1.6346769,-1.5992543,"('intolerant', 'tolerant')",1.2342465,1.2073275,0.5504351,0.67055136,0.0500016,0.0928749,-0.0428733
21,-1.6227527,-1.7680479,"('immoral', 'moral')",0.10009503,0.04546926,-0.59957767,-0.20348193,-0.7074118,-0.6420202,-0.0653916
75,1.6164818,1.635062,"('meek', 'impulsive')",0.09019469,0.1040642,-0.60924345,-1.0234382,0.365811,0.2385627,0.1272483
22,-1.5311244,-1.5767154,"('untrustworthy', 'trustworthy')",-0.8338497,-0.79202425,-0.8793071,-0.76241434,-1.081427,-1.043718,-0.037709
14,-1.5175384,-1.4271214,"('antisocial', 'social')",0.66584665,0.7716886,0.03496589,0.5010103,-0.272242,-0.0514742,-0.2207678
41,-1.4878231,-1.4144173,"('unforgiving', 'forgiving')",-0.8173833,-0.74892795,0.18855074,0.3143487,-0.7055519,-0.6163322,-0.0892197
36,1.4664135,1.6217109,"('hostile', 'amicable')",-0.6878417,-0.60893816,-0.3548613,-1.1444088,0.1412368,-0.0438787,0.1851155
3,-1.3957788,-1.512712,"('repellent', 'pleasant')",-0.08780034,-0.28936768,0.624559,0.83978623,-0.2863401,-0.3207645,0.0344244
65,-1.2882786,-1.4358068,"('insecure', 'secure')",-0.6435702,-0.724854,0.21858415,0.60697025,-0.5710882,-0.5178968,-0.0531914
32,-1.2647579,-1.2712661,"('unkind', 'kind')",-0.3593055,-0.38155434,0.92344034,1.0365127,-0.233541,-0.2054359,-0.0281051
73,1.2613358,1.2721033,"('helpless', 'self-reliant')",0.2954882,0.4249535,-3.3773475,-3.8352568,-0.6068411,-0.7127333,0.1058922
7,-1.2507842,-1.3750772,"('insensitive', 'sensitive')",0.35794258,0.20312707,0.64838403,0.92001325,-0.0814858,-0.083979,0.0024932
62,-1.2311227,-1.2256631,"('incompetent', 'brilliant')",0.54385084,0.46233746,0.52170545,0.8185998,-0.0551888,0.0184247,-0.0736135
51,-1.230954,-1.2800874,"('uneducated', 'educated')",0.15615651,0.14370048,0.96847343,0.9831625,-0.0354414,-0.0510748,0.0156334
31,1.1314089,1.2442409,"('evil', 'good')",-0.5626439,-0.5146506,-1.5584047,-1.9792849,-0.3298799,-0.4165649,0.086685
25,1.0785583,1.1624925,"('egoistic', 'altruistic')",0.70480543,0.7278175,0.47155258,0.033171747,0.7516388,0.6411606,0.1104782
81,-1.077078,-1.2001675,"('submissive', 'aggressive')",0.932708,0.8300798,-0.046382263,0.4192286,-0.0635841,0.0163803,-0.0799644
74,-1.0333332,-1.0771183,"('undedicated', 'dedicated')",-0.122097984,-0.16320202,-0.028192626,0.04762996,-0.3945413,-0.3975635,0.0030222
27,-1.010859,-1.1158857,"('hardhearted', 'softhearted')",0.11944102,-0.12558652,0.96407235,0.675196,0.0242181,-0.1887588,0.2129769
76,-0.94942814,-1.1102006,"('anxious', 'daring')",-0.2311693,-0.37772468,0.16400117,0.5320451,-0.3388654,-0.3186267,-0.0202387
33,0.94774556,1.0755234,"('wrong', 'right')",0.32801265,0.37977317,-0.9366757,-1.2317587,0.1130275,0.0745126,0.0385149
