,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,3.7629056,3.0498106,"('inefficient', 'efficient')",1.159647,0.82818776,2.4612763,1.9389992,0.5222771
52,-3.244182,-2.722673,"('irrational', 'rational')",-0.6851491,-0.5226438,-1.9646657,-1.6226584,-0.3420073
31,-3.0607064,-2.2367866,"('evil', 'good')",-1.5178349,-1.3188171,-2.2892706,-1.7778019,-0.5114687
56,2.8483002,2.3715312,"('impractical', 'practical')",0.45231417,0.3138158,1.6503072,1.3426735,0.3076337
23,2.586444,2.2525163,"('insincere', 'sincere')",6.214861,5.9524145,4.4006524,4.1024656,0.2981868
36,-2.4328535,-1.8762897,"('hostile', 'amicable')",-0.67940414,-0.5852837,-1.5561287,-1.2307867,-0.325342
75,-2.3446074,-2.0421634,"('meek', 'impulsive')",-0.7113716,-0.62467945,-1.5279895,-1.3334215,-0.194568
66,-2.2677393,-1.8009917,"('inactive', 'active')",-0.04908511,0.20716874,-1.1584122,-0.7969115,-0.3615007
62,2.226742,1.9809012,"('incompetent', 'brilliant')",0.8622322,0.68772334,1.5444871,1.3343123,0.2101748
7,2.142738,1.9524565,"('insensitive', 'sensitive')",0.7737631,0.6676194,1.4582506,1.310038,0.1482126
4,-2.106042,-1.6061268,"('disliked', 'liked')",-6.35129,-6.496428,-4.2286663,-4.0512772,-0.1773891
6,-2.0810893,-1.5074747,"('distant', 'open')",-0.17755854,-0.11485571,-1.129324,-0.8111652,-0.3181588
16,-1.9977733,-1.6728138,"('unpopular', 'popular')",0.083805695,0.10300563,-0.9569838,-0.7849041,-0.1720797
48,1.977914,1.7039137,"('unintelligent', 'intelligent')",1.2507689,1.1512215,1.6143415,1.4275676,0.1867739
35,-1.9393965,-1.6548998,"('corrupt', 'incorrupt')",-0.7017613,-0.4937597,-1.3205789,-1.0743297,-0.2462492
10,1.9385914,1.7616285,"('unsympathetic', 'sympathetic')",-0.21585655,-0.29515335,0.8613674,0.7332376,0.1281298
43,1.8757253,1.6790009,"('irresponsible', 'responsible')",0.8837211,0.6877007,1.3797232,1.1833508,0.1963724
81,1.7763848,1.370499,"('submissive', 'aggressive')",-0.17337826,-0.32221985,0.8015033,0.5241396,0.2773637
24,1.7276366,1.8589033,"('dishonest', 'honest')",0.88020587,0.8743402,1.3039212,1.3666217,-0.0627005
55,1.6684952,1.3504204,"('incompetent', 'clever')",0.29808706,0.23053332,0.9832911,0.7904769,0.1928142
5,-1.6419209,-1.243345,"('distant', 'outgoing')",-0.28715,-0.32586312,-0.9645355,-0.7846041,-0.1799314
65,1.6319728,1.0597324,"('insecure', 'secure')",0.08399119,-0.07605317,0.857982,0.4918396,0.3661424
72,1.6194932,1.4975278,"('unambitious', 'ambitious')",-0.698576,-0.8566005,0.4604586,0.3204637,0.1399949
19,-1.6129452,-1.343803,"('inhospitable', 'hospitable')",-0.18213353,0.033580765,-0.8975394,-0.6551111,-0.2424283
13,1.612298,1.3112012,"('impolite', 'polite')",-0.22649264,-0.36512345,0.6929027,0.4730389,0.2198638
30,1.6074371,1.4273995,"('intolerant', 'tolerant')",1.3241407,1.3053175,1.4657888,1.3663585,0.0994303
59,-1.6012185,-1.4263629,"('foolish', 'wise')",0.49313003,0.46521848,-0.5540442,-0.4805722,-0.073472
70,1.5149223,1.1905459,"('lethargic', 'energetic')",0.70059866,0.590682,1.1077604,0.890614,0.2171464
21,1.5035607,1.2484244,"('immoral', 'moral')",-0.2143335,-0.3325199,0.6446136,0.4579523,0.1866613
32,1.3319545,1.2535715,"('unkind', 'kind')",1.1593157,0.9603088,1.245635,1.1069402,0.1386948
14,1.315136,1.2297652,"('antisocial', 'social')",-0.7902015,-0.8369608,0.2624672,0.1964022,0.066065
86,1.2988517,1.2451959,"('uninfluential', 'influential')",0.037158336,-0.13368556,0.668005,0.5557551,0.1122499
85,-1.2597935,-0.51464915,"('insignificant', 'prestigious')",-0.24411279,-0.013731103,-0.7519531,-0.2641901,-0.487763
44,-1.2345332,-1.3606397,"('prejudiced', 'unprejudiced')",-1.3612709,-1.3415599,-1.2979021,-1.3510997,0.0531976
11,1.2301329,0.965186,"('unhelpful', 'helpful')",2.5562944,2.4696417,1.8932137,1.7174139,0.1757998
39,1.2276287,1.1935016,"('exploitative', 'cooperative')",0.074475676,-0.010018382,0.6510522,0.5917416,0.0593106
27,1.2148491,1.3080456,"('hardhearted', 'softhearted')",1.3467094,1.4024714,1.2807792,1.3552585,-0.0744793
29,-1.212546,-1.0136747,"('unfair', 'fair')",-0.41924486,-0.29863164,-0.8158954,-0.6561532,-0.1597422
79,-1.1707815,-0.78287417,"('wavering', 'unwavering')",-0.33259067,-0.23355128,-0.7516861,-0.5082127,-0.2434734
63,1.1608129,0.9390175,"('unperceptive', 'insightful')",1.5705478,1.2324594,1.3656803,1.0857384,0.2799419
76,1.1600456,0.81670284,"('anxious', 'daring')",0.4457195,0.3240588,0.8028826,0.5703808,0.2325018
9,1.0796691,1.2029184,"('unaffectionate', 'caring')",1.1696432,1.1471093,1.1246562,1.1750138,-0.0503576
28,1.0397689,1.0915707,"('disloyal', 'loyal')",1.2097069,1.0853744,1.124738,1.0884726,0.0362654
0,0.9981362,0.92229164,"('unsociable', 'sociable')",-0.0076681916,-0.17070323,0.495234,0.3757942,0.1194398
12,0.99066377,1.0689946,"('unsupportive', 'supportive')",-1.3370023,-1.5190196,-0.1731693,-0.2250125,0.0518432
17,-0.9630784,-0.7055476,"('nasty', 'nice')",-0.5848166,-0.4668155,-0.7739475,-0.5861815,-0.187766
