,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
36,-4.9136767,-3.6462493,"('hostile', 'amicable')",-2.1524367,-2.0802028,0.08163746,0.30999595,-2.3281587,-1.8054852,-0.5226735
60,4.8926687,4.3378763,"('inefficient', 'efficient')",1.6509635,1.7824676,-0.16063388,-0.32796925,2.1276662,1.9307917,0.1968745
81,4.593965,3.3934798,"('submissive', 'aggressive')",1.8639982,1.7445931,-0.43362078,-0.68077385,2.008114,1.4857664,0.5223476
14,4.582073,3.947362,"('antisocial', 'social')",1.887386,1.7873783,-0.25926572,-0.47039142,2.0700644,1.754783,0.3152814
10,4.43819,3.5067186,"('unsympathetic', 'sympathetic')",1.4789408,1.2467203,0.38389128,0.24346142,2.1003407,1.6656335,0.4347072
31,-4.3543444,-3.2885878,"('evil', 'good')",-1.0971059,-1.2055135,-0.869519,-0.6146308,-2.1069899,-1.7029107,-0.4040792
55,4.349888,3.3620906,"('incompetent', 'clever')",1.5608687,1.4572922,0.1434769,0.013092112,2.0180779,1.6108249,0.407253
85,-4.1892395,-3.2983258,"('insignificant', 'prestigious')",-0.43314293,-0.32223767,0.3568671,0.78946704,-1.4218384,-0.9436988,-0.4781396
56,4.1410527,3.77222,"('impractical', 'practical')",1.2412218,1.1041981,-0.28482556,-0.43655702,1.6991498,1.4799538,0.219196
70,4.1135364,3.1064982,"('lethargic', 'energetic')",1.652773,1.4670905,1.0193762,0.7776331,2.2618952,1.7837407,0.4781545
35,-3.9741986,-3.1144307,"('corrupt', 'incorrupt')",-2.3105006,-2.1880128,-0.42137116,-0.23035784,-2.2353568,-1.8442671,-0.3910897
46,3.9031377,2.6637332,"('uncompetitive', 'competitive')",2.3326845,2.3340757,-0.52649885,-0.55848074,1.9031078,1.4797761,0.4233317
52,-3.5835822,-3.0508828,"('irrational', 'rational')",-1.2524589,-1.072747,-0.25314853,-0.018234566,-1.6963965,-1.3806214,-0.3157751
80,3.5250704,2.3812342,"('dominated', 'dominating')",0.9442704,0.858784,-0.71244705,-1.0512624,1.2522979,0.7295853,0.5227126
6,-3.473341,-2.8998399,"('distant', 'open')",-1.6741407,-1.6570716,0.49101835,0.70695055,-1.5521545,-1.2833203,-0.2688342
86,3.4467037,2.5829132,"('uninfluential', 'influential')",1.0807402,0.8134096,0.52988786,0.23459601,1.6857772,1.2103062,0.475471
16,-3.325829,-3.2966046,"('unpopular', 'popular')",-1.5211555,-1.4737575,-0.007959679,0.22567174,-1.6183147,-1.5148967,-0.103418
62,3.2119775,2.2666023,"('incompetent', 'brilliant')",1.3722107,1.4243201,-0.037348844,-0.14046346,1.5156132,1.1834863,0.3321269
51,3.2070646,2.7106874,"('uneducated', 'educated')",1.0848054,0.89257604,0.52582854,0.50070024,1.6058995,1.367988,0.2379115
76,3.2025986,2.4463089,"('anxious', 'daring')",1.1241125,1.0332729,0.087619655,0.005171518,1.4714437,1.1615845,0.3098592
5,-3.1531758,-2.7702072,"('distant', 'outgoing')",-1.1678874,-1.2333184,-0.2185719,-0.08732347,-1.5132116,-1.3636165,-0.1495951
7,3.1513617,2.4670775,"('insensitive', 'sensitive')",0.9303583,0.89078206,1.4821594,1.3997986,1.8546263,1.585886,0.2687403
21,3.1131878,2.574649,"('immoral', 'moral')",1.0606984,1.2082732,-0.6471659,-0.75252897,1.1755735,1.0101311,0.1654424
69,-3.1062553,-2.329739,"('lazy', 'industrious')",-0.304422,-0.25800842,-0.7073103,-0.6328607,-1.3726625,-1.0735361,-0.2991264
12,2.9274254,2.5354338,"('unsupportive', 'supportive')",1.591382,1.4036211,-1.1780319,-1.1498473,1.1135918,0.9297359,0.1838559
59,-2.7617793,-2.1788592,"('foolish', 'wise')",-0.86700547,-0.84938085,-0.07721313,0.20526259,-1.2353326,-0.9409925,-0.2943401
43,2.6889405,2.4032931,"('irresponsible', 'responsible')",0.66619426,0.7460432,0.69123507,0.7303356,1.3487899,1.293224,0.0555659
63,2.6480355,1.9941155,"('unperceptive', 'insightful')",1.6307524,1.530595,1.1854498,1.1674821,1.8214127,1.5640642,0.2573485
0,2.600615,2.411469,"('unsociable', 'sociable')",0.7968724,0.6731447,-0.4805423,-0.6073258,0.972315,0.8257627,0.1465523
4,-2.548429,-2.3656173,"('disliked', 'liked')",-0.3780953,-0.40845332,-6.4398413,-6.2384744,-3.1221218,-3.0041815,-0.1179403
65,2.5091677,2.2800088,"('insecure', 'secure')",0.7116026,0.60784465,-0.17662689,-0.34860808,1.0147145,0.8464151,0.1682994
79,-2.4681425,-2.1724484,"('wavering', 'unwavering')",-1.0070547,-1.2305406,0.09004951,0.12318928,-1.1283826,-1.0932666,-0.035116
45,2.4469094,1.8173715,"('incompetent', 'competent')",1.3226843,1.0649318,0.07762383,-0.088701084,1.2824059,0.9312007,0.3512052
23,2.4076889,2.046895,"('insincere', 'sincere')",0.32980993,0.45350862,5.7372365,5.7999296,2.8249118,2.7667777,0.0581341
75,-2.391146,-2.5540752,"('meek', 'impulsive')",-0.9087651,-0.9358427,-0.5110591,-0.57428306,-1.2703234,-1.3547336,0.0844102
13,2.336688,2.3809292,"('impolite', 'polite')",0.7435948,0.87569827,-0.1012802,-0.14063886,0.9930009,1.0386629,-0.045662
44,-2.2281308,-2.3384583,"('prejudiced', 'unprejudiced')",-1.4390192,-1.2905245,-1.5619444,-1.6554583,-1.7430315,-1.7614803,0.0184488
57,2.19593,1.2234809,"('unimaginative', 'imaginative')",0.7861994,0.576725,-2.0797565,-2.1460598,0.3007909,-0.1152846,0.4160755
74,2.1725962,2.0026124,"('undedicated', 'dedicated')",1.2780942,1.1894578,0.6484944,0.57663137,1.3663948,1.2562338,0.110161
72,2.0507388,1.9572839,"('unambitious', 'ambitious')",0.1124824,0.09170282,-0.64834654,-0.7553927,0.5049582,0.431198,0.0737602
11,2.0039177,1.3791505,"('unhelpful', 'helpful')",0.76185286,0.82819384,1.993343,1.9602089,1.5863711,1.3891843,0.1971868
30,2.0022335,1.8542563,"('intolerant', 'tolerant')",2.141206,2.0734806,0.9000901,0.8826257,1.6811765,1.6034541,0.0777224
19,-1.9184493,-1.2120625,"('inhospitable', 'hospitable')",-0.8871895,-0.7891203,0.12338851,0.2761873,-0.8940834,-0.5749985,-0.3190849
25,-1.8229765,-1.3341827,"('egoistic', 'altruistic')",0.50346076,0.7009116,1.3299913,1.5310199,0.0034919,0.2992496,-0.2957577
39,1.7976046,2.055454,"('exploitative', 'cooperative')",0.58149576,0.88525414,0.56896824,0.5683109,0.9826895,1.169673,-0.1869835
22,1.7465903,1.280011,"('untrustworthy', 'trustworthy')",0.35705572,0.33116397,-0.77671295,-0.94692963,0.442311,0.2214151,0.2208959
87,1.6866767,1.3544016,"('unsuccessful', 'successful')",1.9007251,1.9921889,0.9807337,1.0072098,1.5227119,1.4512668,0.0714451
20,1.638219,1.1765304,"('rough', 'thoughtful')",-0.35838845,-0.25313738,1.0153686,1.0967124,0.7650664,0.6733685,0.0916979
8,-1.6185392,-0.97219545,"('unaffectionate', 'affectionate')",-0.20789881,-0.09242569,0.9867948,1.1480383,-0.2798811,0.0278057,-0.3076868
32,1.6078982,1.7207044,"('unkind', 'kind')",0.8850294,0.8675268,1.2153407,1.1869142,1.2360894,1.2583818,-0.0222924
29,-1.5828625,-1.3783205,"('unfair', 'fair')",-1.7790449,-1.7685151,-0.4710349,-0.37278455,-1.2776475,-1.1732067,-0.1044408
77,1.552064,0.9728864,"('unmotivated', 'motivated')",0.06866749,0.32766932,-1.2514937,-1.1711234,0.1230793,0.0431441,0.0799352
24,1.5451478,1.6086671,"('dishonest', 'honest')",-0.3565363,-0.22098339,1.0146488,1.1067878,0.7344201,0.8314905,-0.0970704
67,1.3777628,1.2898146,"('doubtful', 'determined')",-0.35257402,-0.3550017,-0.75270724,-0.7801431,0.0908272,0.0515566,0.0392706
48,1.364248,1.1042607,"('unintelligent', 'intelligent')",-0.06464661,-0.14713831,-0.061114773,0.08115335,0.4128289,0.3460919,0.066737
37,1.3317524,1.0166961,"('fake', 'genuine')",0.055092514,0.06983937,0.77786297,0.7676771,0.7215693,0.6180708,0.1034985
1,-1.1879411,-0.7542379,"('unfriendly', 'friendly')",-0.2541068,-0.16884297,1.6370821,2.1287906,0.0650114,0.4019032,-0.3368918
73,-1.1654385,-1.1438012,"('helpless', 'self-reliant')",0.27412772,0.25107765,-3.0315828,-3.0088317,-1.3076312,-1.3005184,-0.0071128
42,1.1288927,0.493842,"('unreliable', 'reliable')",0.42502773,0.16801497,-2.363327,-2.396385,-0.2698022,-0.578176,0.3083738
3,1.1215754,0.80367136,"('repellent', 'pleasant')",0.8854945,0.9362999,0.3708862,0.37938154,0.792652,0.7064509,0.0862011
50,-1.0911726,-0.9221768,"('clumsy', 'skillful')",-0.4461796,-0.47328928,-0.06560846,0.14757684,-0.5343202,-0.4159631,-0.1183571
26,1.0792936,1.1033286,"('hardhearted', 'benevolent')",2.4708357,2.2853866,2.021,2.133926,1.8570431,1.8408804,0.0161627
66,-1.0510172,-1.1339154,"('inactive', 'active')",-0.49123758,-0.34967273,1.1450995,1.2624608,-0.1323851,-0.0737091,-0.058676
61,0.9674716,0.7562117,"('illogical', 'logical')",-0.20137991,-0.2779129,0.34093478,0.21664932,0.3690088,0.2316494,0.1373594
41,0.9305209,1.4217514,"('unforgiving', 'forgiving')",0.2423492,0.29196104,0.44261867,0.53160655,0.5384963,0.7484396,-0.2099433
47,0.88426673,0.5237527,"('stupid', 'smart')",0.062265165,-0.03596301,5.078125,4.9053364,2.0082189,1.7977087,0.2105102
88,0.8801551,0.8794746,"('low', 'eminent')",0.56326514,0.67492497,0.1597732,0.26513794,0.5343978,0.6065125,-0.0721147
40,0.8149851,0.34912038,"('stingy', 'generous')",1.1439381,1.0682416,-0.8994382,-0.6868576,0.3531617,0.2435015,0.1096602
28,0.81255186,0.7915493,"('disloyal', 'loyal')",0.2026127,0.25099483,0.9224756,1.0029292,0.6458801,0.6818244,-0.0359443
17,-0.8109817,-0.8657835,"('nasty', 'nice')",-0.76117826,-0.75432754,-0.29334077,-0.3548094,-0.6218336,-0.6583068,0.0364732
33,-0.7304335,-0.5348005,"('wrong', 'right')",-0.06163788,0.046531074,-0.30829614,-0.19321367,-0.3667892,-0.227161,-0.1396282
49,-0.7262528,-0.85412824,"('unable', 'able')",-0.69637,-0.66264826,-0.57171,-0.7731937,-0.6647776,-0.7633235,0.0985459
84,0.71356916,0.7870387,"('inferior', 'superior')",-0.58889323,-0.5085551,0.41028205,0.5467436,0.1783193,0.2750757,-0.0967564
78,0.6589352,0.3346223,"('nonresilient', 'resilient')",0.9936073,0.85872054,0.12899745,0.21978468,0.5938466,0.4710425,0.1228041
64,0.6327994,0.28889078,"('shy', 'confident')",0.7574374,0.80091304,-6.6170216,-6.699075,-1.7422616,-1.8697572,0.1274956
