,state_male,state_female,tuple,street_male,street_female,corp_male,corp_female,average_male,average_female,male-female
73,1.8646234,1.9072491,"('helpless', 'self-reliant')",0.08453017,0.049280412,-3.4522722,-3.3762064,-0.5010395,-0.4732256,-0.0278139
78,-1.5556518,-1.3172445,"('nonresilient', 'resilient')",-0.5848763,-0.46715775,-0.08221823,-0.3636741,-0.7409155,-0.7160254,-0.0248901
46,-1.4964874,-1.4448566,"('uncompetitive', 'competitive')",0.87795705,1.0617812,-0.59019256,0.033087723,-0.4029076,-0.1166626,-0.286245
53,-1.4812827,-1.3751215,"('uncreative', 'creative')",-1.1351852,-1.0281883,0.17051488,0.047295474,-0.8153177,-0.7853381,-0.0299796
77,-1.3263074,-1.2939882,"('unmotivated', 'motivated')",-0.7298698,-0.70079887,-1.3568214,-1.2721434,-1.1376662,-1.0889769,-0.0486893
33,1.2814986,1.2277057,"('wrong', 'right')",-0.6526288,-0.74080884,-0.5772023,-0.8335037,0.0172225,-0.1155356,0.1327581
26,1.2233305,1.0527315,"('hardhearted', 'benevolent')",1.1201707,1.1588607,1.6163586,1.016879,1.3199533,1.0761571,0.2437962
82,-1.1741096,-0.81854814,"('poor', 'rich')",-0.34674433,-0.031274438,5.998046,6.164304,1.4923973,1.7714938,-0.2790965
84,1.0408201,1.0810424,"('inferior', 'superior')",-0.87063175,-1.0007733,-0.17859726,-0.43422136,-0.002803,-0.1179841,0.1151811
20,-0.972866,-0.92129564,"('rough', 'thoughtful')",-0.116017796,-0.11913216,0.2993624,0.2394729,-0.2631738,-0.266985,0.0038112
30,0.9673818,1.0259913,"('intolerant', 'tolerant')",0.973184,1.1193516,0.74267703,1.1233965,0.8944143,1.0895797,-0.1951654
55,-0.96425337,-0.8062742,"('incompetent', 'clever')",1.2251832,1.3277874,0.9935967,1.7378882,0.4181755,0.7531338,-0.3349583
50,-0.96316576,-0.86344707,"('clumsy', 'skillful')",-0.707019,-0.786068,0.09670507,-0.095834374,-0.5244932,-0.5817832,0.05729
17,0.94677037,1.0957892,"('nasty', 'nice')",-0.26945224,-0.2114017,-0.32653,-0.34726858,0.1169294,0.1790396,-0.0621102
67,0.9402784,0.78664595,"('doubtful', 'determined')",0.47858754,0.25470695,-0.334136,-0.28940684,0.3615766,0.2506487,0.1109279
68,-0.8640066,-0.6407391,"('dependent', 'independent')",-0.34098047,-0.25900304,-1.0005796,-0.9231283,-0.7351889,-0.6076235,-0.1275654
85,0.84199667,0.758324,"('insignificant', 'prestigious')",-1.6958375,-1.7909533,-1.2431178,-2.1683629,-0.6989862,-1.0669974,0.3680112
60,-0.83793676,-0.816359,"('inefficient', 'efficient')",1.5764409,1.8237337,0.9572212,1.9374529,0.5652418,0.9816092,-0.4163674
15,0.7836847,0.84060436,"('boring', 'funny')",0.8583709,0.9109051,-0.008944485,-0.14743122,0.5443703,0.5346927,0.0096776
86,-0.7503577,-0.68655133,"('uninfluential', 'influential')",0.57463527,0.7726904,0.36106858,0.5756922,0.0617821,0.2206104,-0.1588283
16,-0.7471509,-0.600543,"('unpopular', 'popular')",-1.5537871,-1.4623815,-0.47537115,-0.73192346,-0.9254364,-0.931616,0.0061796
42,0.73499113,0.80222976,"('unreliable', 'reliable')",0.19016054,0.27113667,-2.4652586,-2.046347,-0.513369,-0.3243268,-0.1890422
12,0.7290964,0.48409587,"('unsupportive', 'supportive')",0.45862913,0.34761292,-1.4578876,-1.2634062,-0.090054,-0.1438991,0.0538451
6,0.7154562,0.6721989,"('distant', 'open')",-0.5911936,-0.54540205,-0.79438585,-1.2141576,-0.2233744,-0.3624536,0.1390792
39,0.710562,0.4505114,"('exploitative', 'cooperative')",0.9402197,0.95728004,0.49820116,0.5810365,0.7163276,0.6629426,0.053385
59,0.6587015,0.5944281,"('foolish', 'wise')",-0.6515881,-0.6735832,-0.4786242,-0.7680673,-0.1571703,-0.2824075,0.1252372
10,-0.65002066,-0.66845423,"('unsympathetic', 'sympathetic')",0.81536627,0.82438815,0.86703265,1.4298123,0.3441261,0.5285821,-0.184456
36,-0.6368778,-0.513854,"('hostile', 'amicable')",-1.5826424,-1.629085,-1.3109812,-2.1156847,-1.1768338,-1.4195414,0.2427076
79,0.6346511,0.8184452,"('wavering', 'unwavering')",-0.90204316,-0.8243876,-0.6233477,-1.1136407,-0.2969132,-0.3731944,0.0762812
34,-0.6161719,-0.330522,"('mean', 'honorable')",0.7019636,0.9992333,5.2630615,5.009445,1.782951,1.8927188,-0.1097678
64,-0.57293713,-0.42304066,"('shy', 'confident')",-0.8573973,-0.78025246,-6.540902,-5.7556863,-2.6570789,-2.3196599,-0.337419
49,-0.5354093,-0.3804957,"('unable', 'able')",-1.2207421,-1.197776,-0.06367251,-0.10564628,-0.606608,-0.561306,-0.045302
65,-0.52976215,-0.2603981,"('insecure', 'secure')",0.44828406,0.6949438,0.7021558,1.2907495,0.2068926,0.5750984,-0.3682058
72,-0.50555396,-0.4872758,"('unambitious', 'ambitious')",-0.22862515,-0.020825189,0.29760426,0.96595544,-0.145525,0.1526181,-0.2981431
14,0.49746028,0.5309442,"('antisocial', 'social')",1.3919314,1.4908769,0.36264625,0.79816693,0.7506793,0.939996,-0.1893167
41,0.4253157,0.20629047,"('unforgiving', 'forgiving')",1.0282913,0.9410533,-0.05134782,0.21211633,0.4674197,0.4531534,0.0142663
