,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-4.381998,-4.0225697,"('disliked', 'liked')",-4.3819981,-4.0225697,-0.3594284
64,-3.8621285,-3.6983728,"('shy', 'confident')",-3.8621285,-3.6983728,-0.1637557
23,3.4336672,3.5430417,"('insincere', 'sincere')",3.4336672,3.5430417,-0.1093745
82,3.2239804,3.36279,"('poor', 'rich')",3.2239804,3.3627901,-0.1388097
47,3.1072614,3.0151334,"('stupid', 'smart')",3.1072614,3.0151334,0.092128
34,3.0025427,2.933426,"('mean', 'honorable')",3.0025427,2.9334259,0.0691168
57,-1.944279,-1.3807974,"('unimaginative', 'imaginative')",-1.944279,-1.3807974,-0.5634816
11,1.7782202,2.251647,"('unhelpful', 'helpful')",1.7782202,2.251647,-0.4734268
31,-1.6517352,-1.8152367,"('evil', 'good')",-1.6517352,-1.8152367,0.1635015
73,-1.2836593,-1.391116,"('helpless', 'self-reliant')",-1.2836593,-1.391116,0.1074567
17,-1.106723,-0.9291575,"('nasty', 'nice')",-1.106723,-0.9291575,-0.1775655
35,-1.0923933,-1.3717618,"('corrupt', 'incorrupt')",-1.0923933,-1.3717618,0.2793685
40,-1.0749185,-1.126407,"('stingy', 'generous')",-1.0749185,-1.126407,0.0514885
9,1.0464791,1.015621,"('unaffectionate', 'caring')",1.0464791,1.0156209,0.0308582
42,-1.003183,-0.9700752,"('unreliable', 'reliable')",-1.003183,-0.9700752,-0.0331078
1,0.93488926,0.9607366,"('unfriendly', 'friendly')",0.9348893,0.9607366,-0.0258473
2,0.90337414,1.0974185,"('unlikable', 'likable')",0.9033741,1.0974185,-0.1940444
24,0.86005616,1.0861024,"('dishonest', 'honest')",0.8600562,1.0861024,-0.2260462
62,0.78218615,1.1365027,"('incompetent', 'brilliant')",0.7821862,1.1365027,-0.3543165
71,0.7788515,0.8132424,"('diffident', 'self-confident')",0.7788515,0.8132424,-0.0343909
12,-0.72885644,-0.5106381,"('unsupportive', 'supportive')",-0.7288564,-0.5106381,-0.2182183
54,0.70810354,0.5252571,"('incapable', 'capable')",0.7081035,0.5252571,0.1828464
7,0.6772587,1.119649,"('insensitive', 'sensitive')",0.6772587,1.1196491,-0.4423904
70,0.6591293,0.9870219,"('lethargic', 'energetic')",0.6591293,0.9870219,-0.3278926
84,0.65571165,0.60897446,"('inferior', 'superior')",0.6557117,0.6089745,0.0467372
19,-0.6174224,-0.5707964,"('inhospitable', 'hospitable')",-0.6174224,-0.5707964,-0.046626
0,-0.60108083,-0.21668828,"('unsociable', 'sociable')",-0.6010808,-0.2166883,-0.3843925
27,0.59535134,0.56732637,"('hardhearted', 'softhearted')",0.5953513,0.5673264,0.0280249
33,0.59107345,0.22882423,"('wrong', 'right')",0.5910735,0.2288242,0.3622493
60,0.582091,0.83949333,"('inefficient', 'efficient')",0.582091,0.8394933,-0.2574023
50,0.5584581,0.27315646,"('clumsy', 'skillful')",0.5584581,0.2731565,0.2853016
45,-0.554331,-0.06343225,"('incompetent', 'competent')",-0.554331,-0.0634322,-0.4908988
13,-0.5386206,0.053807996,"('impolite', 'polite')",-0.5386206,0.053808,-0.5924286
36,-0.5033184,-1.0222472,"('hostile', 'amicable')",-0.5033184,-1.0222472,0.5189288
22,-0.475236,-0.3692855,"('untrustworthy', 'trustworthy')",-0.475236,-0.3692855,-0.1059505
28,0.4675269,0.7213278,"('disloyal', 'loyal')",0.4675269,0.7213278,-0.2538009
14,-0.46565914,0.107320055,"('antisocial', 'social')",-0.4656591,0.1073201,-0.5729792
79,-0.46318522,-0.4931757,"('wavering', 'unwavering')",-0.4631852,-0.4931757,0.0299905
85,-0.4551455,-0.7869037,"('insignificant', 'prestigious')",-0.4551455,-0.7869037,0.3317582
59,0.45318416,0.107415795,"('foolish', 'wise')",0.4531842,0.1074158,0.3457684
