,noble_male,noble_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,2.8821354,2.546588,"('inefficient', 'efficient')",1.333772,1.4293048,2.1079535,1.9879464,0.1200071
62,2.8145556,2.6782088,"('incompetent', 'brilliant')",1.2781962,1.25367,2.046376,1.9659394,0.0804366
76,2.7257125,2.4131408,"('anxious', 'daring')",0.77142954,1.0711007,1.748571,1.7421207,0.0064503
39,2.3999631,2.2675908,"('exploitative', 'cooperative')",0.23266326,0.096774414,1.3163131,1.1821826,0.1341305
55,2.3018432,2.1603458,"('incompetent', 'clever')",1.3185942,1.4313464,1.8102187,1.7958461,0.0143726
24,2.0439692,1.8977487,"('dishonest', 'honest')",0.6424208,0.7085368,1.343195,1.3031428,0.0400522
31,-2.0257268,-1.602491,"('evil', 'good')",-2.192913,-2.3957465,-2.1093199,-1.9991188,-0.1102011
20,1.9611765,1.8734119,"('rough', 'thoughtful')",0.80671084,0.6086216,1.3839437,1.2410167,0.142927
2,1.9185771,2.3387535,"('unlikable', 'likable')",0.2754567,0.26380727,1.0970169,1.3012804,-0.2042635
37,1.8944643,1.4892488,"('fake', 'genuine')",0.4363544,0.23675363,1.1654093,0.8630012,0.3024081
48,1.8120253,1.5108106,"('unintelligent', 'intelligent')",0.97391057,0.9333327,1.3929679,1.2220716,0.1708963
16,-1.7686638,-1.2844493,"('unpopular', 'popular')",-0.03671226,-0.2303349,-0.902688,-0.7573921,-0.1452959
23,1.7034745,1.4860333,"('insincere', 'sincere')",7.101269,7.1998525,4.4023714,4.3429427,0.0594287
7,1.6848533,1.4626771,"('insensitive', 'sensitive')",1.2981938,1.0256838,1.4915235,1.2441804,0.2473431
10,1.6078014,1.4052799,"('unsympathetic', 'sympathetic')",0.82218885,1.0182662,1.2149951,1.211773,0.0032221
21,1.580701,1.2290058,"('immoral', 'moral')",0.66993576,0.7860516,1.1253184,1.0075287,0.1177897
70,1.5713962,1.3924158,"('lethargic', 'energetic')",1.0988452,1.2871904,1.3351207,1.3398031,-0.0046824
28,1.5187315,1.4717953,"('disloyal', 'loyal')",1.271972,1.3116627,1.3953516,1.391729,0.0036226
9,1.4913493,1.6674323,"('unaffectionate', 'caring')",1.0981698,0.9140841,1.2947595,1.2907581,0.0040014
25,1.4863751,1.7850037,"('egoistic', 'altruistic')",1.1038095,1.0990316,1.2950923,1.4420176,-0.1469253
80,1.4495044,1.045765,"('dominated', 'dominating')",-0.24908939,-0.23448464,0.6002075,0.4056402,0.1945673
34,1.448236,1.1968472,"('mean', 'honorable')",6.0840592,5.7494793,3.7661476,3.4731631,0.2929845
72,1.4415392,1.2682129,"('unambitious', 'ambitious')",-0.0011751344,-0.09558958,0.720182,0.5863117,0.1338703
75,-1.4337977,-0.8742984,"('meek', 'impulsive')",-1.5030035,-1.490674,-1.4684006,-1.1824862,-0.2859144
14,1.4332721,1.4434152,"('antisocial', 'social')",0.38193634,0.5885852,0.9076042,1.0160002,-0.108396
36,-1.409821,-0.735881,"('hostile', 'amicable')",-1.3818898,-1.4876969,-1.3958554,-1.111789,-0.2840664
65,1.3766133,1.3733674,"('insecure', 'secure')",0.6915329,0.89265364,1.0340731,1.1330105,-0.0989374
49,1.2638755,1.1280994,"('unable', 'able')",0.3210278,0.18931049,0.7924516,0.658705,0.1337466
61,1.2462047,1.417435,"('illogical', 'logical')",0.66272455,0.7300672,0.9544647,1.0737511,-0.1192864
77,1.2444351,1.0901556,"('unmotivated', 'motivated')",-0.3942204,-0.39515954,0.4251073,0.347498,0.0776093
53,1.2440667,0.9853032,"('uncreative', 'creative')",0.15927863,-0.11112844,0.7016727,0.4370874,0.2645853
43,1.195031,1.0388452,"('irresponsible', 'responsible')",1.0996997,0.91505426,1.1473653,0.9769497,0.1704156
17,1.1796831,1.3786856,"('nasty', 'nice')",-0.72676265,-0.621087,0.2264602,0.3787993,-0.1523391
12,1.1775352,1.0065726,"('unsupportive', 'supportive')",-2.0567613,-2.1585958,-0.439613,-0.5760116,0.1363986
84,1.1763699,0.8994976,"('inferior', 'superior')",0.7210892,0.6842501,0.9487295,0.7918739,0.1568556
27,1.1120226,1.0960826,"('hardhearted', 'softhearted')",1.1894436,0.90225244,1.1507331,0.9991675,0.1515656
71,1.0987312,1.2070175,"('diffident', 'self-confident')",0.23885,0.04610111,0.6687906,0.6265593,0.0422313
0,1.0967665,1.1125355,"('unsociable', 'sociable')",0.34496114,0.368066,0.7208638,0.7403008,-0.019437
40,1.0458977,1.0758853,"('stingy', 'generous')",-2.39288,-2.5689926,-0.6734911,-0.7465537,0.0730626
56,0.9941355,0.58741665,"('impractical', 'practical')",-0.012342177,0.02335399,0.4908967,0.3053853,0.1855114
13,0.9672214,1.0634785,"('impolite', 'polite')",-0.24450924,-0.14194196,0.3613561,0.4607683,-0.0994122
74,0.9666004,1.0503917,"('undedicated', 'dedicated')",-0.16849649,-0.21364966,0.399052,0.418371,-0.019319
46,0.92512083,0.5953481,"('uncompetitive', 'competitive')",0.14300886,0.23614074,0.5340648,0.4157444,0.1183204
86,0.9130613,0.85460556,"('uninfluential', 'influential')",0.11914518,0.13779186,0.5161033,0.4961987,0.0199046
67,0.88250315,0.8462343,"('doubtful', 'determined')",-0.7319696,-0.6261167,0.0752668,0.1100588,-0.034792
63,0.8798818,0.8200087,"('unperceptive', 'insightful')",0.9221366,0.6400978,0.9010092,0.7300532,0.170956
4,-0.87691295,-0.7064255,"('disliked', 'liked')",-8.415298,-8.71706,-4.6461058,-4.7117429,0.0656371
87,0.8492865,0.9868597,"('unsuccessful', 'successful')",1.2277768,1.0094157,1.0385317,0.9981377,0.040394
51,0.8099532,0.73733395,"('uneducated', 'educated')",0.37056065,0.6377962,0.5902569,0.6875651,-0.0973082
79,-0.7894644,-0.5646882,"('wavering', 'unwavering')",-0.74132407,-0.6041825,-0.7653942,-0.5844353,-0.1809589
30,0.7665787,0.93182975,"('intolerant', 'tolerant')",0.7068877,0.7624225,0.7367332,0.8471261,-0.1103929
41,0.7604203,1.2317318,"('unforgiving', 'forgiving')",-0.6048958,-0.6053156,0.0777623,0.3132081,-0.2354458
35,-0.75214714,-0.5957756,"('corrupt', 'incorrupt')",-1.5241722,-1.6207201,-1.1381596,-1.1082479,-0.0299117
78,0.75160414,0.36950803,"('nonresilient', 'resilient')",0.902472,0.5294724,0.827038,0.4494902,0.3775478
42,0.73364943,0.8215504,"('unreliable', 'reliable')",-2.9120607,-2.8407848,-1.0892056,-1.0096172,-0.0795884
50,0.7050544,0.81889355,"('clumsy', 'skillful')",0.3905312,0.326753,0.5477928,0.5728233,-0.0250305
59,-0.68752295,-0.38902587,"('foolish', 'wise')",-0.59594166,-0.82764703,-0.6417323,-0.6083364,-0.0333959
44,-0.66403973,-0.7885513,"('prejudiced', 'unprejudiced')",-1.5053159,-1.4083506,-1.0846778,-1.0984509,0.0137731
45,0.62409323,0.67630064,"('incompetent', 'competent')",0.2865318,0.08260963,0.4553125,0.3794551,0.0758574
52,-0.623695,-0.3076316,"('irrational', 'rational')",-1.1066133,-1.2271174,-0.8651541,-0.7673745,-0.0977796
54,0.5699191,0.84961295,"('incapable', 'capable')",1.067979,1.2103469,0.818949,1.0299799,-0.2110309
83,0.56443465,0.60529864,"('powerless', 'powerful')",-0.7782242,-0.7016479,-0.1068948,-0.0481746,-0.0587202
11,0.5456845,0.42456034,"('unhelpful', 'helpful')",2.1418734,2.0585074,1.343779,1.2415339,0.1022451
22,0.5315956,0.5541074,"('untrustworthy', 'trustworthy')",-0.7227857,-0.68135935,-0.0955951,-0.063626,-0.0319691
57,-0.5172192,-0.46476403,"('unimaginative', 'imaginative')",-3.0422456,-3.0299728,-1.7797325,-1.7473685,-0.032364
64,-0.47101706,-0.5875459,"('shy', 'confident')",-6.7614055,-6.611149,-3.6162112,-3.5993474,-0.0168638
