,cognizant_male,cognizant_female,tuple,technology_male,technology_female,sols_male,sols_female,corp_male,corp_female,average_male,average_female,male-female
1,-3.148595,-3.0679293,"('unfriendly', 'friendly')",-1.8417017,-1.4625576,-1.2621552,-1.3373721,1.0515752,1.4291643,-1.3002192,-1.1096736,-0.1905456
86,-2.8385274,-2.928232,"('uninfluential', 'influential')",0.754576,0.60206074,-1.1091911,-1.3653727,-0.010592528,-0.08745765,-0.8009337,-0.9447504,0.1438167
8,-2.6366622,-2.451038,"('unaffectionate', 'affectionate')",-1.6551808,-1.1167186,-0.9485846,-0.93999976,0.24574518,0.7312447,-1.2486706,-0.9441279,-0.3045427
9,-2.3934174,-2.3969657,"('unaffectionate', 'caring')",-1.0041447,-0.67829037,-0.8393725,-1.0070813,1.06991,1.543772,-0.7917562,-0.6346413,-0.1571149
0,-2.2307065,-2.4840946,"('unsociable', 'sociable')",1.1799462,0.7758397,-0.03277365,0.03551786,0.3959646,0.16859967,-0.1718923,-0.3760344,0.2041421
44,1.9713427,1.97492,"('prejudiced', 'unprejudiced')",-0.018989295,-0.24163699,-0.079952665,0.15492326,-1.4921659,-1.460885,0.0950587,0.1068303,-0.0117716
27,-1.7989707,-1.5031204,"('hardhearted', 'softhearted')",-1.4043359,-1.0739313,-0.4223997,-0.039399978,0.400922,0.9494381,-0.8061961,-0.4167534,-0.3894427
28,-1.6713898,-1.6317993,"('disloyal', 'loyal')",0.68832666,0.6868436,-0.64183944,-0.73050207,1.525416,1.5546881,-0.0248716,-0.0301924,0.0053208
24,-1.6295059,-1.6292576,"('dishonest', 'honest')",-0.838698,-0.88910943,-0.926799,-0.8065491,1.1589785,1.1970161,-0.5590062,-0.531975,-0.0270312
53,-1.4588666,-1.5922523,"('uncreative', 'creative')",0.20014028,0.27903596,-0.5806422,-1.0377603,0.8775706,0.8871024,-0.2404495,-0.3659685,0.125519
69,1.4319996,1.6310152,"('lazy', 'industrious')",-1.2895424,-1.2221894,-1.2227181,-0.77195084,-1.882906,-1.5353552,-0.7407917,-0.4746201,-0.2661716
10,-1.428688,-1.9020168,"('unsympathetic', 'sympathetic')",1.0514278,0.5632853,0.10443398,-0.4560518,0.5686718,0.30593887,0.0739614,-0.3722111,0.4461725
73,1.4025409,1.5531367,"('helpless', 'self-reliant')",-0.10351473,0.040368713,-0.17961764,-0.102498785,-3.7038527,-3.314403,-0.646111,-0.4558491,-0.1902619
6,-1.3107123,-1.0248616,"('distant', 'open')",-3.8848565,-3.2993565,-2.3788943,-2.5456412,-2.0248837,-1.3367952,-2.3998368,-2.0516634,-0.3481734
75,1.2993867,1.0689543,"('meek', 'impulsive')",-0.14347461,-0.47447562,-0.64363635,-1.2277956,-1.0074931,-1.0715219,-0.1238043,-0.4262097,0.3024054
45,-1.2988051,-1.660198,"('incompetent', 'competent')",0.5467093,0.2309996,0.13361716,-0.12151344,0.5902505,0.15396525,-0.007057,-0.3491867,0.3421297
61,-1.1032951,-1.1618191,"('illogical', 'logical')",1.0495114,0.81132054,-0.20976523,-0.12106776,0.45706165,0.31489137,0.0483782,-0.0391687,0.0875469
50,1.0892862,0.970006,"('clumsy', 'skillful')",0.2490589,0.10505348,0.5015844,0.567498,-0.079141416,0.21876502,0.440197,0.4653306,-0.0251336
19,-1.0443145,-1.1898047,"('inhospitable', 'hospitable')",-2.132777,-2.122465,-0.9727688,-1.1986221,-0.94490474,-0.71501744,-1.2736913,-1.3064773,0.032786
67,1.0056281,0.93383825,"('doubtful', 'determined')",0.3814212,0.3007441,0.429669,0.7187387,-0.53322804,-0.748443,0.3208726,0.3012195,0.0196531
