,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.8873552,-1.9879009,"('hostile', 'amicable')",-2.185578,-2.2013383,-0.23502143,-0.19798428,-1.4359849,-1.4624077,0.0264228
62,1.6038853,1.7361345,"('incompetent', 'brilliant')",0.530739,0.54935306,0.40855303,0.4943881,0.8477258,0.9266253,-0.0788995
16,-1.5217545,-1.5115778,"('unpopular', 'popular')",0.27142623,0.13348527,0.5220856,0.5283596,-0.2427476,-0.2832443,0.0404967
6,-1.4459652,-1.7695858,"('distant', 'open')",-1.3630828,-1.5013589,0.06496666,0.008782595,-0.9146938,-1.0873873,0.1726935
56,1.4355325,1.6977482,"('impractical', 'practical')",0.6267517,0.82464683,-0.17160179,0.13640244,0.6302275,0.8862658,-0.2560383
24,1.4100313,1.0766227,"('dishonest', 'honest')",0.10500214,0.07001074,0.65030175,0.57418936,0.7217784,0.5736076,0.1481708
60,1.3687632,1.3358225,"('inefficient', 'efficient')",1.160541,1.199834,0.3552896,0.41165686,0.9615313,0.9824378,-0.0209065
85,-1.2593504,-0.9522062,"('insignificant', 'prestigious')",0.23717737,0.049582966,0.13732982,0.2208069,-0.2949477,-0.2272721,-0.0676756
39,1.2097843,1.6098441,"('exploitative', 'cooperative')",-0.1393443,0.16720487,-0.122486524,0.02970917,0.3159845,0.6022527,-0.2862682
0,-1.1643583,-1.5888048,"('unsociable', 'sociable')",0.07091345,-0.15432027,-0.44644544,-0.63554704,-0.5132968,-0.7928907,0.2795939
44,-1.1526797,-0.8141867,"('prejudiced', 'unprejudiced')",-0.833291,-0.65206796,-1.4734887,-1.3508677,-1.1531531,-0.9390408,-0.2141123
4,-1.1367074,-1.1844032,"('disliked', 'liked')",-0.26810738,-0.33135954,-5.8890014,-5.74483,-2.431272,-2.4201976,-0.0110744
80,1.1120571,1.1634021,"('dominated', 'dominating')",0.4349792,0.40069827,-0.9205651,-1.0948806,0.2088237,0.1564066,0.0524171
5,-1.055835,-1.2595793,"('distant', 'outgoing')",-0.8378524,-1.0379932,-0.1706614,-0.24675247,-0.6881163,-0.8481084,0.1599921
9,1.0215281,0.8927496,"('unaffectionate', 'caring')",0.63662004,0.6289405,1.0008185,1.0060515,0.8863222,0.8425806,0.0437416
73,0.9827444,1.3732579,"('helpless', 'self-reliant')",0.626013,0.7244444,-3.0689685,-2.8938837,-0.4867371,-0.2653938,-0.2213433
41,-0.98226243,-1.2757355,"('unforgiving', 'forgiving')",-0.23237252,-0.49637267,-0.009669505,0.017530154,-0.4081015,-0.5848593,0.1767578
72,0.9812119,0.690957,"('unambitious', 'ambitious')",0.7423258,0.5999794,-0.78495944,-1.1555161,0.3128594,0.0451401,0.2677193
33,0.98082656,1.0441465,"('wrong', 'right')",0.799955,0.7475295,-0.4991683,-0.62947184,0.4272044,0.3874014,0.039803
61,0.97907525,0.8932924,"('illogical', 'logical')",0.42484236,0.52647257,0.07434562,0.0044601383,0.4927544,0.4747417,0.0180127
12,0.9494189,0.65507185,"('unsupportive', 'supportive')",0.7324564,0.50524664,-1.5345678,-1.5516316,0.0491025,-0.1304377,0.1795402
48,0.9035474,0.6542788,"('unintelligent', 'intelligent')",1.4117948,1.1905285,0.96492994,0.73349315,1.093424,0.8594335,0.2339905
76,0.8761319,0.8598902,"('anxious', 'daring')",0.27431458,0.3381448,0.2604645,0.3528695,0.4703036,0.5169682,-0.0466646
31,-0.8274108,-1.0498091,"('evil', 'good')",-1.0438727,-1.1702806,-1.2359183,-1.3828297,-1.0357339,-1.2009731,0.1652392
19,-0.8262293,-0.7250283,"('inhospitable', 'hospitable')",-1.8451213,-1.6079623,-0.4401421,-0.1887931,-1.0371642,-0.8405946,-0.1965696
30,0.8074541,0.86552024,"('intolerant', 'tolerant')",1.5088534,1.6379347,1.0891529,1.2535807,1.1351535,1.2523452,-0.1171917
74,0.8068525,0.5836895,"('undedicated', 'dedicated')",0.44247895,0.45299977,-0.4621778,-0.39201224,0.2623846,0.2148923,0.0474923
53,0.7671026,0.9403576,"('uncreative', 'creative')",0.25785276,0.41830486,0.69623977,0.8336191,0.5737317,0.7307606,-0.1570289
15,-0.75333995,-0.7020843,"('boring', 'funny')",-0.8096071,-0.79123944,0.24926335,0.2659631,-0.4378946,-0.4091202,-0.0287744
