,costco_male,costco_female,tuple,wholesale_male,wholesale_female,corp_male,corp_female,average_male,average_female,male-female
6,-1.7647245,-1.6950868,"('distant', 'open')",-0.86305773,-0.7988607,-1.2209979,-1.3593925,-1.2829267,-1.2844467,0.00152
1,-1.5584322,-1.5761017,"('unfriendly', 'friendly')",0.0184718,-0.19579892,1.0484476,0.6429847,-0.1638376,-0.3763053,0.2124677
8,-1.523199,-1.6072166,"('unaffectionate', 'affectionate')",-0.7677947,-0.96775484,-0.16527683,-0.57105374,-0.8187568,-1.0486751,0.2299183
18,-1.4104182,-1.2365444,"('disagreeable', 'welcoming')",-0.7951094,-0.7641996,-0.7008704,-0.6755045,-0.9687993,-0.8920828,-0.0767165
85,-1.3714021,-1.3332049,"('insignificant', 'prestigious')",-1.2372271,-1.54871,-1.5721259,-1.8701084,-1.393585,-1.5840077,0.1904227
5,-1.309485,-1.2254121,"('distant', 'outgoing')",-1.0181115,-0.9619643,-1.0568103,-1.0123886,-1.1281355,-1.0665884,-0.0615471
31,-1.3085909,-1.2086061,"('evil', 'good')",-1.8224033,-1.9206076,-1.7993789,-2.0040848,-1.6434577,-1.7110996,0.0676419
82,-1.3062994,-1.1235553,"('poor', 'rich')",-0.9050454,-0.8070269,6.916269,7.048609,1.568308,1.7060089,-0.1377009
81,1.2900112,1.193619,"('submissive', 'aggressive')",0.62701154,0.7328593,0.50634706,0.69016796,0.80779,0.8722154,-0.0644254
53,-1.2630283,-1.0685964,"('uncreative', 'creative')",-0.47960502,-0.48340085,0.433507,0.33553463,-0.4363755,-0.4054875,-0.030888
36,-1.1755831,-1.2474599,"('hostile', 'amicable')",-1.1911116,-1.5071353,-1.155926,-1.6413156,-1.1742069,-1.4653036,0.2910967
16,-1.1649276,-1.0761206,"('unpopular', 'popular')",-1.1471548,-1.2448336,-0.048749007,-0.07410225,-0.7869438,-0.7983522,0.0114084
80,1.1352957,1.1491911,"('dominated', 'dominating')",1.466713,1.5352633,0.059881315,0.2668038,0.8872967,0.9837527,-0.096456
19,-1.1095647,-1.2235897,"('inhospitable', 'hospitable')",-0.7566338,-0.7548233,-0.7049641,-0.82259154,-0.8570542,-0.9336681,0.0766139
30,1.0526121,0.9332424,"('intolerant', 'tolerant')",0.7174355,0.79343206,1.1821481,1.18426,0.9840652,0.9703115,0.0137537
79,-1.0277467,-1.0276086,"('wavering', 'unwavering')",-1.283337,-1.4061509,-0.98426336,-1.0146781,-1.0984491,-1.1494792,0.0510301
68,-0.97591996,-0.84691095,"('dependent', 'independent')",-1.4939413,-1.3667289,-0.76747924,-0.59734714,-1.0791135,-0.9369957,-0.1421178
67,0.97104317,0.80385035,"('doubtful', 'determined')",1.4180568,1.4714353,0.038928524,0.07141438,0.8093429,0.7822334,0.0271095
60,0.95569634,1.1698544,"('inefficient', 'efficient')",3.0756898,3.3451033,1.0588361,1.4517047,1.6967408,1.9888875,-0.2921467
88,-0.9256947,-1.043845,"('low', 'eminent')",-1.1538564,-1.2874959,-0.40343168,-0.4895227,-0.827661,-0.9402878,0.1126268
35,-0.9208211,-0.9524803,"('corrupt', 'incorrupt')",-1.9406818,-2.1770723,-1.5970182,-1.7425362,-1.4861736,-1.6240296,0.137856
2,0.9140349,1.1697221,"('unlikable', 'likable')",0.61001194,0.7742599,0.7059022,0.97983515,0.7433163,0.9746057,-0.2312894
62,0.85974723,1.1115249,"('incompetent', 'brilliant')",1.1237876,1.373062,1.0416528,1.5003518,1.0083958,1.3283129,-0.3199171
14,0.8580958,0.9385395,"('antisocial', 'social')",2.0210576,2.1248999,0.5448693,0.6876856,1.1413409,1.250375,-0.1090341
9,-0.84515417,-0.95938784,"('unaffectionate', 'caring')",0.41872612,0.28418928,0.7868261,0.49696544,0.1201327,-0.059411,0.1795437
58,-0.8327877,-0.69605273,"('undiscriminating', 'discriminating')",0.54386353,0.47701195,0.066411056,0.06881899,-0.074171,-0.0500739,-0.0240971
73,0.82216734,0.84646684,"('helpless', 'self-reliant')",-0.6187894,-0.58254296,-3.9017456,-3.8914998,-1.2327892,-1.209192,-0.0235972
87,0.72521156,0.71103746,"('unsuccessful', 'successful')",1.2789276,1.3084824,1.259676,1.3844788,1.0879384,1.1346662,-0.0467278
76,0.7182782,0.847802,"('anxious', 'daring')",0.8017356,0.9158474,0.4146952,0.6187422,0.644903,0.7941306,-0.1492276
54,-0.7179844,-0.6975188,"('incapable', 'capable')",-0.06087176,0.0036072396,0.30257112,0.39268824,-0.1587617,-0.1004078,-0.0583539
86,-0.7022898,-0.72937495,"('uninfluential', 'influential')",0.4543717,0.4369486,0.3590619,0.25411677,0.0370479,-0.0127699,0.0498178
46,0.69154245,0.973857,"('uncompetitive', 'competitive')",1.073689,1.231435,0.10034044,0.36615312,0.6218573,0.8571483,-0.235291
39,0.65878296,0.69998795,"('exploitative', 'cooperative')",1.5159893,1.6158034,0.21967125,0.28871074,0.7981478,0.8681674,-0.0700196
21,0.6519737,0.839138,"('immoral', 'moral')",0.8027101,0.9492615,0.25450903,0.55233145,0.5697309,0.7802436,-0.2105127
26,-0.65005225,-0.7660791,"('hardhearted', 'benevolent')",1.4498323,1.2047429,1.0648972,0.70335335,0.6215591,0.3806724,0.2408867
20,-0.6440207,-0.5641569,"('rough', 'thoughtful')",-0.46418697,-0.40560567,0.6950783,0.55275387,-0.1377098,-0.1390029,0.0012931
29,-0.59656584,-0.36342326,"('unfair', 'fair')",-0.57630724,-0.5253172,-0.62162787,-0.59871924,-0.5981669,-0.4958199,-0.102347
57,-0.5657173,-0.3709888,"('unimaginative', 'imaginative')",-0.45408458,-0.34001523,-3.0381641,-2.8433843,-1.3526554,-1.1847961,-0.1678593
78,-0.52809536,-0.34811968,"('nonresilient', 'resilient')",0.20059428,0.1294575,0.19813085,0.20818266,-0.0431234,-0.0034932,-0.0396302
64,0.52689624,0.5338093,"('shy', 'confident')",0.083623454,0.22212058,-5.7283807,-5.329667,-1.7059536,-1.524579,-0.1813746
77,0.5091206,0.57409227,"('unmotivated', 'motivated')",0.87941885,0.7861987,-0.53348124,-0.36712912,0.2850194,0.331054,-0.0460346
23,-0.505173,-0.48718378,"('insincere', 'sincere')",1.2810065,1.4939438,6.453573,6.599375,2.4098023,2.5353783,-0.125576
13,0.49021938,0.442688,"('impolite', 'polite')",2.0035222,2.018678,0.39709708,0.4982647,0.9636129,0.9865436,-0.0229307
34,-0.48932472,-0.2501802,"('mean', 'honorable')",-0.04597009,0.04632511,5.637192,5.6843047,1.7006323,1.8268166,-0.1261843
38,-0.48204753,-0.35086036,"('untruthful', 'truthful')",0.6261771,0.7284664,0.1909045,0.378609,0.111678,0.2520717,-0.1403937
42,0.48142624,0.6405556,"('unreliable', 'reliable')",0.93409795,1.0097973,-2.5929563,-2.4142354,-0.3924774,-0.2546275,-0.1378499
52,-0.4734931,-0.6979768,"('irrational', 'rational')",-0.79773265,-1.0869408,-0.78224707,-1.0934825,-0.6844909,-0.9594667,0.2749758
41,-0.4707608,-0.39461896,"('unforgiving', 'forgiving')",1.4965004,1.4197323,-0.06464964,-0.16259202,0.3203633,0.2875071,0.0328562
51,-0.47030124,-0.475884,"('uneducated', 'educated')",0.07094147,-0.011248879,1.0441822,1.0987995,0.2149408,0.2038889,0.0110519
27,-0.4687438,-0.41994905,"('hardhearted', 'softhearted')",0.049497277,-0.0457121,0.7078734,0.34785336,0.096209,-0.0392693,0.1354783
69,0.44196996,0.43055877,"('lazy', 'industrious')",0.631814,0.5847124,-1.309098,-1.3165206,-0.078438,-0.1004165,0.0219785
49,-0.439657,-0.19011906,"('unable', 'able')",-0.371057,-0.12907332,-0.5607679,-0.20406504,-0.4571606,-0.1744191,-0.2827415
71,-0.39661628,-0.2721004,"('diffident', 'self-confident')",1.3380839,1.3257716,0.080283135,0.12162689,0.3405836,0.391766,-0.0511824
56,0.38772902,0.4600418,"('impractical', 'practical')",2.1818237,2.4160197,0.29732332,0.6518097,0.9556253,1.175957,-0.2203317
15,-0.38212454,-0.47824597,"('boring', 'funny')",0.18763208,0.21049845,-0.27393377,-0.24167529,-0.1561421,-0.1698076,0.0136655
22,-0.38022816,-0.10251531,"('untrustworthy', 'trustworthy')",-0.5008439,-0.30159143,-0.4393252,-0.258814,-0.4401324,-0.2209736,-0.2191588
59,-0.37277693,-0.18540485,"('foolish', 'wise')",-0.473236,-0.5451128,-0.7234489,-0.71980464,-0.5231539,-0.4834408,-0.0397131
63,-0.3377215,-0.2367569,"('unperceptive', 'insightful')",0.82027894,0.81959563,1.4207613,1.4390203,0.6344396,0.673953,-0.0395134
32,0.32089928,0.35834026,"('unkind', 'kind')",0.5920347,0.6653645,1.2362494,1.2157165,0.7163944,0.7464738,-0.0300794
55,0.31720826,0.49587488,"('incompetent', 'clever')",0.83269894,1.0542818,1.1323547,1.3481548,0.7607539,0.9661039,-0.20535
72,-0.31183824,-0.27118462,"('unambitious', 'ambitious')",-0.87578654,-0.8862811,-0.32816723,-0.2587411,-0.505264,-0.4720689,-0.0331951
44,0.2952323,0.39564046,"('prejudiced', 'unprejudiced')",-0.7444949,-0.62050784,-1.6322057,-1.3626759,-0.6938228,-0.5291811,-0.1646417
25,-0.26269528,-0.11982849,"('egoistic', 'altruistic')",0.4423112,0.36646754,0.6889296,0.53202254,0.2895152,0.2595539,0.0299613
28,-0.25057817,-0.22416471,"('disloyal', 'loyal')",1.1021903,1.0232762,1.129294,1.0190312,0.660302,0.6060476,0.0542544
74,0.23845509,0.45202443,"('undedicated', 'dedicated')",0.97500896,1.0606508,-0.25719917,-0.15255511,0.318755,0.4533734,-0.1346184
4,-0.23431523,-0.11413714,"('disliked', 'liked')",0.032567807,-0.031464692,-7.0856566,-7.037803,-2.4291347,-2.3944683,-0.0346664
70,0.23293659,0.48839352,"('lethargic', 'energetic')",0.9523076,1.0306609,0.96857643,1.2481856,0.7179402,0.9224133,-0.2044731
37,0.21856898,0.2351052,"('fake', 'genuine')",0.06535992,0.16344294,0.13082922,0.18218517,0.1382527,0.1935778,-0.0553251
83,0.21182245,0.27934128,"('powerless', 'powerful')",0.098903805,0.16655621,-0.82020795,-0.8911236,-0.1698272,-0.1484087,-0.0214185
84,0.20834397,0.3792242,"('inferior', 'superior')",0.45141742,0.45944113,0.48692054,0.6302572,0.3822273,0.4896409,-0.1074136
43,-0.20801635,0.092025764,"('irresponsible', 'responsible')",1.247999,1.4899931,1.0021576,1.2395387,0.6807133,0.9405192,-0.2598059
66,-0.2049818,-0.2627772,"('inactive', 'active')",-0.43549055,-0.6048693,0.34673333,0.15839835,-0.097913,-0.2364161,0.1385031
17,0.19905573,0.04866671,"('nasty', 'nice')",-0.2002863,-0.27362686,-0.82615465,-0.9263505,-0.2757951,-0.3837702,0.1079751
12,-0.16253294,-0.04760141,"('unsupportive', 'supportive')",0.950636,0.93029153,-1.758075,-1.735588,-0.323324,-0.2842993,-0.0390247
61,0.16097523,0.16055185,"('illogical', 'logical')",1.1121949,1.1175576,0.7385139,0.7500204,0.6705613,0.6760434,-0.0054821
7,-0.14146146,0.04180527,"('insensitive', 'sensitive')",0.8355868,0.87730193,0.60255444,0.72917193,0.4322266,0.5494264,-0.1171998
47,-0.13218541,0.16509566,"('stupid', 'smart')",0.5263385,0.671839,5.7242184,5.8430862,2.0394572,2.2266736,-0.1872164
40,0.114355825,0.26783866,"('stingy', 'generous')",0.7585358,0.5595233,-2.2211006,-2.3762345,-0.449403,-0.5162909,0.0668879
50,-0.09853524,-0.07302068,"('clumsy', 'skillful')",-0.57110703,-0.5892467,0.022229757,-0.05711981,-0.2158042,-0.2397957,0.0239915
65,0.097141445,0.19944794,"('insecure', 'secure')",0.64229584,0.8185295,0.6158063,1.000239,0.4517479,0.6727389,-0.220991
48,-0.089416556,-0.19598997,"('unintelligent', 'intelligent')",0.008998975,-0.22065088,0.6705996,0.54406893,0.1967273,0.042476,0.1542513
33,0.075936906,-0.06476836,"('wrong', 'right')",0.20572902,0.10427851,-1.031272,-1.1514986,-0.2498687,-0.3706628,0.1207941
75,0.04970067,0.14708176,"('meek', 'impulsive')",-2.0898454,-2.0799015,-0.92279524,-0.8761806,-0.9876467,-0.9363334,-0.0513133
11,0.047182653,0.110081084,"('unhelpful', 'helpful')",0.40909302,0.5796117,2.4799151,2.7096043,0.9787303,1.133099,-0.1543687
0,-0.0449855,-0.21229804,"('unsociable', 'sociable')",1.6795609,1.5956323,0.60223365,0.4591218,0.745603,0.614152,0.131451
45,-0.024702411,0.11851616,"('incompetent', 'competent')",2.0538979,2.0715258,0.66701704,0.7935328,0.8987375,0.994525,-0.0957875
